timestamp,time,author,message
1555502799395749,-2:02,Alexander Dowding,I’m just here for the comments.
1555502991943093,0:59,S Nompozolo,PART 2 Im ready....
1555503058801694,2:07,Felix Muyoba,@Alexander Dowding as long as the comments are related to the discussions at the commission..
1555503091106061,2:39,Alexander Dowding,I don’t have any problems with that @Felix Muyoba
1555503128519334,3:16,funicanz,@Felix Muyoba 😆
1555503182766920,4:12,Alexander Dowding,I’ve got to water my weed plants. Be right back
1555503193902320,4:22,Felix Muyoba,@funicanz and @Alexander Dowding in most cases i beg your pardon..
1555503373986674,7:22,Magda Seguin,Commissioner Ngobeni appears to have been fully captured.She allowed Panday to act like the Guptas
1555503385195912,7:33,Sindiswa Moolman,Very interesting @Thando Nkutha. We heard about husbands parties paid by service providers and over charges.
1555503436256002,8:24,funicanz,"@Felix Muyoba , I like your statement. That's exactly what we emphasized yesterday with @Magda Seguin. So my laughter is based on the fact that those that comment here follow this inquiry respectfully"
1555503570049613,10:39,funicanz,Commissioner Ngobeni appears to have been in a similar position as Nomgcobo Jiba. Things happening under her guidance and she'll appear to not being aware of the shenanigans.
1555503570218790,10:39,Magda Seguin,The commission is far from completed Robert who knows what skeletons will still be exposed.PS:Add Ace to your list
1555503616211732,11:23,Magda Seguin,Ace has his own personal 'state capture' in the FS
1555503624111835,11:32,Robert Russell,Ace is part of the ANC looting cabal... @Magda Seguin
1555503710004967,12:58,Magda Seguin,Yes but he and Mabuza had their own parallel situations apart from the mother organisation
1555503734167123,13:21,Robert Russell,and you forgot Supra!!!!
1555503790672988,14:18,Magda Seguin,There are so many...yes off course Supra is another situation
1555503803117344,14:31,Wildthing,The large rhino horn find in NW has some smell of Supra
1555503838132726,15:06,Robert Russell,No doubt @Michael Wild
1555503856274676,15:24,Magda Seguin,"South Africa needs cleansing,rehab,debriefing,healing on a big scale"
1555503888753833,15:56,Magda Seguin,This trauma will haunt us for generations
1555503897348148,16:06,Robert Russell,Throw a net over the top 6 of the ANC and we have sorted out 80% of our corruption problems.
1555503919266979,16:27,Wildthing,we need death penalty back first then some healing and law and order restored.
1555503972390668,17:20,Alexander Dowding,"Parliament needs a whole generation of born free MPs to take the places of all these corrupt, worn-out ex-freedom fighters that need to retire to make way for the youth. Things will only change when"
1555503989843467,17:38,Alexander Dowding,... these political dinosaurs go.
1555504042888485,18:31,Magda Seguin,Young like he EFF? from the frying pan into the fire?No thanks
1555504065902322,18:53,rohan barnard,@Michael Wild death penalty won't work with our current justice system. Innocent people will be killed by the hundreds
1555504125954956,19:54,Magda Seguin,Death penalty has been proven to be NOT a deterrent to crime
1555504129125920,19:57,rohan barnard,"I do agree, we need young blood in the parliament. But people ho are not obsessed about the color of their and others' skin"
1555504206119726,21:14,MIKE DURBAN,We really only need a Mutiparty Gov with each party having the same number of reps......or something like like........NO Majority party etc etc......
1555504312890985,23:00,Derek Main,@Robert Russell Common denominator in all the corruption is the ANC.
1555504314873309,23:02,Magda Seguin,The Sunday Times articles about Gen.Booysen was complete with fake photos
1555504458065314,25:26,Magda Seguin,CR today again blamed kids being taught under trees on apartheid...I completely lost respect for him
1555504503180715,26:11,Robert Russell,The New Zealand parliament is made up of 88% of people aged between 30 and 59..... and a FEMALE Prime Minister aged 38.....
1555504509050652,26:17,MIKE DURBAN,Rama is cut from the same ANC Cloth.........for sure.
1555504532550590,26:40,makhosi nobhatyi,Who is this Jacob Zuma writing here?
1555504540595578,26:49,Sindiswa Moolman,Agreed @rohan barnard
1555504552215885,27:00,Anne M.,"A troll, not the real JZ"
1555504576028996,27:24,Felix Muyoba,@Anne M. agree
1555504577970592,27:26,makhosi nobhatyi,Anne M I thought so
1555504583394006,27:30,peter sikoshule,@Anne how do u know looool
1555504624826908,28:13,R R,Zuma cant use Technology
1555504626111720,28:14,Anne M.,His name hasn't been brought up by Booysen
1555504642660673,28:30,MIKE DURBAN,Heheheh....maybe trying to capture STI........heheheh
1555504647227412,28:35,Magda Seguin,Panday is a busy of Zuma
1555504656314464,28:44,Magda Seguin,*buddy
1555504706637472,29:35,Robert Russell,Everyone in the private sector who is a crook is a friend of Zuma or one of his kids...
1555504724815310,29:52,Magda Seguin,Edward Zuma is Panday's friend too
1555504761176056,30:29,Magda Seguin,And in business together
1555504772657582,30:41,Alexander Dowding,@Magda Seguin I never specified EFF when I said youth. There are plenty other other honorable and well educated black and other race youth who will make brilliant energetic and inspiring MPs.
1555504777559396,30:45,Robert Russell,eish... the general took arithmetic lessons from Zuma LO<
1555504777709258,30:46,Anne M.,"Yes, I know. Do you really think the real JZ would have typed ""he he he""? It's a joke."
1555504827969715,31:36,Felix Muyoba,@Robert Russell he should have said it in afrikaans
1555504859331592,32:07,Alexander Dowding,The brains of the present lot of aged MPs all suffer from a condition called Apartheid Hangover Syndrome. They cannot see the wood for the trees anymore. They must GO.
1555504885070364,32:33,Robert Russell,and Zuma should say numbers in morse code hehehehe...
1555504930407907,33:18,delphin yvon Moukouma Mboussi,JZ can even tweet
1555504942046833,33:30,Alexander Dowding,We won’t make any real progress until they go.
1555504942522818,33:30,Eugene,how much did you steel Jacob?
1555504943301118,33:31,Felix Muyoba,"numbers, numbers, eish"
1555504952973911,33:40,Lucky123 Thwala,I can hear the sound of DCJ breathing
1555504959000205,33:46,Magda Seguin,I hear you Alexander Dowding but first the ANC followers have to be exercised from the ingrained 'struggle' attachment
1555504966171785,33:54,welton paulse,i swa he is quite active on his tweetergram
1555504970389641,33:58,Felix Muyoba,@Lucky123 Thwala same
1555504974229861,34:02,Magda Seguin,*exorcised
1555505017471691,34:45,Anne M.,@welton paulse Probably one of his young wives or children are helping him with it.
1555505017896798,34:46,funicanz,"Thanks, Chair."
1555505023694905,34:51,Nazreen Herman,Why is Zondo on her case?
1555505030367964,34:58,Nazreen Herman,Please follow old man
1555505037484835,35:05,Robert Russell,You bringing the church into it again Magda.... 😃
1555505045813489,35:14,Sthakathi Khumalo,Jacob Zuma Nxamala You are here??
1555505048649204,35:16,Alexander Dowding,It’s much easier to get a person elected into parliament as an MP than it is to get them out!
1555505050162476,35:18,Felix Muyoba,she is learning
1555505079342212,35:47,Magda Seguin,I think Zuma' s wife Thobeka is handling his Twitter account...she has the same style of writing on Instagram
1555505118601556,36:26,Sthakathi Khumalo,"Jacob Zuma How much do you have left in your account, together with Gaddafis stash??"
1555505144245820,36:52,welton paulse,@Anne M. he is planning to come back as Minister of finance
1555505178008053,37:26,Anne M.,@welton paulse 😂😂😂😉
1555505179768645,37:28,funicanz,"@welton paulse , who??? Zuma"
1555505193850183,37:42,funicanz,😆😆
1555505197050835,37:45,welton paulse,@funicanz yes indeed
1555505209141427,37:57,welton paulse,😁😁😁😁😁😁😁
1555505219039080,38:07,Sthakathi Khumalo,welton paulse This one is a fake Zuma
1555505237468871,38:25,tshepo Maloka,please do not offend us Zuma!
1555505237658441,38:25,Eugene,he can't read out the numbers. so he can't tell you how much he stole
1555505246184954,38:34,Yvonne Morudu,bathong this man ntate zuma what is he talking about... how about being matured tlheee
1555505289037336,39:17,Lucky123 Thwala,Zuma here?
1555505310571013,39:38,Magda Seguin,Not too worry Robert...exorcism has a wider meaning too
1555505314332644,39:42,Anne M.,"@Lucky123 Thwala No, it's a fake JZ"
1555505335073928,40:03,Yvonne Morudu,it must be him nothing make sense that is how he is
1555505341467470,40:09,Lucky123 Thwala,sharp
