timestamp,time,author,message
1582185945234730,0:38,Gareth Hellyar,Morning all. Late start again.
1582186054950769,2:28,anya van loggerenberg,sound is out of sync
1582186063131037,2:35,Kabelo Emanuel,When are you making arrests?
1582186071524591,2:43,Gareth Hellyar,Sound delay again aswell.
1582186105206574,3:18,Lucky Thwala,Ranjen tjo
1582186115433647,3:28,Kabelo Emanuel,all this evidence...when are people going to be jailed for the crimes?
1582186202731777,4:55,Gareth Hellyar,Judge will only make his findings at end of commission hearings. By that time all the culprits have left the country.
1582186204100268,4:56,Sanele Zitha,what is the reason for this if arrests are not going to happen🤦‍♀️🤷‍♀️😐
1582186225713919,5:18,Sanele Zitha,exactly Gareth
1582186240936242,5:33,Lucky Thwala,this waist of time there should sourt the filling before coming live
1582186247250204,5:40,anya van loggerenberg,enca has better sound
1582186256065270,5:48,Kabelo Emanuel,"This is a waste of time and money if there wont be any arrests, this started in 2018 but even today there is no arrest. so cancel this and use the money to build schools and hospitals for our people."
1582186289121039,6:21,Gareth Hellyar,We all know that State Capture happened.
1582186352001528,7:03,Gareth Hellyar,Blank!?
1582186370918392,7:23,Lucky Thwala,then now
1582186407884584,7:59,Gareth Hellyar,Whats happening? My screen is blank. Anyone else?
1582186426863842,8:19,Albert Noah,ENCA is live
1582186430650037,8:22,Colleen Arezio,mine too is blank.
1582186461602355,8:55,Gareth Hellyar,Back.
1582186479939488,9:12,Gareth Hellyar,Maybe trying to sort sound out.
1582186505131487,9:37,Gareth Hellyar,Bad picture.
1582186564684684,10:38,Brighton Gweru,hie
1582186673473491,12:25,Lungisani Ntshonga,Capetown international Airport loadshedding
1582186754777537,13:47,Cruda Bex,Church load shedding
1582186807891709,14:40,makhosi nobhatyi,Dudu Myeni is testifying now
1582186846664912,15:19,funicanz,"@makhosi nobhatyi , thanks. Switching"
1582186877357079,15:49,Cruda Bex,makhosi where?
1582186925288318,16:37,funicanz,ENCA but there's something wrong there's no visual.
