timestamp,time,author,message
1553084201135440,2:25,Anne M.,@SABC Digital News Audio out of sync - please resolve
1553084247746373,3:11,Albert Noah,Now gone mute
1553084253698924,3:17,Caroline Hawanga,What is wrong with the sound tog????
1553084282559790,3:45,Anne M.,@SABC Digital News Volume dropped
1553084380418793,4:38,M T,"Bang goes the power, again 👿👹"
1553084417998331,5:16,Granit Xhaka,loadsheddinh stage 8
1553084428275764,5:26,M T,Bulldust!!! You’re done buckballs! Zondo is no fool.
1553084435538732,5:33,Granit Xhaka,they blew out my candels
1553084459112235,5:57,M T,#Sipho 😂😬
1553084532053503,7:10,M T,"No brah, you’re gone! Once you had the info, what did you do? Did you act on it? 🧠🙄"
1553084660919457,9:19,M T,"You shouldn’t have been there. Bang - Goodbye - silent, all this time? Waiting to see whether you were “safe”? Without Prejudice 😌"
1553084667158044,9:25,big feet,"..,"
1553084676379165,9:34,Chiang Mai Springbok,Up the sound plse
1553084718006548,10:15,Felix Muyoba,@Chiang Mai Springbok increase your decibels to 30
1553084734718985,10:32,M T,Bwah ha 🤦🏼‍♀️
1553084880909492,12:59,flightposit,sound
1553084900130415,13:18,Granit Xhaka,load shedding
1553084912962589,13:30,Desmond Masilela,SABC sound please
1553084952488463,14:10,Chiang Mai Springbok,Felix Muyoba I'm on the highest setting
1553084986288295,14:44,Anne M.,@SABC Digital News Please increase the volume
1553085011924540,15:09,Born free,he is playing it down he is involved in the Guitars support. A man with no backbone.
1553085036815762,15:34,Born free,Gupta's
1553085056535841,15:54,Magda Seguin,Total nonsense @Val Spiers
1553085074519004,16:12,Thapelo Motabogi,"sound man,if you can read this,please take the volume up to the maximum PLEASE"
1553085105993217,16:44,Magda Seguin,This man and his entire board was sacked to make way for the Gupta captured under Lyn Brown
1553085224802092,18:42,Born free,yes well he could have made this public then
1553085271638044,19:29,Magda Seguin,You know mothing about the dynamic of state capture...so desist from making slanderous comments
1553085314408969,20:12,Granit Xhaka,vote anc
1553085326595525,20:25,Molebale Mabuela,sound is too low @SABC Digital News
1553085335889715,20:34,Born free,I have watched from the beginning and just what constitues slander?
1553085351821078,20:49,Felix Muyoba,@Sipho Mkize are you on campaigning trail?
1553085352180047,20:50,Magda Seguin,You obviously never listened as to how many people were harrassed and got death threats
1553085369812035,21:08,John Fagan,Yes Magda ...I agree
1553085372955967,21:11,Magda Seguin,Saying that he is lying
1553085385577869,21:23,Born free,They could have united and done something
1553085429657215,22:07,sikhumbuzo crispen sibanda,@Val Speirs go public to what end???
1553085433687754,22:11,Granit Xhaka,kaffie
1553085439482746,22:17,Born free,I never said he is Lying be factual
1553085451706487,22:30,Magda Seguin,Really? so you are the judge and jury of state capture now...WOW its a first
1553085462508300,22:40,M T,"What a load of crock, his argument is."
1553085468509264,22:46,Born free,I could be
1553085491129276,23:09,Magda Seguin,You said ge has no backbone...proof much...tell us if you have knowledge
1553085514057627,23:31,Magda Seguin,you add no intelligent convo here
1553085519842460,23:37,Magda Seguin,blocked
1553085538576215,23:56,Born free,yes which means he is spineless
1553085568280780,24:26,Magda Seguin,I really suffer fools very badly
1553085589224766,24:46,M T,Who?
1553085618180475,25:15,Michael Michael,Guys I dont understand one thing here.once u invited at Guptor compound u never stop going bk.but u claim they are crooks.ayihlangani.people must be arrested.
1553085619207275,25:16,Magda Seguin,Trolls having a field day
1553085634307757,25:32,M T,#The real Youtuber? Who are you addressing?
1553085666371671,26:04,Born free,Thank-you Micheal
1553085747551354,27:25,Granit Xhaka,LOL
1553085754852287,27:32,M T,I don’t follow # The real Youtuber 🤷‍♀️
1553085763966066,27:41,Granit Xhaka,I hate blacks
1553085796244490,28:14,Magda Seguin,@Michael it will be nice tto have the real ANC cadres who are implicated arrested...ie the ministers who followed Gupta orders...that will be a great start but now they are on the list for parliament
1553085862139856,29:20,Born free,Darwin's theory is not accurate. I don't believe in his theory
1553085864279482,29:23,Magda Seguin,All those implicated in the Bosasa theft are still free and laughing at tgeir compatriots...Koko is a case in point
1553085882289852,29:41,M T,"Nope, your comments aren’t maki g any sense to me, The real 🤦🏼‍♀️"
1553085895819523,29:54,Michael Michael,I am not sure if we are the whole from those appearing to this commision.if not they must go court dan they will b honest.they are trying to protect their names.
1553085923541838,30:21,Born free,yes Micheal so true
