timestamp,time,author,message
1558335744133844,2:20,Yonam Daudi,are we still on 9am this morning
1558336767913026,19:24,HolyNation Grace,morning mzansi
1558336813348308,20:10,CHRISTOPHER MOLEFE,Morning mzansi. We're back at it again!!!
1558337325620619,28:42,Lone Wanderer,Morning all 😃 Sending Prayers and love
1558337379047424,29:35,Lone Wanderer,Yoh.... This old dude is trying to pull a fast one
1558337521527487,31:59,Alexia,Morning S.A! Umlungu Madala sounds rather nervous so far
1558337756546284,35:53,Alexia,lol the ‎¥ / ¥ sign does not look close to the USD sign
1558337769339927,36:06,peter pott,The writer wanted to sound clever
1558337809883913,36:46,Alexia,lol Peter
1558337853071084,37:29,Norman Zwane,"""RIP Kaiser Chiefs FC' E McKaiser of Talk Radio 702"
1558338028457741,40:25,Alexia,"Can anyone tell me what they plan to achieve with this entire inquiry when it's ""done""?'"
1558338131248186,42:08,Robert Russell,@Lexi .... generate a report for thee President....
1558338188255417,43:05,Alexia,"What is ""the president"" going to do with all this?"
1558338302939147,45:00,Boikutlo Manogi,Politics was not designed to fix any country. Politics is war without violence.
1558338305668508,45:02,welton paulse,@lexi my gut tells me not much as usual
1558338344298279,45:41,Born free,Politics is corruption without justice
1558338388230797,46:24,Boikutlo Manogi,Exactly.
1558338454115358,47:31,Alexia,lol Howdi Val Speirs. @Boikutlo. @Welton
1558338472249204,47:48,Boikutlo Manogi,Trust me 'our opinions' don't necessarily affect the accused. Finders Keepers.
1558338557617121,49:14,Alexia,I learnt one thing from the times I have watched this inquiry 😂 don't open a bank account just open a bank
1558338624921839,50:22,welton paulse,President wants to please all the wrong doers
1558338629620425,50:26,Alexia,Yoh @SABC Digital News please fix the audio
1558338714460664,51:51,Alexia,Where are these beautiful locomotives?
1558338814262649,53:30,Boikutlo Manogi,"Fellow Patriotic Brothers n Sisters of Southern Africa. It is top vs. bottom not right vs. wrong, unfortunately."
1558338899429826,54:56,Alexia,sad but true @Boikutlo
1558339054296994,57:31,Alexia,so this inquiry is going to raise the petrol price again in S.A?
1558339152855749,59:09,CHRISTOPHER MOLEFE,I want t see if this inquiry will lead to Prez excluding some of the tainted names in his appointment
1558339164469043,59:20,Alexia,They need to get paid and they don't seem to be in any rush 🤔
1558339260333216,1:00:56,Floyd Mbowane,Where are the locomotives??
1558339367273997,1:02:44,Alexia,Chances are they don't exist
1558339587652402,1:06:24,Alexia,the most interesting part of this is that they go through all the years and exclude 2010
1558339634884189,1:07:11,Alexia,the sauce is with KFC😂
1558339767973042,1:09:25,Alexia,Anyone know what this lady's Name is?
1558340126472613,1:15:24,Norman Zwane,@Floyd Mbowane I would not be suprised if the TAXI association is not sneakingly using them
1558340222461503,1:16:59,Norman Zwane,@lexi Which lady mtshana? It is certainly not Bonang.
1558340231225527,1:17:07,Alexia,is this dude lying under oath?
1558340500849728,1:21:37,Norman Zwane,"@Lexi It is a dudette, too much testosterone and as for the oath, we all don't know what happened to it"
1558340645121434,1:24:02,Alexia,National Treasuries Roadshow😂 Where is this New Age Robin Hood 🤔
1558341805683836,1:43:22,Alexia,Serious but he is smiling .. 🤔
1558342124172891,1:48:40,Alexia,lol she got him now
1558342732943852,1:58:50,Alexia,We all know what this guy will be doing at tea time😂
1558342895375271,2:01:32,Alexia,What do Hedge funds have to do with any of this?
1558343038718512,2:03:55,Alexia,PC1064 was supposed to be 14 April
1558343186019474,2:06:23,Alexia,So he is aware of the edit of the PPT 💥
1558343407217384,2:10:04,Alexia,This is going South fast
1558343546756963,2:12:23,Alexia,How do you adjust pricing adding 1bn+ in just 24hrs?
1558343582902930,2:12:59,Magda Seguin,Breaking: Gauteng High Court rules PP findings on Vrede Dairy Farm inconstitutional
1558343668204910,2:14:24,Alexia,Even the Chair is silent
1558344367366565,2:26:04,Jason Manganyi,what time does the tea break end?
1558345625001668,2:47:02,Norman Zwane,McKinsley were complicit in the distortion of the values? Ngizwe kahle?
1558347469522662,3:17:46,Frik Brits,SA built trains at Nigel once. This was cheaper than this thing done here ?
1558348827733608,3:40:24,Frik Brits,What is this translation at the screen bottom?
1558349087747772,3:44:44,Jack Sparrow,@Frik Brits there's a subtitles button at the bottom of the screen...
1558349110323346,3:45:06,Jack Sparrow,@Frik Brits google doing sort-of-magic speech recognition
1558349225856150,3:47:02,Frik Brits,"That speach recognition thing sould be switched of because it goes from finance to deer animals in one sentance, the spelling and grammar is hopeless. Get rid of it rather."
1558349676601452,3:54:32,Wildthing,This is all very bad. so many people lost work because building local creates jobs.
1558349897813991,3:58:14,Wildthing,Has Molefe stopped crying. because he is going to have to start again.
