timestamp,time,author,message
1542801202291113,-9:57,Mali Mthimkhulu,Im here first
1542801224595293,-9:34,Mali Mthimkhulu,in the other news...USDZAR= 13.95 (realtime)
1542801244668278,-9:14,Mali Mthimkhulu,Hooray the rand is improving
1542802066724204,4:16,Sthakathi Khumalo,captivating haha
1542802138407562,5:27,GH MG,Chose to spoke?? yet he wants to sound so english.
1542802144105375,5:33,Kevin Davis,whatever happens let's not have malema as our next president we will be relying on bank notes
1542802188511286,6:17,peter pott,"luthuli house just keeps both pravin and CR president, to win votes, particularly of non blacks, once they win elections. recalling them is inevitable."
1542802211823185,6:41,GH MG,Why do lawyer like to caress their buttocks when speaking?
1542802233752638,7:03,Ewald Kruger,It would have gone right over the head of the 33 percentagers. I feel for you @Sthakathi Khumalo.
1542802234252100,7:03,Zack blade,Viva Malema down with white monopoly capital…
1542802248293759,7:17,dave east,loool
1542802263740146,7:33,Peter Lukas,He dont sound English at all
1542802265016452,7:34,peter pott,@mg we learn that from Europe courts. and may choose to emulate them
1542802283818248,7:53,GH MG,he wants to sound english
1542802305073326,8:14,Sthakathi Khumalo,"The way I am ignoring AWB people, yazi nizoba strong!!"
1542802315974618,8:25,Zack blade,Eff ViVA
1542802319972419,8:29,dave east,gh mg yes my lord looool
1542802334412935,8:44,Zack blade,"2019, eff…"
1542802334494202,8:44,GH MG,lool
1542802377385184,9:26,Peter Lukas,"Us realy think that Malema gonna make it better for all South Africans, he's thinking is and are to black"
1542802388952034,9:38,peter pott,"look at fuzile, he was brought into standard bank to quite noise on currency manipulation, and front the fight with Nigerian government. they are busy with shenanigans there"
1542802423069125,10:12,Mfundo Veerasamy,Guys is this LIVE? IS IT DAY 3? IS EFF STILL PICKETING OUTSIDE FOR 3 DAYS?
1542802443968211,10:33,Mfundo Veerasamy,vele bathi indonga ze jericho zawa after 7 days
1542802450169517,10:39,dave east,mfundo yes my lord
1542802467646362,10:57,peter pott,"@Lukas, hates or love. He addresses a number of issues that plaque blacks, and government especially now, are seen to be too lofty to attend too"
1542802516717171,11:46,Bonani Maphini,this guy is annoying..why is he speaking like this maan
1542802539766259,12:08,Mfundo Veerasamy,"😂😂😂😂😂😂😂😂 Dave I now feel for our poor people, I was reading the hit back to EFF FROM PARAFIN USING DAILY MAVRICK"
1542802544760031,12:14,GH MG,Bonani...my observation too...so irritating
1542802555712671,12:25,Lindikaya Myeki,yes indeed he is annoying
1542802586905551,12:56,GH MG,and how did he lose the tooth?
1542802587126607,12:56,Mfundo Veerasamy,"lol Bongani his ""S"" are so sharp on my ears"
1542802592147813,13:01,Sthakathi Khumalo,"Those teeth and grasp of the queens language, izinja zeGame!!"
1542802602576320,13:12,Rifa Dzivhani,this guy mara 😏😏😏😏...is he trying to be fancy?
1542802631757088,13:41,Mfundo Veerasamy,"@GH MG, ITS THE WEED TOOTH😎😎😎😎😎😎😎😎😎😎😎😎"
1542802645622198,13:55,GH MG,"Items, he says Atoms"
1542802655939623,14:05,Lucky Dlamini,😅😅
1542802659387363,14:08,GH MG,Mfundo...lol
1542802662666936,14:12,Bonani Maphini,😀😀
1542802670821082,14:20,Mfundo Veerasamy,"HAHAHAHAHAHAHHAHAHAHAHAH, YOU GUYS ARE VERY FUNNY THE QUEENS LINGO NJA YAM"
1542802693792337,14:43,Peter Lukas,everyone is and are different
1542802700922576,14:50,Basani Mongwe,😀😁Language
1542802720218063,15:09,GH MG,maybe there is too much air entering the mouth through the gap
1542802771510323,16:00,peter pott,"they always used the reason of how much the Rand went to, and now they don't mention it anymore. why? Because Rand worsen under current president"
1542802772459050,16:01,Lorna Kavanagh,The advocate is speaking slowly and clearly ... what is wrong with that !!!
1542802778932266,16:08,Piet Kgasi,"I am waiting for the sacp, anc and eff to testify"
1542802841371224,17:10,Sthakathi Khumalo,As for the weed tooth THIXO!!
1542802855919763,17:25,peter pott,beautiful girls are one reason I watch this at times😀😀goodness why to I have to work in Europe when such beauty is back home
1542802932448031,18:41,Mfundo Veerasamy,"peter pott, YOU CLEANING AFTER THE QUEEN, N YOU ARE SHOWING OFF HERE THAT YOU ARE IN EUROPE. CLEANER AMA TOILET NXA"
1542802939430906,18:49,peter pott,"astute judge, astute judge."
1542802965333738,19:14,mbongeni zondi,ngisayochama
1542802967545930,19:17,GH MG,Noooo Mfundo
1542802972199234,19:21,Hlanganani Khosa,yah neh
1542803042696959,20:32,Lesedi,me too @Thando
1542803059018475,20:48,GH MG,who uses thereafter other than in writing? this guy though...lol
1542803062933387,20:52,Bonani Maphini,"Yes Thando, Joshua Door's evidence leader was too soft..."
1542803069449959,20:58,peter pott,"@Veerasamy, I cleaned the ""misses "" toilet and he called me a K word, I said to her ""v......k"" and now they pay me far Better than she did@😀😀😀"
1542803071802037,21:01,Mfundo Veerasamy,"I CAN HEAR THE HONORABLE JUDGE BREATHING VERY HEAVILY, OH THINGS THAT WE PUT OUR WOMAN THROUGH"
1542803102979311,21:32,Zizoh,THE BOT IS BACK
1542803112100278,21:41,Sthakathi Khumalo,Mfundo BEHAVE CHIEF HAHA
1542803199337564,23:08,Mfundo Veerasamy,MTHAKATHI MTUNGWA 🙏 WENA OGIBELA IKHONDE NGIYINI MINA NESIBONGO SASE NDIYA😀
1542803201956550,23:11,anele mtiki,whose this coconut
1542803211394795,23:20,Peter Lukas,"I also live and stay for the last 25years in Europe but im a sales advicers for a big company, not all off us cleaning toilets"
1542803215187020,23:24,Nelson Musoliwa,What is condo nation applications guys
1542803218610313,23:28,Wesley M,they must vind other admin staff. those people are messing up the paperwork
1542803226328879,23:35,GH MG,which coconut Anele?
