timestamp,time,author,message
1542975147887703,3:10,Peter Masuku,mmmm
1542975208213505,4:10,DJ DJ,no one watching all shopping
1542975232238193,4:34,Peter Masuku,just me and you watching
1542975310225911,5:52,makhosi nobhatyi,😃😃😃😃
1542975324585990,6:06,Mpho Kgomo,@DJ DJ 😂😂😂😂 I'm not shopping makes three of us oh four
1542975382619781,7:05,Peter Masuku,we are the only ones with no money thats why we are watching lol
1542975471170489,8:33,Mpho Kgomo,"@Peter Masuku NO WE THE ONLY ONES WHO UNDERSTAND, that this is not important Black Friday, believe it or not I'm a women and I hate shopping seriously I hate it."
1542975480399211,8:42,PETER STAFFEN,got to work
1542975501856640,9:04,Gideon A Vele,Respect to DCJ Zondo he just came from conducting the Judiciary report briefing and now he is chairing the commission.
1542975605858163,10:48,Peter Masuku,l get you sisi mpho
1542975911261027,15:53,Derrick Busani,what where you doing as a COO.......kinda hard to answer
1542975993395343,17:15,Mpho Kgomo,He is hot water clearly.
1542976074188821,18:36,Peter Masuku,guys are the guptas still in the country?or have they left with all the money made from this corruption
1542976120469892,19:22,DJ DJ,left country
1542976179758916,20:22,Derrick Busani,who knows they might be watching along with us currently....
1542976192378938,20:34,DJ DJ,who is been questioned
1542976208783440,20:51,DJ DJ,of course they watching
1542976235044821,21:17,Peter Masuku,@ Derick definitely they are watching
1542976242358071,21:24,Derrick Busani,current DG of the National Treasury
1542976287961768,22:10,DJ DJ,i think he could be a stand up comic
1542976654772006,28:16,Coach,"This witness appears nervous, he does not seem to comprehend questions."
1542977377833486,40:20,Nelson Musoliwa,Finance ministry is so important as it regulates state revenue and costing which underpin GDP that is why zuma recklessness is still felt by all of us
1542977453574731,41:35,Genevieve Pilz,Why is he talking about WMC?
1542977812455539,47:34,AYE!! its yaddy,Viva ANC Viva
1542977840901997,48:03,Thulani Bukani,DDG means?
1542977871098988,48:33,Thembinkosi Kunene,Deputy Director General
1542977927037409,49:29,Thapelo Masie,this guy seems guilty of something
1542978083154873,52:05,Nelson Musoliwa,How can a ddg issue a national statement without contacting his dg. It doesn't make sense to me
1542978106430309,52:28,Desmond Masilela,This guy knows something or his hiding it?
1542978139050778,53:01,DJ DJ,think they will get to the point and names will be dropped he seems itching to spill the beans
1542978165709261,53:27,Thapelo Masie,he keeps running away when they ask him about names
1542978252845075,54:55,peter pott,"@masie, he was promoted to DG role by gigaba. He feels like he owes allegiance to him. as much as fuzile holds regard for Pravin. loyalties in politics is what matters this days"
1542978333288267,56:15,Thapelo Masie,"@peter pott i see, it makes sense then"
1542978396905009,57:19,vincent mavasa,So he decide to lay for the Nation.. like Giggaba did..this guys they Gigabytes us
1542978505912192,59:07,peter pott,"well, He still in employment government. He is not certain if they will after him hereafter. Pravin looks after his subjects. Trevor got role of old mutual chairman, Fuzile got a job at std bank."
1542978523103677,59:25,vincent mavasa,😌
1542978527334896,59:29,Sandile Mabika,he seems surprised like someone wrote the statement on his behalf. i suspect pravin did
1542978646341826,1:01:28,peter pott,this commission can be wrapped in a month. if deputy chief justice can make a ruling that no more political appointees in certain departments.
1542978753356332,1:03:15,Gideon A Vele,so this guy lied in the draft media statement in order to please the markets...this guy is fishy
1542978869112191,1:05:11,peter pott,"all witnesses so far are Anc card carrying members. Mentor,pravin, hogan, Williams, jonas, manyi. i.e.. job interviews are undermined. Williams us still acting, fuzile they move dates to get him a job"
1542978974395720,1:06:56,Sandile Mabika,"des van rooyen was appointed finance minister for 3 days: i.e from friday to sunday. yet this fool is saying , minister caused much havoc in treasury amoung staff."
1542979005067785,1:07:27,peter pott,"uproot political appointees. end of story. they won't be van reopen,gigaba, pravin, manuel and now Toto. get a qualified CA , black CA to run this institutions"
1542979028990144,1:07:51,Sandile Mabika,"on wekend , treasury is closed."
1542979108252337,1:09:10,peter pott,now the battles of luthuli or conferences are being displayed into national department.
1542979142004408,1:09:43,Mhlonishwa Lindelwa,this people will never stop were have to get to the bottom of this it is totally unacceptable
1542979373327637,1:13:35,Mpho Vincent Mashao,"sv x x x c C,"
1542979377499214,1:13:39,Speckled Trim,They probably wanted the rand to tank so they could purchase a few cheap shares 🤔
1542979411577859,1:14:13,peter pott,"I don't understand this. we are displaying foolish loyalty here. Madiba appointed Chris liebenberg as first finance minister in 1994. in. 1996 he left, life moved on. many don't even recall this"
1542979423798774,1:14:25,Jesus Garcia,What is this chat about?
1542979649286781,1:18:11,Mcebisi Khanyeza,vrrrrr phaaa!
1542979652670164,1:18:15,Thabo Sethaba,corruption has always been there since frm the first democratic government of mandela
1542980147090842,1:26:29,Wesley M,Corruption was there in the apartheid government.
1542980263869263,1:28:26,Allan 28,lol DCJ
1542980368648297,1:30:10,Wesley M,"what im trying to say Thando is, the whole system is corrupt"
1542980390005406,1:30:31,Wesley M,the entire government set up.
1542980409214137,1:30:50,Nanda Nair,Can somebody please explain why state capture cannot be construed as an act of treason since the actions posed a serious threat to the state and its citizens?
1542980410369204,1:30:51,Speckled Trim,Everything means nothing
1542980416523608,1:30:58,Nelson Musoliwa,Wesly can you please elaborate a bit what a profession corruption is please
1542980452109343,1:31:34,Jesus Garcia,Everything is a lie and the opposites
1542980493846014,1:32:15,Jesus Garcia,When lies sit in your subconscious they take years away from you
1542980798829683,1:37:20,Speckled Trim,Its always been corrupted
1542980814978379,1:37:37,Wesley M,"Nelson a professional thief is that does not such a messi job, when they do corrupt things."
1542980868843707,1:38:31,Eslon Eslon,Has Jimmy Manyi appeared already for his second time for cross examination
1542980958598108,1:40:00,Nomsa Mdhluli,@Eslon it’s been moved to Monday
1542981301927639,1:45:44,Nelson Musoliwa,Ja Thando this is really tantamount to treason
1542981309950121,1:45:52,Nomsa Mdhluli,@Thando that person saved our country yazi
1542981886560901,1:55:28,Nomsa Mdhluli,It’s Kenya @Thando
1542982572552309,2:06:54,Coach,The intellect between this guy and previous DG who testified yesterday is mile apart
1542982584966905,2:07:06,Monique Jones,Happy Black Friday y'all
