timestamp,time,author,message
1561378075168399,0:55,Magda Seguin,I did some digging
1561378118120110,1:39,Magda Seguin,Kalandra Viljoen is a Benoni model
1561378125683456,1:46,Thapelo Motabogi,😂😂😂😂
1561378156079383,2:16,Magda Seguin,VBS is also involved
1561378170240309,2:30,Magda Seguin,And SME bank in Namibia
1561378172151469,2:32,funicanz,@Magda Seguin 😆
1561378207099090,3:07,Anne M.,Well done Detective Seguin
1561378221583994,3:22,Mulunghisi Mulunghisi,VBS is also involved
1561378250754391,3:51,Kgabo Manamela,"Magda Seguin, why are you not asking about Steinhoff?"
1561378263053766,4:03,Felix Muyoba,true..it wasnt a cash in transit business..
1561378280519249,4:21,Anne M.,@Kgabo Manamela That's at the PIC inquiry
1561378305053135,4:45,Kgabo Manamela,OK
1561378366186413,5:46,Magda Seguin,"Type Kamushinda money laundering in Google and you will even get graphs of the laundering,SAA/ Koreneka also involved"
1561378398228534,6:19,Magda Seguin,Steinhoff I ordered the two books on Amazon
1561378430093026,6:50,Mulunghisi Mulunghisi,who is involved in this one
1561378476881552,7:37,Magda Seguin,"This witness is implicated,Kamushinda is a Namibian who masterminded the laundering,VBS,George Markides,the list is long"
1561378481137460,7:42,Bongani Ntuli,we are back guys
1561378510164496,8:10,Mulunghisi Mulunghisi,heeeee
1561378546175337,8:46,Felix Muyoba,@Thapelo Motabogi i think you were right..the commission was supposed to ask this ladys qualifications.. i dont think she went far in school..
1561378565007095,9:06,Caroline Hawanga,Thank you Magda!
1561378597563987,9:38,clive oconnell,"I think she’s been groomed on Q/A by lawyers, and not so dumb"
1561378601685190,9:42,Mulunghisi Mulunghisi,felix there is no school here
1561378609643046,9:50,Magda Seguin,Money was delivered to a Sandton hotel in Checkers plastic bags
1561378610687282,9:51,Derek Main,I don't think Ms Viljoen realises how much trouble she is in.
1561378623328760,10:03,carnoth ngomane,@Felix Muyoba i think she did shes just playing dumb and acting as a victim
1561378628074296,10:08,Magda Seguin,According to Markides court testimony
1561378636512509,10:16,Thapelo Motabogi,"@Felix Muyoba ,it's a disaster,this woman just answer and not really sure what she's saying"
1561378687006552,11:07,Felix Muyoba,she cant run a business without knowing what is happening..
1561378704134164,11:24,Magda Seguin,"Do the research,its fasci sting,apparently the Shivambu brothers has the same lawyers as Kamushindu"
1561378778539336,12:38,Thulani Bukani,Viljoen thinks she's an ANC MP
1561378842259346,13:42,Robert Russell,ROFLMAO @Thulani Bukani
