timestamp,time,author,message
1569500300565169,-24:44,Ndidendavela Nam Bathembu Mgudlwa,Why are they always not starting at the stated time?
1569500317015753,-24:28,Vuyisani Sikobi,Adjourned? Whats happening?
1569500409034605,-22:56,Vuyisani Sikobi,Or South African time!
1569500460810914,-22:04,Matidze Michael,Agreed 110% African time
1569500494552373,-21:30,Jabu Nhlanhla,ha ha ha yes vuyisana
1569500690821252,-18:14,watson mutanga,"At times they start on time but the guys from SABC will be standing in the sun outside the buildings, busy chatting away. As a result when they do start screening, proceedings will have started."
1569500699107682,-18:06,Wilson M,"Jan, you can get far more attention with people on twitter"
1569500742435893,-17:22,JS Bach,"Jan, shut up."
1569500761666073,-17:03,JS Bach,Go post your old flag on Twitter
1569500790774511,-16:34,Speckled Trim,"Jan you need a psychiatrist, not apartheid"
1569500811164021,-16:14,Pedro P.,police... ipid... npa... cintel....sandf...etc...etc.......all pocket illegal.
1569500848218258,-15:37,Pedro P.,where that money come from?
1569500851421249,-15:33,Ricus Ellis,WHAT THE @#$%%^ IS HAPPENING HERE!!!! get those SABC guys out of the sun!!!. Call claudi
1569500880203540,-15:05,Pedro P.,FROM US... THE TAX PAYER.
1569500946187887,-13:59,Speckled Trim,Press Play guys. come on!
1569500952147172,-13:53,bongile sango,are they back yet?
1569500996876235,-13:08,Vuyisani Sikobi,"van der merwe I hope when we catch you, you remain as bold, you do not apologize profusely with teary apologies."
1569501015690825,-12:49,Pedro P.,@louis....you shut up. Open your eyes
1569501060933285,-12:04,Matidze Michael,Maybe they are doing behind the camera
1569501066753032,-11:58,bongile sango,Brother Louis even if press play nothing is happening
1569501093551697,-11:31,Speckled Trim,"No not you, the guys @SABC live"
1569501114170526,-11:11,Speckled Trim,Pedro no need to be rude man!
1569501151842364,-10:33,Pedro P.,you started
1569501185876164,-9:59,Speckled Trim,Ag pleez are you 3?
1569501238024752,-9:07,Pedro P.,2 well groomed
1569501248720988,-8:56,Pedro P.,😂😂😂😂
1569501314133291,-7:51,Mike Moja,he baan
1569501462182276,-5:23,Gerhad Hugo,dololo
1569501542522675,-4:02,Kay Kay,cln Naidoo is third in the intelligence high rank ladder and has a lot of information
1569501583509547,-3:21,David Zikhali,and then ZONDO🤔
1569501783551709,-0:01,Polo Mokoma,Manje?
1569502217382718,7:00,Pedro P.,Yes Yes...... bring Naidoo
1569502254267409,7:37,Kay Kay,what did Zondo rule is Naidoo not gonna testify in camera or not?
1569502386879362,9:49,Sthakathi Khumalo,"Zimbabean...nationals, love how he removes the middle letter M!!"
1569502579581102,13:02,Siyethemba Qwabe,bring back agriizi
1569502611272452,13:33,Slindile Ngcobo,@Gee Peex1 ...5 ferrari's is better than 4
1569502764359738,16:06,Pedro P.,I would like to know if Mr Judge Mogoeng Mogoeng is watching this proceedings? 🙄🙄🙄🤔🤔🤔
1569502903497369,18:27,Lungisani Mabaso,"Pedro P, what's so special about moengoe"
1569502945651871,19:07,Lungisani Mabaso,mogoeng
1569502970662680,19:32,JS Bach,"@Kay Kay as far as I can gather, NAidoo is going to testify in camera, because he is working undercover, and if he appears in open court, the crooks will see he is a cop."
1569503649920500,30:52,makhosi nobhatyi,Mr Naidoo is going to spell out the beans tomorrow morning
