timestamp,time,author,message
1551269054671589,1:22,rohan barnard,@SABC Digital News wgere is the sound??
1551269057689284,1:25,rohan barnard,where*
1551269059469873,1:27,Desmond Masilela,Sound please.
1551269430992189,7:38,makhosi nobhatyi,"Bathabile Dlamini for me she is the worst. Leader she was serving the boss Zuma, even things went wrong support him and protect him, Zuma was cool wth that coz have his defense"
1551269473378846,8:20,Desmond Masilela,Which Molefe are they referring to? are they referring to Brian Molefe?
1551269522415307,9:09,John Fagan,Brian
1551269569723015,9:57,Desmond Masilela,Thank you @John Fagan
1551269580699478,10:07,Danie Nilsen,oo
1551269624698290,10:51,Kalipile Candlovu,whats this OCS
1551269696005303,12:02,Lwandile Radebe,lol I remember eskom employees dancing for the return of Mr Molefe
1551269779694255,13:26,Desmond Masilela,@Lwandile Radebe. I also remember that.
1551269849619597,14:36,Michael Michael,bonus
1551269908611919,15:35,Lwandile Radebe,lol @Desmond Masilela they were happy for him coming back to loot
1551269942845289,16:10,Derrick Busani,let us wait and hear from Mr. Molefe himself.
1551269965624018,16:32,Desmond Masilela,@Lwandile Radebe. The guy (Molefe) took early pension worth at R3m imagine.
1551269975062621,16:42,Sophia Maholela,"I remember them welcoming him, then I wondered how well people really take time to learn and keep themseleves in the loop for companies they work"
1551269995768694,17:02,Sophia Maholela,Clearly they had no idea what Molefe was doing
1551270023186574,17:29,Michael Michael,He wz suppose to get 30m.just for 18 month.u can work for 35 years u will never get that
1551270031422258,17:37,Desmond Masilela,"They did, because parliament has raised this issue."
1551270044609767,17:51,Ntombethemba Manase,"Knowing Brian Molefe, he will sing like Agrizzi."
1551270080703135,18:28,Michael Michael,first i saw Molefe wz so happy being pround of him
1551270103710604,18:50,Michael Michael,not knowing he is a criminal
1551270138478684,19:25,Desmond Masilela,"All these ppl who loot money they are all fat. Look at Agrizzi, Molefe with his stomach and others."
1551270146226396,19:33,Ntombethemba Manase,He doesnt stand the heat.
1551270211075997,20:37,Desmond Masilela,But to my suprise no one is held accountable for all wrong doing.
1551270243417328,21:10,Ka Fuze,"“We are under pressure,” Molefe said. “On the one hand certain mining companies want to keep us paying exorbitant amounts of money for coal and we need to cut our costs"
1551270259027217,21:25,rohan barnard,"What boggles my mind is that, everyone sees all this misconduct going on, yet no one reports it and gather evidence for the police to make a case, everyone is thula whilst the looting is on."
1551270284826605,21:52,rohan barnard,"But come someone and expose the shenanigans, then they all wanna sing like canaries"
1551270301644726,22:08,Desmond Masilela,"@rohan barnard. 😂😂😂😂 ""thula"""
1551270314677830,22:22,Jabulani Sithole,Mafia kingdom the Godfather pardons everyone as long you dont steal from him
1551270316610344,22:24,Montwedi ontlametse emmanuel,who is this guy on the stand ?
1551270324857782,22:31,MAPONYA MELAMU,the truth has to come out
1551270331224591,22:38,rohan barnard,"Why not STOP it, before it gets out of hand?"
1551270352586221,22:59,Michael Michael,Desmond if i c u on tv as ceo.i happy bcz u are same colour bcz we not used on those position.if turn to be criminal hw do u think i will feel.
1551270393836084,23:41,Desmond Masilela,"The truth will come out, but the question we need to ask our self is. People who are implicated in this looting will be held accountable and put them behind bars?"
1551270397056214,23:44,Michael Michael,lets hope new generation will change and do things accoding to the book
1551270400620689,23:47,Joel Mzayidume,"@Montwedi ontlametse emmanuel He is former CEO of Glencore, Mr Ephron"
1551270421197901,24:08,Nelson Musoliwa,@Barnard i agree with you and it is so flabbergasting
1551270425689738,24:12,C S,Maleka is soft in his line of questioning when question Clinton
1551270434043233,24:20,Dmitry Nikashin,@rohan barnard i know right..😵 boggles my mind
1551270471817489,24:58,Quintin Jacobs,can someone tell me why is the mine in business rescue
1551270521269851,25:48,Quintin Jacobs,i know all the Gupta monies was frozen
1551270533216662,26:00,Sthakathi Khumalo,C S Maleka seems to have taken a stance really..
1551270536332395,26:03,Quintin Jacobs,Steinhoff - NO
1551270536847263,26:03,Myka'Al Daud,"Overpricing our coal and wanting to blackmail Afrikan leadership,while they loot .Looters must be exposed n isolated"
1551270539503221,26:07,Dmitry Nikashin,maybe they were all very scared to come forward.
1551270553039207,26:20,Desmond Masilela,@Michael Michael. Eishhh....... tricky one. Let me say you will feel bad or vice versa
1551270555508616,26:22,Michael Michael,Jacobs really thst could be great
1551270565551713,26:32,Singi Mathebula,ordinary workers were made to transect and remained silence. now NUMSA and NUM are reacting. what has gone of us
1551270581786388,26:48,mojaki khunou,Just in Time
1551270592019912,26:59,C S,Sthakathi Khumalo yes he has
1551270600737894,27:07,Bonang Sithole,i observed Maleka he doesn't dark and dive he is resolute
1551270620276477,27:27,Quintin Jacobs,Bosassa - PARTLY still running contracts with govt dept
1551270659249359,28:06,Michael Michael,Desmond bad.but remember i dont benefit for u doing great job.but still very proud of u.
1551270673399075,28:20,Quintin Jacobs,Glencore a multi national is powerful
1551270685993398,28:33,Desmond Masilela,"I want to understand if all this people that are put on big position, do they have all qualification or is it because of long service they have provided."
1551270691807860,28:38,Michael Michael,hope we teach kids ryt thing
1551270815895993,30:43,michael mbatha,"@Sthakathi Khumalo - I noticed something similar with Adv. Pretorius when he was leading Mr Agrizzi, especially towards the end of Agrizzi's testimony."
1551270823473449,30:50,Michael Michael,Look at Gamma at Transnett
1551270824007466,30:50,Sthakathi Khumalo,"Desmond Masilela Not even, some have inherited positions form Apartheid. One example would be the Mkgoro commission, these guys are not qualified yet they occupy key positions!!"
1551270896824763,32:04,Ududu Comedy,hellooo
1551270911013782,32:18,rohan barnard,"Ngabe bonke abaloyi banga melenga babe pabile, ngabe ninga limalanga 🤐🙄😧😵"
1551270919585621,32:26,Dmitry Nikashin,wow..Sounds like a coordinated campaign of sabotage😦
1551270937066296,32:44,Sthakathi Khumalo,C S michael mbatha Agree with you gents.. this is worrying in all fairness. We expect the same vigour in everyone!!
1551270957349867,33:03,makhosi nobhatyi,Here we come mr Maleka grill him
1551270957828747,33:04,Desmond Masilela,@Sthakathi Khumalo. Exactly my point. even our president. if you have never been behind bars during apartheid regime you will never become president.
1551270958116428,33:04,Mfundo Veerasamy,not again KPMG
1551271025340293,34:12,Desmond Masilela,I'm not saying you must have qualification in order to be president. Im just saying many ppl occupy big position with no qualification.
1551271074515312,35:01,Phanos Sithole,i second you on that @Desmond Masilela
1551271086071888,35:12,Desmond Masilela,@pho
1551271099228079,35:26,Michael Michael,yaa
1551271100629376,35:27,Desmond Masilela,@Phanos Sithole. Thank you.
1551271120941223,35:47,Myka'Al Daud,"RET vs WMC at eskom,pity things were not done well n alleged corruption took place"
1551271130123183,35:56,makhosi nobhatyi,@Desmond Masilela please sir no more uneducated person to run our country please tjoo
1551271133219019,36:00,Robert Russell,@Desmond Masilela ...our current pres has never been jailed...
1551271152120515,36:19,Michael Michael,Makhosi correct
1551271186770080,36:53,Desmond Masilela,@makhosi nobhatyi. 😂😂😂😂😂 The ball is in our hand to make that happen. because its us who vote for them.
1551271189526403,36:56,makhosi nobhatyi,Seems to our comrade being a president you must be arrested during apartheid era
1551271199483680,37:06,michael mbatha,"Work experience played a big role. Look at the expert yesterday, the acting GM coal generation - he only had a diploma."
1551271202148975,37:09,Michael Michael,kpmg again
1551271222550684,37:30,Tebogo Makoro,The wedding planners KPMG again!
1551271231751008,37:38,Sthakathi Khumalo,"Spot on bro. I guess the bigger question is, recognising these shenanigans, what do we do? Should we vote them out? if so, who do we vote in as an alternative.. these guys have no succession plan"
1551271255185276,38:02,Desmond Masilela,@Robert Russell. He was jailed for 10yrs.
1551271347818529,39:34,Born free,wait till they get to Phembani
1551271358224636,39:45,William Pieters,ROTFL @makhosi nobhatyi
1551271394185072,40:21,Desmond Masilela,@Sthakathi Khumalo. We need to vote them out. in term of who do we vote!! Eish bra on that one im speechless. 🤔🤔🤔
1551271399074724,40:26,Kalipile Candlovu,makhosi nobhatyi..yibhatyi le uyithethatho
1551271422110785,40:49,Desmond Masilela,@makhosi nobhatyi. 😂😂😂😂😂
1551271437008018,41:03,Myka'Al Daud,Businessman who took leave to come n sell SOE's to his family n friends
1551271438933504,41:05,Sthakathi Khumalo,"Val Speirs They mentioned Pembani in the morning and mentioned.. conflict of issues, thought they would engage that part deeper"
