timestamp,time,author,message
1582790525519373,-10:40,Gareth Hellyar,Are we late again?
1582790534732390,-10:31,Gareth Hellyar,Morning all.
1582790575698088,-9:50,Pastor J.J,​I Pray and wish you all a Blessed and safe day.🙏🙏🙏
1582790600002398,-9:26,Colleen Arezio,Amen. And to you too Pastor.
1582790688229837,-7:58,Gareth Hellyar,Nothing?
1582790691520961,-7:54,Granny Mokwena,I've given up on the commission starting early.
1582790750043385,-6:56,Gareth Hellyar,"Then, they wonder why they are running out of time. Tea break, lunch break. Eish!!"
1582790779039454,-6:27,Gareth Hellyar,"Early endings, etc,etc."
1582790781080130,-6:25,Derrick saperstein,The commision's clocks are captured by the Gupta's.
1582790781772630,-6:24,Keith Din,"Is there any other important testimony today..... than the SABC grannies who kept quiet back then, when DTT was being delayed and failed?"
1582790841324355,-5:24,Keith Din,Been or have attended Parly Committee Meetings several times.... too many breaks for my liking
1582790841416757,-5:24,Gareth Hellyar,LOL @Derrick saperstein
1582790881219633,-4:45,Milton Williamson,who's on the stand today?
1582790913750017,-4:12,Gareth Hellyar,Adv. Cyril Simphiwe.
1582790935347119,-3:50,Colleen Arezio,they didnt say yesterday unless I didnt hear it.
1582790969525720,-3:16,Gareth Hellyar,"Director of Public Prosecutions, KZN."
1582791031771546,-2:14,Colleen Arezio,👍
1582791034761295,-2:11,Bongani Mdletshe,has it began I can't see any movement?
1582791100464036,-1:05,Colleen Arezio,their watch batters are flat or they usi g Chinese watches.
1582791101319642,-1:04,wendy hardy,Are they late? Again?
1582791135221072,-0:31,Kuvhanganani Musekwa,Tea breaks and lunch are never delayed.
1582791187611285,0:07,Keith Din,Lovely breaks ever experienced there
1582791194415771,0:13,Gareth Hellyar,Here we go!
1582791211997031,0:31,Kenny Innes,Amen
1582791220932707,0:40,Derrick saperstein,I must sat I was very surprised when TITO started dead on time yesterday!
1582791263969397,1:23,Gareth Hellyar,"Yes, John Steenhuizen was late."
1582791276337639,1:36,Christina Qgibelo Motau,They here
1582791307158343,2:07,Gareth Hellyar,Stopped from gong in by police.
1582791317665843,2:17,Gareth Hellyar,#going
1582791349798809,2:49,Cruda Bex,"John was arrested by home affairs, they thought he was illegal immigrant"
1582791405870362,3:45,Derrick saperstein,"Cruda, I like that"
1582791409792065,3:49,Gareth Hellyar,One of the Church Square ones?
1582791464061348,4:43,Gareth Hellyar,What is he here to testify to?
1582791510749253,5:30,Gareth Hellyar,See Blondie sitting next to him.
1582791548093080,6:08,Gareth Hellyar,Too scared to come before the DJ today.
1582791564145735,6:24,Pastor J.J,Thats a frightening and very scare sight@Gareth Hellyar ....consdiering her past performances.
1582791589580429,6:48,Gareth Hellyar,Agree.
1582791593545468,6:52,Cruda Bex,EFF FEAR SECURITY OF PARLIAMENT
1582791618229108,7:18,Paul Buchel,"It's live now on ENCA,"
1582791729108804,9:09,Joe da silva,What is EFF ??
1582791799556569,10:19,Sunshine 53,it's the best party by far
1582791812624504,10:32,Cruda Bex,Enjoy fun forever
1582791816101730,10:36,Pastor J.J,A very rowdy and undisciplined bunch of young boys always dressed in red dresses with gucci underwear.hahahahaha@Joe da silva
1582791847225502,11:07,Keith Din,"EFF is a political party that is voted by a particular section of the population, to earn salaries, and cause some disruptions @Joe da silva"
1582791873060799,11:32,Sunshine 53,"why sooo bitter Pastor, who hurt you"
1582791899251941,11:59,Christina Qgibelo Motau,Yho
1582791912728129,12:11,Keith Din,Oh @Pastor J .. i feel my EFF description is a bit weak now.... spot on! Ndiyabulela Mhlekazi
1582791913544203,12:12,Joe da silva,Ok thanks for the details
1582791913974426,12:12,Noah Kids,Ouch
1582791928777436,12:28,Pastor J.J,"@Sunshine 53 ... I like them at a personal level when they behave. And yes,Cruda is always hurting my feelings"
1582791943254098,12:42,Cruda Bex,easy Pastor J
1582791959680501,12:59,Pastor J.J,I love you too @Cruda Bex
1582792011592177,13:51,Pastor J.J,@Keith Din .. I had to do well this morning. But honestly the description is apt and precise though
1582792027053556,14:06,Sunshine 53,@PastorJ noted
1582792120529464,15:40,Keith Din,"Such eff bunch of pseudo populists and socialists must thank the 2% section of population, which voted them into our parliament. They now earn reasonable salaries, just disrupt @Joe da silva"
1582792206789403,17:06,Cruda Bex,EFF is already running this country
1582792250993037,17:50,Sunshine 53,@Cruda True
1582792252117515,17:51,Joe da silva,Any EFF aircraft pilots ??
1582792258517148,17:57,Keith Din,"I see @Pastor J that you're charged up, like a new car battery! But i wasn't perturbed we sort of came up with such an apt description. Great minds think alike"
1582792325708484,19:06,Joe da silva,Not 1. EFF pilot ?????
1582792325730897,19:06,Keith Din,"NO, you're wrong @Cruda Bex , eff is just disrupting and diverting us away from important issues we have to deal with, daily."
1582792334542582,19:14,Pastor J.J,We could have done a lot more @Keith Din ...Lots of choice and select words come to mind describing those fellas. We will get banned on this chat unfortunately
1582792355226434,19:35,Rob Nel,"@Cruda Bex and there I was, thinking criminals and trade unions is in charge."
1582792437263966,20:57,Kaoma mukupa,OK
1582792506199268,22:06,Sunshine 53,I'm an EFF Pilot ke bhuti @Joe
1582792542293351,22:42,Joe da silva,Not a mini bus a aircraft pilot
1582792569046359,23:08,Keith Din,"We could have done much better indeed! Jeez, my 19 year old nephew was a BIG eff fan but he shocked me past months, describing them as ""hooligans, AND uninspiring attention seekers"" @Pastor J"
1582792601622725,23:41,makhosi nobhatyi,Zuma was hiring most people from kzn
1582792604637818,23:44,Granny Mokwena,the Cator manor lies ruined a lot of people's lives just like the Rouge unit lies.
1582792613848320,23:53,Pastor J.J,Give the boys a bottle of Bells or Bols. He is 19 now@Keith Din
1582792622329151,24:02,Sunshine 53,did I mention a mini bus? @Joe
1582792626625405,24:05,NQOLO,I AM A PILOT OF EFF PLANE
1582792652118014,24:32,Granny Mokwena,"if I'm not mistaken, one of the accused in the Cato manor committed suicide."
1582792669613440,24:48,Keith Din,"This guy was a provincial NPA boss somewhere, right? He was also one of the smart candidates for the NDPP"
1582792670391342,24:48,Joe da silva,No way that plane will never take off
1582792670639885,24:49,Pastor J.J,I can see a few plane crashes coming sooner rather than later.....hehehehehehe
1582792672700085,24:52,Cruda Bex,All black people in the right mind are EFF from Cairo to Cape
1582792757122958,26:16,Jacqui Baumgardt,I thought Eskom was starting this week
1582792761555218,26:21,Sunshine 53,Oksalayo Yol will never run this country again @Cruda
1582792771986331,26:31,Keith Din,"Actually, EFF runs the country on social networking sites (SNS), OR on online platforms."
1582792779071432,26:38,Joe da silva,EFF means no overseas investment sorry
1582792822515668,27:22,Sunshine 53,who hurt you guys??
1582792852726932,27:53,Joe da silva,South Africa needs the world the world does need South Africa
1582792879033746,28:18,Cruda Bex,Tito R80 is not enough increase to my grant data is too expensive
1582792892638547,28:32,Pastor J.J,Considering is mindset I do too@Keith Din
1582792959730137,29:39,Pastor J.J,"Cruda, Do you want a job?"
1582792961418126,29:41,Keith Din,"true @Joe da silva , as long as our economy is tied up with that of the global world... South Africa can't afford to have hooligans in power.... Fortunately, eff will never be in power, anyway"
1582792993126729,30:12,Keith Din,"I remember now, this guy is from KZN, NPA"
1582793000565108,30:20,lufuno nema,R80 it means R40 end of April and another r40 from October
1582793010288360,30:30,peter sikoshule,chauke must explain 😂😂😂
1582793143896071,32:43,Cruda Bex,@lufuno nema We must stop voting ANC if they think we can live on less than R2000
1582793225502879,34:05,Pheladi Lamola,Sloppy work.
1582793248866284,34:28,Sthembele Cele,MR MLOTSHWA
1582793270779491,34:51,funicanz,"Morning, who is this guy leading evidence today?"
1582793297621242,35:16,Gareth Hellyar,Nanny State. Why are so many people living on grants?
1582793329469898,35:49,Largactil K,let them go find it now!
1582793371042672,36:31,Felix Muyoba,true..this is unsatifactory..what if the witness lies?
1582793372385954,36:32,Cruda Bex,Advocate Nicholson is weak. out!!
1582793376483791,36:36,Erika Bown,What happened now?
1582793376612396,36:36,Pheladi Lamola,Chair reprimanding them with a cool tone. I would be furious.
1582793395566795,36:55,Erika Bown,"I just went out quickly, what evidence do they not have"
1582793402006565,37:01,Sunshine 53,and his sooo chilled
1582793426985705,37:26,Gareth Hellyar,He is a very patient man.
1582793445455754,37:45,HBWorx,"Every time I watch the Zondo zoo their own legal team seem to be found wanting. Leading bogus evidence, witnesses etc. ISSA MESS!!!"
1582793456545767,37:56,Cruda Bex,Nicholson paid to take a fall
1582793462349341,38:01,Gareth Hellyar,Webber Wentzel Attorneys. Eish!!
1582793465185565,38:04,Anne M.,@Gareth Hellyar So many people are living on grants because we have a very high unemployment rate.
1582793491530599,38:31,Felix Muyoba,legal team should just apologise and not try to defend themselves
1582793529203727,39:08,Pheladi Lamola,They must just say Sorry Chair we messed up
1582793566460885,39:45,Gareth Hellyar,"And, some are just sucking the country dry."
