timestamp,time,author,message
1595923342486149,-1:34,Anthony Ramasike,where a we?
1595923425941524,-0:11,Eric Belle,morning Anthony im here
1595923472620582,0:25,Tseliso Ntsepe,Anthony relax we are still sorting out our filling 😄😄
1595923526928184,1:19,Eric Belle,here we go more excuses
1595923543358361,1:36,Anthony Ramasike,thank u
1595923575721285,2:10,Anthony Ramasike,lol..no excuses Sir
1595923823662454,6:17,André du Plessis,corona is a fanatsic excuse
1595923892578689,7:26,André du Plessis,for more corri ption and no accountability
1595924062801632,10:16,R hunter,Ha ha just a gentle reminder. You are still under Oath! Incase you may have forgotten....
1595924075798616,10:29,André du Plessis,So when he presented the firepool expination there was a song playing
1595924138322151,11:33,André du Plessis,reminder this is the guy who brought up the Berlin Conference yesterday... anyway the firepool song continues thus...
1595924154859456,11:47,André du Plessis,"Ma il mio mistero è chiuso in meIl nome mio nessun sapràNo, no, sulla tua bocca lo diròQuando la luce splenderàEd il mio bacio scioglieràIl silenzio che ti fa mia"
1595924246303041,13:19,André du Plessis,"No Sleep, No sleep, No one will know my name - no, no, I'll say it on your mouth"
1595924290924677,14:03,André du Plessis,"the previous comment is the translation of the firepool song, funny he did indeed battle to sleep"
1595924312459176,14:25,Dominic Przybylski,ANC now has got themselves a R70 billion loan from IMF so it's now party time!
1595924348973940,15:02,André du Plessis,"I think the IMF loan should form part of the state capture hearing now already, just to get a head start"
1595924374445873,15:26,Alan White,Zono not looking well....hoep he not getting teh Covid
1595924389126205,15:41,André du Plessis,"Now, finger on the mouth, Im about to lie"
1595924436933562,16:30,André du Plessis,"then very wild arm descriptions, as if this fixes languagge and grammer and so on"
1595924499494421,17:33,Dominic Przybylski,CR's spokesperson is married to one of our 14 kings and queens who take R500 million per year from our taxes. He is the sole director of the company which got a R120 million tender to supply PPEs.
1595924502969669,17:35,André du Plessis,finger on mouth - still lying
1595924510999666,17:45,Dominic Przybylski,The gravy train is running smoothly.
1595924619853724,19:32,André du Plessis,whole hand on the mouth - visa a vie a lie
1595924676050198,20:28,Dominic Przybylski,Corruption train has left Zondo miles/decades behind.
1595924746099536,21:39,Mike Newlands,@Dominic gone and derailed
1595924801685600,22:34,Mike Newlands,if his lips are moving he's lying 🤔
1595924854939754,23:28,André du Plessis,Mike I think it's worse than that... if breath is moving through the vocal chords it turns to lies... this guy can hum a lie
1595924970624509,25:21,Dominic Przybylski,There's a difference between government and governance. I'm losing faith in Zondo. This is taking too long. He already has enough information to establish what the basic problem is.
1595925039368901,26:31,Wilson M,I just came in. what agents is he talking about?
1595925296131483,30:48,Monare Mohwaduba,Hello African people
1595925392331845,32:25,Pardon Tshepo,Hello why do they take too long while they know the truth
1595925394876083,32:27,chimbuzi1,"R500bn gone! plus new IMF R70bn, pls put some money aside for this new Inquiry to be held in 2023"
1595925518913926,34:33,Monare Mohwaduba,whose the suspect here?I am new
1595925554084572,35:08,Monare Mohwaduba,okay thanks
1595925590793727,35:45,Monare Mohwaduba,70 Billion Rands?
1595925644003639,36:36,André du Plessis,conceptual understanding of interpretaations
1595925648021453,36:41,Dominic Przybylski,CR is BEE billionaire courtesy of ANC. It's payback time. Expect to be disappointed if you are not corrupt.
1595925667812330,37:01,Jake L,Aye JOBURG
1595925711517987,37:43,André du Plessis,the navelfluff in my navel is relative to my stomach and the institutions that report to the greater portfolio that rubs against the shirt which nakes up the fluff in my bellybutton
1595925725170511,37:57,Monare Mohwaduba,We need equal rights and justice for all.Please put those who stole the money in Prison and take back everything they have.
1595925734498788,38:06,André du Plessis,that is my understanding of my job
1595925764187472,38:37,Dominic Przybylski,Stolen money has already been spent. Nothing left.
1595925770343341,38:41,Abel Matshidiso,mrng ppl is this the same guy who tried to convince us that the swimming pool is actually a fire pool during Nkandla matter
1595925801256759,39:12,Kumaran Govindsamy,"Almost 2 years, what’s the outcomes and consequences of those found to be captured"
1595925804303331,39:17,Monare Mohwaduba,They must rot in jail
1595925811181776,39:24,André du Plessis,"Neesun Dormo, Nessun Dormooooo"
