timestamp,time,author,message
1553758855256951,-21:45,Dimakatso Tshinaba,Angelo Agrizzi!!! Habashwe!!!!
1553759319112005,-14:01,S Nompozolo,@Dimakatso Tshinaba im here for him 😂😂
1553759587007409,-9:34,Dimakatso Tshinaba,@S Nompozolo me and you both!!!!
1553759606976410,-9:14,Amen Nkosi,hey guys is it agrizzis turn ?
1553759654466148,-8:26,Desmond Masilela,Habashwe!!!!!! another bomb
1553759725754206,-7:15,Amen Nkosi,8ta Mr Desmond
1553759756920353,-6:44,Wallace Mandimutsira,Agrizzi in the building now
1553759873419853,-4:47,Amen Nkosi,thank Wallace.. cant wait man.. i missed the inquiry for two days ..
1553759905122227,-4:15,Andile Ngqoshani,hi
1553759916834511,-4:04,Amen Nkosi,hi Andile
1553760025275511,-2:15,Sebation Nantsika,Molweni
1553760046604799,-1:54,Amen Nkosi,ola Fumani
1553760087496173,-1:13,Talent P Sibisi,Now it 10am let's go State Capture.
1553760106795731,-0:54,Steven Ligege,"Agrizzi, the only racist Im looking forward to listen too, aint that f*d up"
1553760119574419,-0:41,Sipho,"Zuma Nkandla, Ramaphosa Bosasa"
1553760123271264,-0:37,Graham Jehoma,vandag is vandag...................Agrizzi to take another 10% ANC votes away
1553760138724488,-0:22,Amen Nkosi,lol danm atleast he doesnt hide the truth
1553760142159528,-0:18,welton paulse,Eish Zondo likes being late
1553760180848297,0:06,Cecil John,agriizi is crooked yet a hero too
1553760207852191,0:32,Talent P Sibisi,Volume please
1553760211511047,0:36,thendo thavhana,what time is this thing srting
1553760235952689,1:00,Ntombethemba Manase,Agrizzzilili!!!!!!!!!!!!
1553760259949474,1:25,Desmond Masilela,@Amen Nkosi. Eita bra.
1553760265062983,1:30,Cecil John,😁😁
1553760290076829,1:55,Michael Michael,Morning everybody
1553760298986825,2:03,makhosi nobhatyi,"Ramaphosa Bossasa is a mine there are damning evidence that will come head by McBride showing how Zuma capture SIU and NPA and Police to protect himself, how they use to attack people"
1553760301676865,2:07,Sandras Tendenguo,There goes my day... 👀
1553760327690349,2:32,Precious Ntshangase,"Grizzi lama Grizzi, my main man😂😂😂. Welcome back"
1553760343934213,2:49,Dimakatso Tshinaba,Mgrizozzo bafethu!!!!
1553760347968312,2:52,Daniel Norman,Agrizzi ke ngwana ga mang maar...i think he took from her mom...😂😂😂
1553760352247789,2:57,Michael Michael,Mr Truth
1553760361436101,3:05,Amanda Bentsile,Agrizzi!! he doesnt look happy
1553760362190278,3:07,Cecil John,thank u for showing him love guys 😁👍
1553760368297159,3:12,peter pott,"@makhosi, we shouldn't adopt the view that corruption is minor. uproot it at early stage."
1553760372258142,3:16,makhosi nobhatyi,"Just watch the space, Gupta whistle blower is coming at may"
1553760385786096,3:30,welton paulse,Die poppe gaan dans
1553760388863040,3:33,Desmond Masilela,Today work must wait. I must put more attention in to Agrizzi testimony.
1553760389513102,3:34,michael mbatha,It's Agrizzi o'clock once more. Moja.
1553760403172884,3:48,Humbulani Sikhwivhilu,welcome back Agrizzi
1553760408162393,3:54,Zama Kubheka,Agrizzi is back!!!!! hoop hoop
1553760408320673,3:54,Kateli Lucas,At last
1553760411909656,3:57,Gugu Dube,Daniel Norman u just killed me 🤣🤣🤣🤣
1553760425206223,4:09,11soccerdad,Only in South Africa. A commission on corruption. Overwhelming evidence against government officials and the only people who get arrested are the cooperating witnesses.
1553760427045755,4:11,Keboutlwile Manale,I like these man
1553760429299760,4:14,Nokwanda Masuku,our national file minister😀
1553760432027849,4:17,Sipho,@SABC Digital News what's wrong
1553760436008121,4:20,Joel Mzayidume,hola Agrizzi!!!!!
1553760447558894,4:33,Munyaradzi Murapa,pakaipa kkkk
1553760448975763,4:34,Felix Muyoba,great day today..not those wara wara days we had previously..
1553760449070371,4:34,Musa Bakiti,Welcome Agrizi the real deal
1553760449380867,4:34,Nozipho Thembeka,Ziyakhipha today
1553760453861895,4:38,Hein de Wit,Toast Them !
1553760460508717,4:45,Precious Ntshangase,"Let the closet the opened...name that Agrizzi,we support u"
1553760461517812,4:46,Joel Mzayidume,ola papa!
1553760463148191,4:48,Yandi Masina,👀
1553760465781591,4:50,phahlana sammitto,Howzit Agrizzzz
1553760477095245,5:01,Joel Mzayidume,Uph'uMokonyane?
1553760491994408,5:17,Thapelo Motabogi,"MR A AGRIZZY,THE BOOM MUSTER,I WONDER WHAT HE HAS FOR US IN HIS LUCKY PACKET?!"
1553760495507517,5:20,Eslon Eslon,Pretorius and Agrizzi's has no friendly relationship
1553760506704651,5:31,peter pott,commission pays well. this lady braids☺☺
1553760510753010,5:35,Thapelo Motabogi,😂😂😂😂
1553760518445453,5:42,Phendukani Bethuel,welcome Agrizz
1553760525448008,5:50,makhosi nobhatyi,"Peter pott yes my brother it true what you said, what I was trying to say Ramaphosa and his son will answer for the scandal of Bosasa , they are willing to come here not like someone who don’t want"
1553760533309180,5:58,phahlana sammitto,Where is Adv Molefe
1553760536792904,6:01,Magda Seguin,Judge Zondo says there are people who do not want the Commission to succeed...wo
1553760539693520,6:04,Yandi Masina,@peter pott Their hair is always on 100. They pay well hey.
1553760542095606,6:06,Desmond Masilela,Agrizzi is tired of sworn. Yesterday he just sworn at the court today is the commission. We know Aggrizzi is will not liar. They must just put question in finish and klaar.
1553760553782491,6:19,Sfiso Nkosi,Morning Everyone.. I'm here to hear Mr Agrizzi part 2
1553760567562329,6:32,Michael Michael,Mr Pistoruis sound little bit like priest
1553760570341306,6:35,Keboutlwile Manale,wow
1553760578534950,6:42,Musa Bakiti,Please Agrizzi not any names of ANC members its election time
1553760578876819,6:42,Daniel Norman,"@Gugu Dube,ke sure his mom ke van tabia wa kha dizonung...knowing every secret ya mo kasi.😂😂😂"
1553760594189634,6:59,Grayboy how,when will McBride come up..I think he has a truck load of dirt on his commies
1553760608151986,7:12,Yandi Masina,SABC
