timestamp,time,author,message
1603867872638542,-1:17:02,Ashraf Thebus,whats this about
1603869590166574,-48:24,Aubrey De Bliquy,about 10 o' clock
1603870330676555,-36:04,Phetogo13 Pheto,I wonder why Nontsatsa Memela and mr Ndzeku were not arrested by the hawks after a damning evidence at Zondo commission
1603871319844812,-19:35,Heather Durr,I am in the wrong profession-i should have been a translator
1603871872103189,-10:22,Mr K Lakhan ʕ•ᴥ•ʔ,hi.. so small crowd today..
1603871981980279,-8:33,Heather Durr,Ramaph in quarantine
1603871994054190,-8:20,Mr K Lakhan ʕ•ᴥ•ʔ,today..I'm defending mr malema.
1603872138908929,-5:56,Xolani J Masemula,"Hello Everybody,"
1603872162662977,-5:32,ALTA,xolani hi
1603872233717657,-4:21,Mazda MJ,Are we ready
1603872305474890,-3:09,alowis musodza,Yes yes mazda 🤣🤣🤣... are we ready... all rise
1603872310918039,-3:04,FieliesSA,"Ah man im torn in 2... Watch state capture, or malema assault court hearing..."
1603872336564599,-2:38,alowis musodza,Who is on the hot chair today?
1603872373572693,-2:01,Douglas Masuku,former group procurement executive
1603872378159591,-1:56,Natalie Soine,"The Commission continues to hear Denel related testimony from former Group Supply Chain Management Executive at Denel SOC, Mr Dennis Mlambo."
1603872445421350,-0:49,alowis musodza,Fielies I would rather watch zondo... the eff story we can always catch it later on the news. For zondo we need blow for blow...
1603872481965103,-0:13,alowis musodza,Thanks Douglas
1603872486233674,-0:08,Bokwe S'makuhle MAFUNA,Is there anybody here?
1603872508077597,0:01,Teunis van Ree,"EFF on TV, Zondo on YouTube"
1603872635814469,2:09,Mr K Lakhan ʕ•ᴥ•ʔ,..they came across 50 shades of white. he got epilepsy. 💫✨ therefore he pushed. thx schuster
1603872692483474,3:05,Gray Lawrence,hi all. sorry I'm late. who is this guy? is he a crook?
1603872729998398,3:44,Heather Durr,Morning all-is this the only guy for today that you know of
1603872751878022,4:05,ALTA,heather GM
1603872763894999,4:16,ALTA,gray GM
1603872776332460,4:27,Heather Durr,@ALTA Hey Alta
1603872790132760,4:45,Gray Lawrence,Alta . your the best thx
1603872809668705,5:03,Aubrey De Bliquy,@Gray Lawrence These are just the little cogs in the wheel. Zuma is happu as a clown lounging in his fire prevention swimming pool.
1603872823063485,5:17,ALTA,gray 😀
1603872829873374,5:21,Welcome Kamogelo,😅🤣😂is he the crook??😅🤣😂u guyz are smthng else🙃
1603872842367824,5:36,Teunis van Ree,hi @ALTA 🌷
1603872879846764,6:10,Vusimuzi Nkosi,he looks like a crook to me
1603872891097170,6:25,Vusimuzi Nkosi,supply chain management
1603872894845909,6:28,TheQueen V,"ja nee teunis, prioriteite in die land is opgemors"
1603872920268276,6:50,ALTA,Valencia hallo
1603872921240422,6:51,Teunis van Ree,hey @Heather Durr
1603872924102380,6:57,FieliesSA,@Valencia J eerste keer wat ek jou sien afrikaans tik.
1603872930974449,7:04,TheQueen V,hey @Alta
1603872952110984,7:25,TheQueen V,@Fielies regtig? Ek is bilingual 😁😁
1603872969187911,7:43,Heather Durr,He is not a crook-this incompetent Evidence Misleader will never be given a competent x examiner
1603872981465278,7:56,Welcome Kamogelo,Gary u c wht u hv started 😅🤣everyone is now suspecting my guy here😅🤣
1603872984401430,7:59,hirsitus,@Natalie😥😥😥
1603872993448132,8:07,Thamsanqa Sibanda,🤔🤔
1603872995905097,8:09,TheQueen V,hey @Theunis
1603872999843504,8:10,Heather Durr,@Teunis van Ree HI there
1603873001609379,8:12,L. M,"""Dennis the menace"" 😅"
1603873048488022,9:01,Luyanda Qokama,there are lotsa of Paul Kruger statues in SA which were built at the time of people were homeless. What is really your point?
1603873078123514,9:31,Gray Lawrence,"it seems these people looking after our SOE'S, are not the sharpest tac's in the box. is it just me?"
1603873091326986,9:45,Heather Durr,*I mean a crook needs a proper x examiner not this Kennedy
1603873098076629,9:51,FieliesSA,@Heather Durr Lawyers at that age has learned a trick or 2. Plus he might still have to get frustrated about the gross incompetence. I remember Hulley and Myburgh being calm at the beginning
1603873147813772,10:40,Natalie Soine,@Luyanda Qokama we thought ANC would do a better job than those that built statues in the past. It should not have been done then either.
1603873149082417,10:41,TheQueen V,who is this fellow on the stand?
1603873149369946,10:41,Ayjay York,"@Gray Lawrence, you spoton! no bright peanut in the pack"
1603873161550070,10:53,Welcome Kamogelo,shame poor Mr Kennedy😅🤣
1603873191596051,11:22,Nthabiseng Mokhele,morning peeps.sorry I’m late. U guys are now 2 hrs ahead of us.
1603873191909424,11:22,Gray Lawrence,Ayjay
1603873200724575,11:31,Gray Lawrence,👍
1603873221909904,11:56,xx xx,Do we have a skelem in the hotseat?
1603873228503575,12:01,Natalie Soine,Yep
1603873235463494,12:09,Paulo Da Costa,vet van vuil geld......goeie more mense
1603873240841326,12:12,Maryann Diamond,hello beautiful and handsome ppl:virtualhug::virtualhug::virtualhug:
1603873264913907,12:39,Douglas Masuku,"I think Kennedy is methodical but mild mannered. He reminds me of ""Slow Poison"" Seleka. Watch this space"
1603873265120477,12:39,ALTA,paulo ... maryann GM
1603873279937358,12:50,xx xx,:chillwcat: sighs
1603873289283462,13:03,Nthabiseng Mokhele,He does look like a skelm🙊
1603873309971171,13:23,xx xx,That grimace....I duzzint trust that
1603873312309633,13:26,Douglas Masuku,No. he's a skelem catcher
1603873315432112,13:29,Zama Mazibuko,he indeed does
1603873324096537,13:36,#MyLifeMatters -_-,Gooday Fellow South Africans and citizzensss of the worrlddd
1603873326848858,13:41,Calvin Ndavheleseni,ndaa vhana vha mukalaha
1603873340548548,13:53,Heather Durr,I am interested to know why he stayed on at Denel even with such fraud
1603873352660787,14:05,SanFran Arnold,"Denel related testimony from former Group Supply Chain Management Executive at Denel SOC, Mr Dennis Mlambo."
1603873373330884,14:26,ALTA,sanB more😘
1603873387031688,14:40,SanFran Arnold,"Mr. Mlambo I feel is clean, and was looking out for the business"
1603873391196682,14:45,xx xx,Thank you Sanfran
1603873404134397,14:59,Ted Michel,kunamathambo amaningi asadinga ukuphuma
1603873405217619,15:00,SanFran Arnold,@ALTA morning skat:virtualhug::virtualhug:
1603873408433211,15:03,xx xx,Ohhh Kennedy is a lefty....he has a shrp brain
1603873424797544,15:19,SanFran Arnold,@Antoinette Meyer always a pleasure
1603873488117783,16:22,SanFran Arnold,"@Simphiwe Kubheka I feel that if you are against the Vr Laser contract, you were on the right side of the law. VR wa simply the Gupta's way of looting Denel"
1603873513871315,16:47,xx xx,Morning Uncle Ray.:goodvibes:
1603873535677045,17:07,Fred Desrosiers,If he was shocked why not escalate it even to the minister. Or is there no whistleblower process.
1603873540452917,17:13,ALTA,samuel GM
1603873583822870,17:58,johannes mailula,"malema in court today, assault case"
1603873584369715,17:59,Simphiwe Kubheka,"@SanFran,l agree with you now. This was a very strategic looting via unknown technology using Denel as a milk cow of corruption"
1603873590471265,18:05,SanFran Arnold,"@Fred Desrosiers the minister, was Lynne Brown, a known Gupta stooge, who only served to purge boards and exec's"
1603873615733997,18:28,xx xx,Supposed to......
1603873663063725,19:17,Heather Durr,@SanFran Arnold when is Brown giving evidence
1603873663265386,19:17,johannes mailula,and vote for who?
1603873671528974,19:25,ALTA,pastor GM
1603873681963913,19:35,thabiso mngadi,vote mashaba
1603873688721713,19:44,SanFran Arnold,@Heather Durr I don't know.
1603873693468362,19:47,Pastor J.J,@ALTA GM freind
1603873706832278,20:00,Zweli Mxhego,holomisa
1603873717936643,20:10,Simphiwe Kubheka,"@Ntuthuko N, but who's will be a better choice?"
1603873727920758,20:22,johannes mailula,no Mashaba he will bring new corruption style
1603873730442847,20:24,Heather Durr,'baffles'
1603873735346482,20:29,pius194,"black first land first, andile mngxitama"
1603873741515199,20:35,SanFran Arnold,@Pastor J.J do I not get greeted now days ?🤔
1603873767966858,21:02,johannes mailula,BLF you joking right
1603873794834283,21:28,mervin harrison,eff
1603873796714213,21:30,Petrus Baloyi,hello chair
1603873802767590,21:36,bongile sango,GM everybody's in the room
1603873806745558,21:41,SanFran Arnold,@pius194 you have to be joking right?
1603873816235485,21:51,SanFran Arnold,@bongile sango gm
1603873818344834,21:53,Simphiwe Kubheka,"@SanFran, l greet Pastor every day but he ignored me...Morning Pastor JJ"
1603873830755150,22:04,ALTA,bongile GM
1603873838098044,22:11,Heather Durr,Ramaphosa in quarantine-I suppose he can still do damage from there
1603873846676337,22:19,Ntuthuko Nene,@Simphiwe Kubheka I believe Mashaba's Action SA is.
1603873855050655,22:27,mervin harrison,lol
1603873874364182,22:47,pius194,Johannes n Sanfran i don't have tym 4 jokes
1603873883668188,22:58,Ntuthuko Nene,Big ups to the Hawks
1603873901986421,23:16,SanFran Arnold,@pius194 well then you are delusional
1603874024106713,25:18,Phil Rambau,@nene you will b shocked my friend waite a bit till there found guilty not so hima kancane.
1603874065889763,25:59,SanFran Arnold,@Heather Durr what was said I can't see that?
1603874097697246,26:32,xx xx,"pius, for a pope you really talk a lot of nonsense"
1603874144030279,27:19,Heather Durr,@SanFran Arnold basically deal with it or push off
1603874178577805,27:54,Pastor J.J,@SanFran Arnold I sent you 4 messages Darling. Do you see this one
1603874184580823,27:59,SanFran Arnold,"@Heather Durr thanks, for some reason not all comments are seen"
1603874193509281,28:08,SanFran Arnold,@Pastor J.J now I do hehehe
1603874243120632,28:55,Heather Durr,@SanFran Arnold Switch to Live Chat at the top
1603874263506330,29:18,SanFran Arnold,@Heather Durr I am and its not working🤔
1603874272059318,29:25,Teunis van Ree,@Sanfran Arnold you must be in Live Chat to see all
1603874285244183,29:37,SanFran Arnold,@Jacqui Baumgardt gm
1603874289789111,29:43,ALTA,sanB ... same here
1603874296918309,29:50,Heather Durr,refresh
1603874301349955,29:56,MASEGO mpitsang,this guy looks like Steve Kekana
1603874309203519,30:01,Ntuthuko Nene,Action SA for government
1603874314540121,30:08,SanFran Arnold,@ALTA its so irritating
1603874326185666,30:20,Pastor J.J,@ALTA Did younsee my greeting to you?
1603874326764146,30:21,pius194,"meyer 4 yo information im not a Christian, i was given that name by those who came to colonize us"
1603874326884894,30:21,SanFran Arnold,@Naomi van Tonder gm
1603874333503343,30:25,ALTA,agree sanB
1603874339734085,30:33,Teunis van Ree,live chat must show 2x
1603874352500052,30:46,ALTA,naomi jacqui GM
1603874382419575,31:18,forrest drake,Who is going to get a nicle more then me?
1603874382997906,31:19,Pastor J.J,@Teunis van Ree GM Bro. Do you see my chat?
1603874389250389,31:24,SanFran Arnold,@Teunis van Ree I'm on my laptop
1603874394778242,31:29,forrest drake,Commission needs the land
1603874400306483,31:30,johannes mailula,ioojoy old stuff papa hehehe!
1603874403663010,31:36,forrest drake,then give it to Malema
1603874410045993,31:44,forrest drake,MALEMAS LAND!!!!!
1603874421345885,31:56,L. M,"the bogus CIC and his lieutenant will appear in this commission too,lol"
1603874435120811,32:08,forrest drake,SHOOOT THE BOERRRR
1603874441130078,32:14,ALTA,pastor yes i saw it now after i restarted my phone thank you a very GM to you
1603874463981063,32:39,Phumzile Kumalo,"Dedicated song 'Gudmrng, gudmrng How aah yuu, gudmrng gudmrng How do you do🎶."
1603874469494886,32:42,Teunis van Ree,GM bro @Pastor J.J I see you 👀
1603874487626976,33:02,Ntuthuko Nene,DA has won back Tshwane after the ANC thieves tried to steal it.
1603874489464377,33:04,SanFran Arnold,@Phumzile Kumalo gm
1603874509758820,33:23,Heather Mbambeni,@Phumzile Oh my word!lol
1603874529399588,33:43,Ayjay York,"@MASEGO mpitsang you right, bn wondering if I knew this guy from somewhere, but he used to put on glasses"
1603874538817459,33:52,Naledi Barron,GM everyone !
1603874562069764,34:13,ALTA,Naledi hey hey😘😘
1603874563242608,34:16,johannes mailula,The commission invite any person with a proof of owning land to come to the forth from 1948
1603874563765287,34:16,Simphiwe Kubheka,@Naledi. GM
1603874566371502,34:20,xx xx,👓Morning Naledi
1603874580248875,34:35,Ayjay York,@MASEGO mpitsang dark glasses/shades
1603874595377047,34:48,Naomi van Tonder,Naledi more
1603874646549648,35:40,Naomi van Tonder,plus 194 Same with black stooges
1603874646700826,35:40,Phumzile Kumalo,"let sing 4dem,guys 🎵Life goes Onnn? Tupac."
1603874673601942,36:06,bongile sango,@Naledi GM
1603874687219740,36:21,xx xx,🥾 the skelems out!
1603874696921312,36:30,Ntuthuko Nene,"People out here defending thieves, because they are waiting for their turn to steal."
1603874699339615,36:32,Louis C,@SanFran Arnold Just your gut feel
1603874750110282,37:21,SanFran Arnold,"@Louis C yeah, and if you listen to the evidence, it becomes more apparent"
1603874769301280,37:44,Naledi Barron,Heya @ALTA @Simphiwe Kubheka @Antoinette Meyer @Naomi van Tonder @Mike Moja @Heather Durr @bongile sango
1603874770910935,37:46,johannes mailula,DA lost before they can even play its rollover
1603874771062251,37:46,14nateg,#VoteOutTheANC
1603874784066021,37:58,14nateg,#VoteOutTheANC
1603874797367882,38:10,ALTA,Naledi hoe gaan dit
1603874798210217,38:11,Paulo Da Costa,THIS GUY NEEDS MYBURG
1603874799411397,38:12,Welcome Kamogelo,Mr Notjhe n Mr Kennedy 🤔Same whtsup group 🥴
1603874823426400,38:36,Cerebis,#VoertsekANC
1603874863202687,39:17,Naledi Barron,@ALTA Not too shabby. How goes it with you?
1603874871441684,39:23,johannes mailula,Yes lets vote corruption out of the ANC yeah i agree
1603874885450923,39:38,Natalie Soine,Dennis Mlambo said he didn't understand how Gupta-owned VR Laser was awarded a contract when its price was a R100 million higher than Denel subsidiary LMT and reduced its bid by a whole R67 million
1603874887166270,39:40,Phumzile Kumalo,"Dat wht I said yesterday, ""How Long Shall Dey Kill Our Profit While We Stand Aside And 👀Look. by Marley 😂"
1603874902234202,39:56,ALTA,Naledi... very very hot today
1603874926091056,40:20,ALTA,louis c ... more more gaan dit goed
1603874935762350,40:28,Simphiwe Kubheka,"@Natalie S, his lying."
1603874937934364,40:31,thando cezula,Morning beautiful people
1603874947995675,40:41,Louis C,@Phumzile Kumalo Redemption song!
1603874951438078,40:44,Natalie Soine,@Simphiwe Kubheka i'm sure he is
1603874952599233,40:45,Ntuthuko Nene,Mandela said the ANC must be voted out if it does what the apartheid government did. SA belongs to its people not ANC.
1603874961809374,40:53,xx xx,morning Thando
1603874962248030,40:53,Pastor J.J,GM @thando cezula
1603874966896559,41:01,ALTA,thando GM
1603874979495647,41:12,Louis C,@ALTA Klopdisselboom!
1603874983285924,41:17,xx xx,morning Louis C
1603874984925818,41:19,SanFran Arnold,@Natalie Soine that is correct and it is a red flag in the appointment of VR Laser.
1603874988353519,41:21,Simphiwe Kubheka,"@Alta, GM"
1603874989067932,41:21,Marinus Kelfkens,@Ntuthuko Nene Exaclty!
1603874993424772,41:25,Jacqui Baumgardt,has Saleem Essa skipped the country?
1603875003625216,41:36,Xolani J Masemula,"Our old friend Essa is back here we go,"
1603875018833000,41:52,Louis C,@Antoinette Meyer Back at you!
1603875023260995,41:58,Fred Desrosiers,the SA constitutional court ruled in June that independent individuals should be able to go for national elections. Hope honest people will come out as independents.
1603875028952458,42:01,thando cezula,Saleem Essa - Gupta general
1603875047946843,42:22,ALTA,Louis C.... mooi
1603875049017668,42:23,SanFran Arnold,@Jacqui Baumgardt he is in Dubai
1603875063603395,42:38,Jacqui Baumgardt,@pius194 - ???
1603875071902377,42:46,xx xx,😊
