timestamp,time,author,message
1603887139907964,10:32,Keith Fallick,Why is everyone so basic 😂😂😁
1603887287318827,13:00,Mzalwane Mzala,Did the comrade buy a new jacket?
1603887381814672,14:37,Keith Fallick,If I had one rand for everytime he said basically I would be basically rich.😂😂😁
1603887397005175,14:51,zip reeper,"We're basically loons, avoiding the Tito mini budget madness"
1603887404235651,14:57,Sipho Nongalo,we're back...why are they so casual 🤔
1603887421426980,15:16,zip reeper,Did he stick his gum beneath the chair?
1603887487554689,16:22,musime william bill,What was the final rule
1603887569790013,17:46,zip reeper,"Kennedys - they shoot one, another stands up"
1603887621903928,18:36,zip reeper,"There was a band, The Dead Kennedys"
1603887672542822,19:27,Paul Buchel,"@zip reeper, No, I'm not a loon, who wants to watch a load of BS, More money being handed out to pillagers!!!"
1603887693710787,19:49,zip reeper,@Paul Buchel They make me sick
1603887777546312,21:12,zip reeper,Million civil servants earning astronomical salaries
1603887859556001,22:34,zip reeper,How would they design masks if humans did not have ears?
1603887861860361,22:36,Keith Fallick,Anybody know what happened to his jacket.😂😂😁
1603887899409744,23:13,Yolo More,@zip reeper am I the only one who is struggling to watch Denel proceeding? I just dont follow.
1603887900801727,23:14,Aubrey De Bliquy,"the test wasn't flawed, it was a facade."
1603887901761738,23:16,zip reeper,@Keith Fallick Would u be offended if someone did not wear a jacket? strange
1603887915751767,23:31,Phumzile Kumalo,"Don't Worry Guys ""Time will Tell"" 😑😒😀"
1603887956167835,24:10,Aubrey De Bliquy,There wasn't a real tender. It was a fiat decree.
1603888029348678,25:24,Keith Fallick,Well zip its extremely hot and basically he keeps changing 😂😂😁
1603888052427710,25:48,zip reeper,Cyril pre-emptively entered quarantine to avoid Tito's budget
1603888060040125,25:55,Yolo More,"@zip reeper 😂😅 Zondo, like myself wants to see drama. Denel witnesses are all clean"
1603888067599496,26:02,Simphiwe Kubheka,"His eyes say,he's lying"
1603888068990603,26:03,Aubrey De Bliquy,@zip reeper I didn't like the jacket thing either. I am sure this young man meant no offence. I heard the advocat apoogising to him. Zondo asserting his authority. No problem with that.
1603888076413935,26:12,BOIKANYO MOLOI,General Salute
1603888083388681,26:16,Paul Buchel,"@Aubrey De Bliquy​, I wonder if he had any knowledge of sub-sonic and supersonic blasts???"
1603888119082253,26:53,Aubrey De Bliquy,@Paul Buchel It's a specialist field.
1603888144182430,27:17,zip reeper,This man was channeled to Denel from the ANC cadre assignments lotto
1603888196737232,28:11,ACE MABEKA,is malema case still on
1603888197840870,28:12,Keith Fallick,zip you got that right 😂😂😁
