timestamp,time,author,message
1548835429015351,1:28,Lady Nikon Matiwane,hello everone
1548835530021924,3:08,CUMA NTANGANA,morning😁
1548835560341590,3:40,The Vuka Experience,Hi Lady
1548835560427543,3:40,The Vuka Experience,Hi Lady
1548835562509875,3:42,G Mann,Zondo for president
1548835564348301,3:44,Granny Mokwena,the soapie is about to start..
1548835597473738,4:17,Sofia Sofia,Is Grizzi done ?
1548835608717171,4:28,CUMA NTANGANA,get some popcorns😄😄😄 its gonna rolll baby!
1548835633772086,4:53,The Vuka Experience,Zondo swallowed Kwesta 🥰
1548835634263824,4:54,Sindiswa Moolman,Where were you yesterday @Sofia Sofia /
1548835654953051,5:14,Siviwe Jongile,morning honorable jury
1548835658529426,5:18,Sofia Sofia,@Sindiswa Moolman I was so busy yesterday
1548835673439509,5:33,Sofia Sofia,I missed alot !
1548835687325309,5:46,Sindiswa Moolman,He closed his testimony with a big bang on his racist remarks @Sofia Sofia
1548835734090705,6:33,Sofia Sofia,O shoot ! really
1548835774090212,7:13,smarty smartpants,I fee for the guy @Pretorius standing the whole day
1548835792234358,7:31,The Vuka Experience,"Agrizzi has opened the floor, any other racists that want to confess."
1548835800985413,7:40,Sofia Sofia,Does this one also have a black book ?
1548835836896297,8:16,VIncent NKwagatse,If the Bosasa bribery allegations are true it will only take a stupid person to believe that free education is not feasible in SA.
1548835845779696,8:25,Sindiswa Moolman,This one did the books @Sofia Sofia. He was the CFO at Bosasa. He has all the books.
1548835880958144,9:00,Sofia Sofia,OOOOOOOOOO..... lets hope he gives ALLLLLLLL the names
1548835915610145,9:35,Sofia Sofia,I feel there are still names being protected
1548835922734698,9:42,Bridgette Kekana,@Vincent l agree with your statement
1548836070950315,12:10,Chunky To Spunky,Higher learning lol Should be called lower learning institutes
1548836137056080,13:16,Bridgette Kekana,imagine JZ getting 300.000 per month but no free education
1548836137107979,13:16,Yandi Masina,👀
1548836143772330,13:23,VIncent NKwagatse,Chunky why lower learning?
1548836144352709,13:23,Grant Titus,this guy don't seem to want to talk ... falling sleepy
1548836161001761,13:40,The Vuka Experience,@Yandi Masina 🤧
1548836187185990,14:06,Bridgette Kekana,JZ s family has entitlement
1548836197619515,14:17,Yandi Masina,@King Vuka ☕
1548836201855069,14:21,Sindiswa Moolman,The actual receipts are with this guy
1548836217074346,14:36,Dams daily motivations Madamalala,"mornings Guys leave Agrizzi alone he is white ,he never Choose to be"
1548836217226852,14:36,Bridgette Kekana,This guy is scared
1548836237941605,14:57,peter sikoshule,he is very scared
1548836240665493,15:00,Thali Favourite,he look tired poor muntu wabantu
1548836242842980,15:02,The Vuka Experience,Byeee @Yandi Masina 😂
1548836254898626,15:13,Yandi Masina,@Innocent Madamala Say what???😂😂😂
1548836272339088,15:31,Phumlani Mhlongo,🕺💨
1548836307573491,16:07,Violet Legodi,Ek is Hierso.. 💃
1548836310788884,16:10,Sibusiso Madondo,##cough##
1548836333468839,16:33,peter sikoshule,servant we not in church here stop cotting verses please
1548836352256365,16:51,Yandi Masina,😃😃😃
1548836363003305,17:02,Lunga Dlamini,How's Van Tonder doing today?
1548836382160660,17:21,Sibusiso Madondo,mrng guys
1548836408117705,17:47,siphelele mvelo,he's nervous and scared
1548836408614407,17:48,The Vuka Experience,@Yose Human tribalism. 🤦🏾‍♂️👎🏾
1548836410673930,17:50,MANDLA DLUDLU,This guy is not nervous his simply not proud about what he did unlike Agrizzi I sensed a bit of arrogance with him even tho we are thankful about this testimony of course......
1548836410909969,17:50,Yandi Masina,@Lunga Dlamini Better than yesterday. He seems more relaxed.
1548836426532391,18:06,Njabulo Khuzwayo,Yose you back🔥😡FM
1548836440829836,18:20,Phillip Moshapo,I am happy that it is mostly whites that are involved in all of these sagas
1548836458660835,18:38,Sibusiso Madondo,im testifying next week
1548836459036059,18:38,The Vuka Experience,@Yose Human don’t try and divide us.
1548836462762180,18:42,what?,@Yose Human are u unemployed? or a professional troll
1548836466904390,18:46,Yandi Masina,Black people actually.
1548836468918933,18:48,Al I,Be Sure Your Sin Will Find You Out Numbers 32:23
1548836495756018,19:15,MANDLA DLUDLU,@Phillip Moshapo 😷
1548836500142380,19:19,david jacobs,imagine if there was no stealing
1548836502531099,19:22,Musa Bakiti,Afrikaaner scared not like Italian mafia
1548836503597880,19:23,The Vuka Experience,@Yose Human is trying that divide and conquer strategy his forefathers used.
1548836546891182,20:06,Hein de Wit,Money Laundering at its worst
1548836551051413,20:10,Lunga Dlamini,@Yandi Masina He must stay that way..
1548836556650816,20:16,Yandi Masina,Imagine testifying in front of cameras and the whole world.
1548836611269667,21:10,Lunga Dlamini,@Yandi Masina Nerve wracking
1548836622113384,21:21,Phumlani Mhlongo,"@Yandi Masina I can't imagine, must be nice..."
1548836624204924,21:23,Colyn and Roslyn James,DCJ Zondo is totally in tune and highly effective in questioning...
1548836638877239,21:38,jeevan singh,Black is beautiful. White is Wonderful. Brown is both😀😀😀😀
1548836640322113,21:40,The Vuka Experience,"PUBLIC ANNOUNCEMENT. Let’s ignore @Yose Human. He is an agent to make us blacks fight amongst each other. Unyile it’s not gonna happen. We love Zulu, Xhosa, Tswana.Tsonga,Pedi, Sotho. Etc, we stand"
1548836645377311,21:45,Yandi Masina,@Phumlani Mhlongo No.
1548836657411413,21:56,jjkrew,lol gud 1 singh
1548836665375638,22:04,CUMA NTANGANA,can we focus on the testimony please this racial thing is starting to annoy me🙄🙄
1548836673000498,22:12,Sofia Sofia,I feel this is going to take very long .....
1548836677720072,22:17,nandisa zungu,King Vuka I second you
1548836687173982,22:26,Sofia Sofia,Long slowwww day ahead
1548836688676076,22:28,Yandi Masina,@CUMA NTANGANA For real.
1548836691615073,22:31,Phumlani Mhlongo,@Yandi Masina have you testified before??
1548836697340023,22:37,Bridgette Kekana,@ Cuma it true
1548836698363755,22:38,Sibusiso Madondo,#armsfold#
1548836701012841,22:40,Thulasizwe N Shelembe,Thanks Cuma
1548836702307865,22:41,Musa Bakiti,Zuma said Africa's problems started when Afrikaaners came in our land
1548836737212873,23:16,Donald Geyer,Musa Bakiti......hahaha
1548836756997402,23:36,M T,Dave East - Drop your English Name - It doesn’t suit your IQ!
1548836765765681,23:45,Yandi Masina,@Musa Bakiti 🤔🤔👀
1548836766358846,23:46,Derek Main,@Musa Bakiti But Zuma's an a**hole
1548836777805576,23:57,Hein de Wit,@Musa Bakiti May I enquire which Afrikaaners Zuma was refering too?
1548836783959208,24:03,jeevan singh,jenelle. Need some light hearted remarks here. 😃👍
1548836804614120,24:24,dave east,moira t the evidence just came out
1548836845090739,25:04,Musa Bakiti,Zuma is like Jesus of South Africa rejected by his own people
1548836856861155,25:16,G Mann,"Tribalism, not racism, will be the downfall of SA"
1548836866483946,25:26,Vivella,"@Phillip Moshapo No difference if it is whites or blacks. What about the government corruption, this is part of it. Government awarded tenders to them, Zuma involved too. Nothing to do with colour."
1548836880033198,25:39,Yandi Masina,"@Phumlani Mhlongo No. It's scary enough being in a panel interview, imagine this? It cannot be easy."
1548836880577439,25:39,Talent P Sibisi,@viewing where are u today
1548836884994079,25:44,Werner Pretorius,Andries is going to crack - my bets are he starts crying by 12:00.
1548836885984706,25:45,Bongani Dube,Watching from Zimbabwe kkkk African leaders are hungry guyzini
1548836886056254,25:45,Phumlani Mhlongo,@Musa Bakiti you like him too
1548836889038360,25:48,CUMA NTANGANA,please Yose Human...this is very disturbing and annoying...
1548836889839912,25:49,Donald Geyer,Musa Bakiti........🖕
1548836894505734,25:53,Hein de Wit,Moira T 😃
1548836897092386,25:56,Bridgette Kekana,l not zulu but the zulu s are the only tribe that fought the white man
1548836937331388,26:36,Sofia Sofia,He is scared this one
1548836944607157,26:44,Yandi Masina,@G Mann Louder for the ones at the back please!
1548836973034002,27:12,khanyisa bongani,let me get my popcorns
1548836974741649,27:14,Lungi Katiya,Bridgette Kekana what you are saying is completely inaccurate!!!
1548836976311028,27:15,The Vuka Experience,"Agrizzi opened the floor for racists to come out, look at them. White agents"
1548836977509723,27:17,Talent P Sibisi,@Kekana Am a Zulu guy what's are saying about us???
1548836981956964,27:21,Phumlani Mhlongo,@Yandi Masina jeah but it mustn't be that hard because everything was done on purpose. I just hope no one lies....
1548836989344472,27:28,Carvin Motsumi,Van Tonder is scared 😂😁
1548836993208135,27:32,Bas Mdaka,Zuma says his 9yrs were not wasted LOL
1548836995635092,27:35,Werner Pretorius,"@Yose Human, I'm going to report you."
1548836998368598,27:38,G Mann,"@Yandi Masina whispers from the gallery, the 'people' aren't interested in the truth"
1548837003090073,27:42,Thabo Bendley,"People, please stop making this a racial issue, we are all here to see the corruption within our country and to learn from the mistakes of others so we can better our country."
