timestamp,time,author,message
1548936452553943,4:45,Thapelo Motabogi,VOLUME PLEASE
1548936490841432,5:23,Silas Mashava,Volume is low
1548936499408153,5:32,Gray Muteweye,volume plse adjust technicians
1548936501805502,5:35,Yandi Masina,👀
1548936509315298,5:43,Lebo Pie,Eish! Very low
1548936531004342,6:04,Skhumbuzo Mbuli,I thought there was something wrong with my headphones
1548936537651428,6:11,Mfundo Veerasamy,ARE LIVE AGAIN ?
1548936539199917,6:12,Gray Muteweye,whos yhis witness now
1548936548533411,6:22,Amanda Bentsile,He looks familiar
1548936558953260,6:32,Lebo Pie,Is this guy related to Panic Mechanic?
1548936562063941,6:35,thando cezula,Who is this?
1548936566203309,6:39,Yandi Masina,Leon Van Tonder
1548936577632506,6:51,Isihlahla Samabhinca,ACE NGCOBO on the MIC
1548936582049483,6:55,Ewald Kruger,Andries van Tonder? Was here the other day...
1548936596733370,7:09,Chuma Mtyelwa,"He looks more like Chris Hani""s killer"
1548936598677618,7:11,Fight Ndwa Munyembani,he looks like Oscar Pretorius
1548936616067178,7:29,Yandi Masina,@Amanda He looks like this other coloured guy. He acts a lot in these old Afrikaans dramas. Forgot his name.
1548936628272752,7:41,thabo Mavundla,he looks like Walus ..
1548936629072333,7:42,thando cezula,Have this people come out of their own volition or have they been summoned?
1548936636017746,7:49,Lebo Pie,"The only IT person, which made him the head of himself 😁"
1548936639870529,7:53,Yandi Masina,@Ewald Kruger Leon. Not Andries.
1548936648454621,8:01,Magda Seguin,This guy was summonsed
1548936655646380,8:08,Dominique Bester,a real all in one
1548936662539904,8:16,Amanda Bentsile,@Chuma Mtyelwa 😀😀😀😀😀😀😀😀
1548936675983109,8:29,Eslon Eslon,"Ewald, this another Van Tonder"
1548936679566154,8:33,thando cezula,They must summon all of them!
1548936684663783,8:38,Yandi Masina,@Thando Nkutha Both of them are Van Tonder's
1548936687584444,8:41,Lebo Pie,He's the son to Panic Mechanic from yesterday
1548936693469919,8:46,thando cezula,They must summon Patrick Gillingham!
1548936703388092,8:56,Mfundo Veerasamy,"HE IS VERY SCARED LOL, HE SHOULD SMILE HE IS ON NATIONAL TV"
1548936705942354,8:59,Magda Seguin,And Mti
1548936715593465,9:08,Derick Mampuru,who's the adv?
1548936716342408,9:09,OomStu ZA,agreed thando
1548936724048689,9:17,Dominique Bester,i wanna see her
1548936729703603,9:23,Rengqu Tulani,volume plzz
1548936730046828,9:23,Lebo Pie,Ms Buthelezi
1548936733167267,9:26,thando cezula,They must summon Monkonyane's daughter!
1548936733851456,9:27,Sthakathi Khumalo,"But these Bosasa characters, you could do a whole movie.. where is schussed when you need him thixo"
1548936736600726,9:30,Sipho Owen Ndhlovu,he cant smile as he is about to incriminate himself
1548936743711937,9:37,Buyiswa Mnyani,"this guy is going to commit suicide he doesnt look strong,"
1548936750034731,9:43,Dominique Bester,movie: no - you need series
1548936765001263,9:58,Malebo,"Tjo weee, Mme Buthelezi wa ga Frans Voster"
1548936767703508,10:00,Isihlahla Samabhinca,"I Don,t trust this colored man..."
1548936769737345,10:02,Nodz Heunis,die deeler is net so goed soos die steler...
1548936772422396,10:05,OomStu ZA,this soap could put sabc back on the map
1548936780775020,10:13,Ewald Kruger,"Thanks, but why does he look SO familiar? @Eslon Eslon​ Ewald, this another Van Tonder"
1548936781564915,10:14,Phillip Moshapo,Guys why is that it is ONLY whites in this BOSASA enquiry
1548936783415962,10:16,Lebo Pie,Thando they look alike
1548936796049424,10:29,Mfundo Veerasamy,"THIS GUY IS ABOUT TO BE GRILLED LEFT RIGHT AND CENTRE, HIS FORMER BOSS WATSON IS WATCHING"
1548936802587927,10:36,Dominique Bester,he is white
1548936803507704,10:37,Gray Muteweye,vol still v low.....were the technicians SABC
1548936803862912,10:37,thando cezula,SABC won't afford to pay those actors!
1548936810475735,10:43,Ewald Kruger,"Gavin cloned them, I swear"
1548936825608582,10:58,OomStu ZA,is gavin watson watching this live feed i wonder?
1548936832489923,11:06,thando cezula,We're waiting for Papa Leshabane
1548936858358032,11:32,Nodz Heunis,Stuart M im sure he is!
1548936864746600,11:37,Sthakathi Khumalo,Guys... look at the witness tie!! I can't deal hebana
1548936873118039,11:46,OomStu ZA,PLEASE INCREASE VOLUME ADMINS!!!!!
1548936873147037,11:46,Antonie Goosen,Funny how Bosasa still relied on White men to do their evil deeds - wonder what their BEE status was lol
1548936886364430,11:59,Malebo,ET
1548936886432216,12:00,Rengqu Tulani,sound plz sabc
1548936890297604,12:03,Yandi Masina,@Thando Nkutha I'm not sure.
1548936900322384,12:13,Mfundo Veerasamy,PROMOTION WITHOUT QUALIFICATION EQUALS BOSASA
1548936902731831,12:16,Lebo Pie,"Stuart, possibly even on this chat as someone else."
1548936903491951,12:17,Derick Mampuru,"the volume is quite low, even before lunch but now its really bad"
1548936909316379,12:22,thando cezula,@Sthakathi Khumalo he is trying to confuse the evidence leader with that tie
1548936909585204,12:23,tiaan du plessis,AWE sidney
1548936912571645,12:26,Dominique Bester,demoted now i talk
1548936927853668,12:40,Dominique Bester,aweh Tiaan
1548936929041088,12:42,Nodz Heunis,lol Lebo!
1548936946365707,12:59,Nonkanyiso Ndilele,She looks and sound nervous😢
1548936947400635,13:00,Yandi Masina,@Antonie Goosen Remember Agrizzi said their BEE status was a lie.
1548936958615875,13:12,Eslon Eslon,This commission turn out to be more like a Bosasa enquiry it seems
1548936958645174,13:12,Gideon A Vele,the Adv must do better
1548936967764441,13:20,Mfundo Veerasamy,HE OR SHE NONKANYISO ?
1548936968752877,13:21,Sthakathi Khumalo,"thando cezula loools, I can't jezos"
1548936970805449,13:23,thando cezula,It doesn't matter as long as he is talking!
1548936971676068,13:24,Yandi Masina,Sondolo
1548936990866472,13:44,thando cezula,Sondolo? What's that?
1548936997533099,13:51,thando cezula,What does Sondolo mean?
1548937003607112,13:57,Malebo,"He gets employed, then demoted. Clearly incompetent."
1548937009548488,14:02,Yandi Masina,@Thando Nkutha Maybe they are.
1548937019659918,14:12,Antonie Goosen,@ Yandi Masina Makes sense as management seems to have been entirely white - and still they got tenders lol
1548937023217981,14:16,Yandi Masina,Sondolo IT.
1548937029158543,14:22,Sthakathi Khumalo,"Don't worry guys, Adv. will move on him slowly like Frans yesterday"
1548937034926035,14:28,Amanda Bentsile,Okay i admit Ms Buthelezi uyathithiza
1548937038030038,14:31,Ewald Kruger,Seems same Van Tonder family @Thando Nkutha ​Someone said they look the same @Yandi and looking closely they do look alike
