timestamp,time,author,message
1596197332982491,6:57,Jacqui Baumgardt,more ducking and diving
1596197361084251,7:24,Caroline Hawanga,and here I was looking forward to Monday
1596197445890323,8:49,Joe Debeer,:elbowcough:
1596197537514738,10:21,Jenny Whitewaves,one really angry chair she has done her self no favours
1596197565684341,10:50,bongile sango,some witnesses the show no respect for this commission
1596197565877374,10:50,Jacqui Baumgardt,"as a judge, she should know better"
1596197583529678,11:05,Jacqui Baumgardt,@bongile sango agree
1596197589713078,11:12,bongile sango,they show no respect
1596197603279842,11:26,Jacqui Baumgardt,@ Bev Judge Makhubelo
1596197629483588,11:52,xolani mzolo,she has ignored a direct order by DSJ and the commission
1596197650292486,12:14,Jenny Whitewaves,She was counting on the normal court procedure where it would have been struck off the rolls which would have given a long time before she had to appear
1596197651861361,12:15,Pastor J.J,I am signing off on a Warrant of Arrest on this Thug Judge as we speak
1596197665919641,12:29,xolani mzolo,DCJ
1596197671575881,12:34,roza,set a example mr chair
1596197694347563,12:59,Colleen Arezio,Her delays are because she wants to get her lies in order.
1596197700687603,13:04,Bev Daniels,@ Roza too true issues a warrant
1596197702904517,13:05,Sal SA,Judge Maqobele is messing around with DCJ and the nation.Cannot continue Waste of taxpayers money
1596197708096020,13:10,Jenny Whitewaves,If not there on Monday it is clearly contempt
1596197719949662,13:23,Bev Daniels,Contempt already
1596197729685227,13:33,roza,you are being to soft how are you going to write ur reports going on like this
1596197744479917,13:47,Bophelo Malapela,It’s judge Makhubela
1596197747320452,13:50,bongile sango,@Roza that's what I've been preaching
1596197774040285,14:16,roza,thank u bongile
1596197779511809,14:23,Sal SA,ok thanks
1596197804403740,14:47,roza,she dont need nothing she had her papers for 6months
1596197810497563,14:52,Martha Wandrag,WTFlip!!!
1596197834710713,15:17,Jenny Whitewaves,He is taking all her excuses for Monday away but clearly he wants to see her pretty face
1596197855114403,15:37,bongile sango,chair I don't understand why you soft like this
1596197874740226,15:57,Pastor J.J,@Jenny. He is keeping the doors half open and I dont know why
1596197876078987,15:58,Barbara Sattler,on Monday the lady is ill
1596197894201397,16:18,roza,everytym they adjourn nobody shud be paid no work no pay sorry
1596197936803963,17:00,Jenny Whitewaves,I think he is removing all charges that the evidence given was under duress if the things said here are to be used in criminal court
1596197947016222,17:10,Anne M.,@Barbara Sattler Or has another puncture
1596197967334660,17:31,Bev Daniels,"I am still waiting to see what her car looks like after the ""so-called"" accident she had"
1596197987046172,17:50,roza,how is chair going to give arrest warrants
1596197989858493,17:53,Code Geek,It is clear people do not know how to properly use the mask.
1596197992203414,17:56,bongile sango,@Mike Durban that's what she is doing laughing and having a glass of wine
1596197992780980,17:56,Colleen Arezio,another postponement is bs. Zondo is too accommodating to these thugs.
1596198015243376,18:18,Jenny Whitewaves,Waiting for her to have a positive Covid If so I volunter to go and take the confirmation swabs
1596198030871610,18:33,Gift gezani Masingi,I am disappointed with the way people would delay such things they are wasting our tax... cry my beloved country
1596198043720313,18:47,Gina deW,"Watch closely, she won't answer her phone"
1596198071303835,19:14,Anne M.,An innocent person doesn't behave this way.
1596198090565446,19:34,Bophelo Malapela,Maybe she is busy in court
1596198104850541,19:47,dennis oldude,and when were you appointed as a judge?
1596198104906092,19:47,Anne M.,"@Gina deW Then the team must send her a message via this chat, because she was definitely watching the proceedings last week."
1596198109047084,19:53,bongile sango,@Ann you rite
1596198119252032,20:03,MIKE DURBAN,I'm really wonder about DCJ Zondo........reckon he's showing weakness....now the other accused will take advantage etc....
1596198199817003,21:23,Jenny Whitewaves,She would have known she was booked to work in court days ago she could have picked up the phone to excuse herself
1596198203648269,21:26,wim louw,The commission has also developed a slow puncture
1596198214551355,21:36,Pastor J.J,@Mike...totally agree
1596198228150921,21:52,roza,i think they need us there
1596198237300607,22:00,bongile sango,Next is going to happen to all these they don't want to appear they going to say they afraid of Covid19.
1596198252545413,22:15,Anne M.,@Pastor J On it.
1596198255704961,22:18,Jenny Whitewaves,I think they need Judge Judy
1596198261930658,22:25,Madodana Tuntulwana,"Lets look at this sequence. Int & Nat laws violated, many people and witnesses tortured and killed, investigative info deleted, major recommendations altered, Parliament ignoring Constitution orders"
1596198304008086,23:07,Pastor J.J,"@Anne....and if she is cheeky,rude and thuggish like i expect her to be,give her one nice warm KP"
1596198316496497,23:19,MIKE DURBAN,Gotto respect Judge Judy........tells it like it is hey.....
