timestamp,time,author,message
1557130114929598,-0:19,Madelein R,They have started according to Twitter
1557130190008726,0:42,The Truth,Eish SABC and their sound issues!
1557130225851211,1:18,The Truth,You would have thought by now they know how to get it working 100%
1557130233912946,1:27,Madelein R,😂😂
1557130662326160,8:35,Magda Seguin,Polo Molefe testifying today.
1557130713205147,9:26,Magda Seguin,"Brian Molefe again on the agenda,as will be Gama"
1557130793188274,10:46,The Truth,How's every1 today? Are we expecting explosives here? lol
1557130818823725,11:11,babette fagan,My sound super
1557130844641334,11:37,The Truth,Yes is gud now
1557130848470845,11:41,Norman Zwane,"@The Truth Not 'explosive', we are in for the 'long haul' today."
1557130875856156,12:08,The Truth,@Norman Zwane haha... nice one
1557130979710608,13:52,Norman Zwane,Why can't I take my eyes off Miss September today?
1557131033647979,14:46,The Truth,Hai Normz... she looks like she has a babalas vandag...
1557131054132916,15:06,Magda Seguin,*Popo Molefe
1557131063124890,15:15,The Truth,I miss Adv Molefe
1557131115295515,16:08,Sihle Arthur,Vote EFF.. jail the corrupt
1557131140259494,16:33,Deadbeat Cousin,"Is it pronounced as Prima Facie or Prima Facie, I've always said Prima Facie, now Mr Pretorius is saying Prima Facie. I mean is Prima Facie correct or Prima Facie?"
1557131166148628,16:59,Norman Zwane,"Pity she's left handed, I have a thing against left handed baes.@The Truth she looks like the weekend in slow motion. Hope she survives the babalaas."
1557131179505467,17:12,Magda Seguin,CNR received over a billion they have not paid back yet
1557131208598291,17:41,Granny Mokwena,"some of my reasons for not voting the ANC! The blatant looting if taxes is unforgivable, but the fact that no one is in jail for it is painful. i can't"
1557131237968835,18:10,Norman Zwane,@Deadbeat Cousin all those are wrong including Mr Pretorius' model C attempt.
1557131259837598,18:32,Deadbeat Cousin,Hahaha 😂😂😂😂
1557131275285446,18:48,The Truth,@Norman Zwane 😂😂 I'm sure she'll survive. Watch her turn into your babe once she puts on her glasses
1557131301230574,19:14,Sihle Arthur,True Granny Mokwena. Vote EFF vote for Education
1557131422233849,21:15,Norman Zwane,@The Truth To be fair my bae was Nomgcobo Jiba until CupCake Cyril sacked her. I wont me be seen hanging around with lawyers who are improper and unfit persons. I have my pride too.
1557131541713801,23:15,kleophas max,blf is for us.....the others are already on the train.....and mean/doing nothing for the landless......
1557131542195521,23:15,makhosi nobhatyi,Does transnet will tell us who hire Gama? Wat procedures were followed?
1557131544329292,23:17,The Truth,"@Norman Zwane Agrizzi's snake??🙆 Recipe for a ""toxic"" relationship lol. Try the new Adv Batohi"
1557131556097009,23:28,Born free,Prepare for a dark winter folks. China has withdrawn its down payment of R7 billion
1557131626714844,24:40,Sihle Arthur,"ANC and White privilege is one thing.. they all enjoy ear-conditioners while food ,petrol, water and other prices go high and voters fail to afford. Vote EFF"
1557131664982732,25:17,Michael Michael,morning
1557131689805515,25:42,Born free,China has withdrawn its down payment of R7 billion to Eskom to build two power stations. The kian total R33 billion. China is not convinced this money will be spent on the Power Stations.
1557131749504362,26:42,Thami Ngwenya,We know to vote for now
1557131761295687,26:54,Michael Michael,Mr Maleka still here?
1557131763689690,26:56,Born free,Dark times ahead.. load shedding day in and day out 😔
1557131772959729,27:05,Mac Mandla,@val Speirs i hear China has now gotten the surety that the 7 billion will be used on power stations khusile and medupi not on salariea
1557131806287084,27:39,The Truth,@psyfrequency Techno yeah yeah yeah... boring... we've had that sooo many times before. Just go fvote for whoever you want tuu
1557131842182767,28:15,Magda Seguin,McKinley is also involved
1557131856146178,28:29,Magda Seguin,*McKinsey
1557131865727251,28:38,Robert Russell,@Val Speirs ...when the lights are switched off at the voting stations.... so will the countries lights be switched off
1557131875891568,28:49,Sihle Arthur,psyfrequency techno if you count EFF on your pit toilets.. you're being 100% stupid
1557131902034836,29:15,Born free,Guarantees and assurances have not been honoured in the past as per this Commission of Enquiry into State Capture
1557131921417622,29:34,Thinashaka Ramaleba,vote for ANC not overnight parties
1557131935485206,29:48,Khaya Nomoyi,"Ndidikiwe yileCommission finish and klaar. They have evidence, why not take other matters straight to the Commercial Crimes Court for prosecution and not bring them to this snail pace commission."
1557131957218484,30:10,Born free,Malema has promised everything for free but he doesn't say where the money is coming from.
1557131966906544,30:19,Sihle Arthur,let China withdraw their investment we will take our sardine
1557131996022967,30:48,MIKE DURBAN,The EFF will destroy you......
1557131997441066,30:50,Thinashaka Ramaleba,My ANC never failed me only individuals
1557132037321679,31:30,MIKE DURBAN,Never be Married to Any party....facts
1557132041957240,31:34,The Truth,"@Thinashaka Ramaleba leave all these ppl make useless noise. 9th May, ANC will have 60% or more. End of Story"
1557132062887328,31:55,Sihle Arthur,no truth that hurts here you DA puppet. Seek the Vision of the EFF and stop uttering nonsense
1557132067897971,32:01,Magda Seguin,Exactly Judge
1557132069671753,32:02,Cassius Mngomezulu,#Thinashaka Ramaleba​My ANC never failed me only individuals-THANK YOU VERY MUCH
1557132080494041,32:13,MIKE DURBAN,easy too control poor folks....true
1557132080690804,32:13,Thinashaka Ramaleba,Eff young people who gonna destroyed what the ANC have done so far
1557132127649287,33:01,MIKE DURBAN,Too true........
1557132132747330,33:05,Magda Seguin,The Gupta looters were everywhere
1557132180078067,33:53,Born free,The DA is more honest can't promise everything for nothing . DA are realistic and a party that represents all South Africans.
1557132216721214,34:29,Magda Seguin,Waiting to hear what judgement will be delivered today in the Karima Brown /EFF High Court case
1557132230524510,34:43,MIKE DURBAN,Forget the ANC/EFF...they are doomed folks.....
1557132255827080,35:08,The Truth,@Val Speirs DA more honest??? What? Why r they using black ppl to front their political agenda? Didn't see Zille or Tony Lion at the Rally in Soweto on Saturday
1557132290051474,35:43,Sihle Arthur,how can we build to destroy? you are so afraid of change to a point that you think the EFF will destroy. we would have destroy it long time ago if we wanted to don't tell us of destroying
1557132297143452,35:50,MIKE DURBAN,DA are the Lessor of ALL the Evils...think
1557132334316420,36:27,Born free,The only performance I have seen by the ANC.. is looting State Entities.
1557132346981322,36:40,kleophas max,DA...is a window dressing.....had no respect for the dead
1557132353158181,36:46,Robert Russell,@Magda Seguin .... me too... but guess the race card will be played should the WHITE AFRIKAANS judge find against the EFF and Malenema
1557132376506969,37:10,Magda Seguin,EFF is deeply involved in corruption by WhattsApp evidence of Floyd and his ex ANCYL pal at PIC
1557132387953587,37:20,Sihle Arthur,Val Speirs Don't fool yourself DA is for whites in south africa not for all people stop giving us false information
1557132413509418,37:46,The Truth,"@MIKE LOCK could be true, but Devil is still a Devil. In the end, every1 just needs to vote for whoever suits them. Trying to convince others about your party will open can of worms"
1557132417398237,37:50,Norman Zwane,@Val Speirs Definitely not DA for me @Thinashaka Ramaleba Not ANC ever again for me. Still don't think the EFF either.
1557132441577327,38:14,Born free,ANC has abused its power of governance and is in breach of its statutory duties to this country.
1557132516376906,39:30,The Truth,"EFF, COPE, AGANG, UDM, ACDP are all ex ANC, who carry ANC DNA and politics. Voting for any of them is no different for voting for ANC"
1557132520853600,39:34,Sihle Arthur,That why our CIC asked for a proof yesterday that link the EFF with the VBS
1557132531140753,39:44,Norman Zwane,"@psyfrequency Techno Your ""esidemeny"" just proves the point you sought to deny; the DA is white but Black for convenience."
1557132547129438,39:59,Magda Seguin,"The race card is all people have,clean governance by the DA as per the AG reports is overlooked by ANC/EFF followers,they have nothing to base their arguments on,only populism"
1557132549893104,40:02,Tommy Adkins,Vote VF+
1557132590586860,40:43,Norman Zwane,Did you guys see that blond? I'll vote for her anyday.
1557132607782776,41:01,ntsebeng Rakauoane,DA?
1557132617066172,41:10,MIKE DURBAN,@The Truth ....The ANC/EFF have Commie ideologies ........this is a fact.
1557132624462545,41:17,Tommy Adkins,ANC = Absolutely No Current
1557132641196989,41:34,Tommy Adkins,EFF = Everything For Free
1557132644207594,41:37,Magda Seguin,@Sihle Arthur the proof is there in WhattsApp activity wait and see the outcome of Floyd millions by VBS
1557132656582346,41:50,Thinashaka Ramaleba,VBS proof for your CIC will come out very soon just relax
1557132668666045,42:01,Mfundiso Mbhele,"All of these parties are corrupt...liers,selfish and greedy morons who cares less of the voters"
1557132674687264,42:07,Born free,They are communist parties
1557132699596976,42:32,Tommy Adkins,"A commander in Chief is a president, Julius is not the president and never will be]"
1557132724255832,42:57,Magda Seguin,"Floyd lives in Bryanston and Malema in Hyde Park,they lie to the poor and make promises they know they can't keep"
1557132729639079,43:02,Norman Zwane,"@MIKE LOCK Yeah they do you right, but they like play play commies. DA has Obama speak all clothed in racism."
1557132754438614,43:27,MIKE DURBAN,We don't want/need Commies in our country.....facts
1557132774084850,43:46,Magda Seguin,They promise to double grants payments yet it comes more than the Eskom debt...they have no sense of economics
1557132789715135,44:02,Tommy Adkins,Communism is poison to society
1557132817495260,44:30,Sihle Arthur,psyfrequency Techno. what light? white privilege light? come on
1557132818942066,44:31,Mfundiso Mbhele,All these political parties are useless to the people
1557132845352003,44:58,Magda Seguin,"Communism oppresses just look at Russia,North Korea and China"
1557132848550595,45:01,Norman Zwane,@Thando Nkutha Cast your eye to the left of Pretorius and you'll be praying to your gods he does not finish. She's hot!!!
1557132851088121,45:04,The Truth,Is Mr Molefe to be trusted?
