timestamp,time,author,message
1548769138382858,1:53,Yandi Masina,👀
1548769166484758,2:21,Khaya Mseswa,who's testifying now?
1548769218267418,3:13,Yandi Masina,Andries Johannes Van Tonder 🤦‍♀🤦‍♀🤦‍♀
1548769220240444,3:15,Doom Ruler,@Khaya Mseswa another white oke
1548769234412455,3:29,Doom Ruler,its about to go down
1548769235822890,3:31,Bridgette Kekana,Agrizzi is tired
1548769239968921,3:35,Lesiba Chokoe,Adries van criminal
1548769241526536,3:36,Khaya Mseswa,😂 😂 😂
1548769247686948,3:43,Desmond Masilela,I hope his not from Bosasa again.
1548769256216692,3:51,Anne M.,Van Tonder - A colleague of Agrizzi
1548769260477562,3:55,Yandi Masina,This man better not come here and lie please🤥
1548769266560664,4:01,Mahlatse Mabeba,😂😂😂
1548769276724719,4:12,Desmond Masilela,Another bomb!!!!!!!
1548769280414310,4:15,Bridgette Kekana,very interesting
1548769283038421,4:18,Thembi Maliwa,Interesting this is going to be
1548769284475304,4:19,Lesiba Chokoe,@Desmond Masilela is Bosasa again bro
1548769304639199,4:40,Doom Ruler,Hello @Yandi Masina
1548769312107295,4:47,Yandi Masina,@Doom Ruler I'm expecting lies. But we'll see
1548769332851146,5:08,Malebo,Definatey
1548769338879548,5:14,Desmond Masilela,@Lesiba Chokoe. Lets wait and see if his testimony collaborate with Agrizzi statement.
1548769348073461,5:23,Yandi Masina,Andries Johannes Van Tonder ✊✊
1548769350763597,5:26,Lee Majiya,very interesting
1548769360339908,5:35,Doom Ruler,@Yandi Masina lets hope for the best and the worst
1548769383852698,5:58,Ewald Kruger,😀 Regte boer @Yandi Masina
1548769389910918,6:05,Yandi Masina,He looks annoyed and scared at the same time😃😃😃😂
1548769394683086,6:09,MASIPA ITUMELENG,Van Tonder sound very scaref
1548769409841889,6:25,MASIPA ITUMELENG,scared
1548769421366724,6:36,Yandi Masina,@Ewald Kruger For sure. Not play play. The real deal.
1548769431496434,6:47,Michael Michael,who is this guy??
1548769446290323,7:01,Malebo,Pretorius wa tena. Just let the man talk. This is not a trial.
1548769460559349,7:15,Bridgette Kekana,he is scared but Agrizzi was strong fearless
1548769466082277,7:21,Ewald Kruger,😀 not monopoly mali this time @Yandi Masina​ @Ewald Kruger For sure. Not play play. The real deal.
1548769469923618,7:25,Orefile Macheoane,Mr Van Tonder welcome
1548769473000938,7:28,Desmond Masilela,What happened with other advocates????
1548769474221690,7:29,Rearabetswe Mgxaji,Whose this?
