timestamp,time,author,message
1547626317423931,1:30,Sipho,Bad sound
1547626601768490,6:15,Tshepo Selepe,who is testifying today?
1547626999941770,12:53,Aubrey Moloi,"no testimonies, hearing of applications"
1547627063656706,13:57,Lulama Mweli,Thank you
1547627070282457,14:04,Bonani Boni,former Bhusasa employee
1547627104612074,14:38,Derek Main,Bosasa - that should be interesting. Let's see if the ANC is on trial or not.
1547627137889020,15:11,Justice Lewela,"lol,who will resign today?"
1547627165617937,15:39,Robert Russell,Moyani was involved trust me
1547627189080030,16:03,Lulama Mweli,Better sound indeed @Thando Nkutha
1547627205783199,16:19,Derek Main,Many ANC cadres involved in Bosasa corruption - it was their piggy bank
1547627255587899,17:09,Peter Lukas,Moyani was and is a thief and then become a cry baby
1547627378795925,19:12,Robert Russell,M&M's (Moyani & Molefe) = 2 x cry babies
1547627764667436,25:38,thando cezula,Hi guys! What's the lates?
1547627859435687,27:13,thando cezula,Yhooooooooooo!
1547627864268995,27:18,Earn D Star,what's the update?
1547627899083847,27:53,thando cezula,Ey this commission is gonna be lit!
1547628139476152,31:53,Robert Russell,Agrizzi's son worked for the ANC as researcher and left when he saw how much corruption was taking place in the ANC.... he must come to the commission and tell us what he saw
1547628474201549,37:27,Marahwa Makuyana,We are tired of these brutal nonsense
1547628645412714,40:19,Robert Russell,No matter what comes out in the commission.... the stupid ANC supporters will see no evil and vote the crocks back into power to continue stealing from the poor and then protest for no service deliver
1547628654629310,40:28,thando cezula,South Africa is a mafia state! We are ran by the mafia!
1547628711247485,41:24,Robert Russell,Italy has the Mafia...South Africa is the Mafia
1547628767239529,42:20,Muhle April,do you drink madlemon @thando cezula ?
1547628793547344,42:46,thando cezula,Only when sick!
1547628946870689,45:20,D'Twisted Sounds,follow ur boy... DTwisted sounds.. best music
1547628998568680,46:12,Theresa Smuts,💜
1547629064542682,47:18,South Africans in Paris,"Is anyone else finding this to be riveting, I am on the edge of my seat here."
1547629088864400,47:42,Derek Main,Yep - can't wait for the testimony to start
1547629135392576,48:28,Derek Main,A vote for the ANC is a vote for more of the same
1547629144177610,48:37,South Africans in Paris,"Buckle up, here comes the oath!!"
1547629185221649,49:18,Robert Russell,Yay.... 38 people being chucked under the bus.... the start of the exposure of ANC crooks
1547629187463174,49:20,South Africans in Paris,"""You can't handle the truth"""
1547629205736120,49:39,peter sikoshule,please don't mislead ppl. it was not ANC but individuals
1547629227968769,50:01,thando cezula,"""You want the truth? You can't handle the truth!"""
1547629230019693,50:03,Derek Main,BS What about collective responsibility?
1547629238093192,50:11,Theresa Smuts,"Ya,I'm more interested in blocked,social media in Zim.Support ,please TV7Live ,when it s up and running!💜🙋Bye,its riveting!"
1547629252087117,50:25,Robert Russell,@Derek Main Exactly
