timestamp,time,author,message
1561187766007770,8:07,Ozzy Ozzy,No sound here
1561187780782565,8:21,Kevin Simon,"Get her written proposal, if it exits."
1561187793703800,8:34,Ozzy Ozzy,Mr SABC please fix the sound
1561187828121517,9:08,Ozzy Ozzy,Thanks Kevin..
1561187868372455,9:49,Ozzy Ozzy,Pastor JJ
1561188109366167,13:50,T the X,was she naive or she is pretending not to have known anything
1561188169854543,14:50,tumelo mosadi,where are the trucks ma'am
1561188481049654,20:01,Lew464,"Clueless, and got paid for it."
1561188503612481,20:24,Michelle Kingsley,oh it was highjacked...
1561188509840751,20:30,Kevin Simon,Finally. I said so yesterday.
1561188512421583,20:33,Wildthing,yesterday she said she did nit understand the questions in English. but some of the words she uses are high English. now she is turning her statements.
1561188534868316,20:55,Wildthing,go Blue Bulls kick off now
1561188589789420,21:51,Eddy Monnapula Nkadimang,was she used? was she naive? or actually what made her report these crimes?
1561188591872606,21:53,Michelle Kingsley,but its her business correct... who then forced her to open the company pty?
1561188605228263,22:05,Sandile Ndebele,"classic case of fronting,"
1561188639021075,22:39,Michelle Kingsley,how the fudge
1561188662451355,23:03,Wildthing,not too smart. she was the owner and could have blocked the account.
1561188719100409,24:00,cassim suleman,everyone wants a state tender bcause opportunity to loot from state.she had no competence yet she got involved in a millions enterprise.without exoerience
1561188753627241,24:34,Ashne Hesselberg,I feel so sad for her. I see her as a naive uneducated woman who tried her best to start a business. These vultures saw her coming and preyed on her naivety 😭
1561188760728205,24:41,Wildthing,sorry say that again.
1561188828416851,25:49,Eddy Monnapula Nkadimang,buai
1561188835416017,25:56,Born free,She was part of of the conspiracy to defraud SAX and enjoy the dividends for doing nothing.
1561188850547964,26:11,cassim suleman,nope...she got 500000..for what..she was revelling in this freebees
1561188851084160,26:11,Wildthing,She was the owner and had rights to block any movements in and out for the bank account. and she could have reported this when it seemed it was not what she was planning on doing.
1561188872743725,26:33,Born free,She approached them
1561188891143318,26:52,Tendekai Mawokomatanda,"yoh, why is the chairman's voice to low"
1561188907236210,27:07,Lew464,"typical of young startup companies who, without any history, received massive government contracts."
1561188928403983,27:29,cassim suleman,until she realized that partners shortchanged her in the loot..not naive..she was part of the looters.
1561188935879190,27:36,Wildthing,ha ha the inflow of money and no goods to show what the outgoing money was been used for.
1561188935906462,27:36,Kevin Simon,Don't bite the hand that feeds you.
1561188951441166,27:52,Eddy Monnapula Nkadimang,"businesswoman who knows nothing about business, that how Zuma era corruption operated"
1561188956026823,27:56,Born free,Yes this is how third party contracts work in SA.
1561189045844372,29:26,Kevin Simon,ANC mentioned again!
1561189056424066,29:37,cassim suleman,everyone that gets into govt.in senior levels go with intention of looting..they not there on merit
1561189075359859,29:56,Wildthing,is she a member of ANCWL any connections there
1561189076570246,29:57,Born free,She was aware according to her evidence of wrong doing in July 2015 a month after the money went into her account?? and she does nothing???
1561189078012664,29:58,Khaya Nomoyi,Why not consult a lawyer or accountant instead of a spiritual father.She was so complaisant although she saw the signs of fronting early in the business.
1561189080590761,30:01,Kevin Simon,ANC again
1561189136761689,30:57,cassim suleman,she was part of looters..finish and klaar
1561189140636714,31:01,Born free,Is she testifying voluntarily or was she supeoned??
1561189157421876,31:18,cassim suleman,no she snitching
1561189266912108,33:07,Lew464,so she was scared the ANC would kill her? Is that the way the ANC operates?
1561189280584878,33:21,cassim suleman,she not innocent ...
1561189314146654,33:55,Antonie Engelbrecht,yes
1561189355713170,34:36,cassim suleman,prosecutor needs to talk simple english..this woman not smart
1561189362071051,34:42,Eddy Monnapula Nkadimang,something went wrong with the eating
1561189381034433,35:01,cassim suleman,"yip,,she got small plate"
1561189462280993,36:23,Surinderjit Singh Rana,GOI india PROXY gupta family via bank of Baroda GOI owned money laundering #statecapture SA
1561189481278696,36:42,cassim suleman,eish..she dumb ..comes without all necessary info
1561189500074107,37:01,cassim suleman,and she expects millions..
1561189610733682,38:51,cassim suleman,sleep with snakes dont complain when you get bitten
1561189628152488,39:08,cassim suleman,thats wat she doing
1561189687688205,40:09,cassim suleman,yip
1561189694119289,40:14,Naledzani Mashau,Cassim you are 100 percent right
1561189698460548,40:19,Vish Govender,Serious case of money laundering. I hope SAPS and NPA are alive to this testimony
1561189735801675,40:56,donovan daniels,these crooks brains are so Small if it was dynamite it wouldn't even be enough to blow their brains
1561189738392853,40:59,cassim suleman,yip
1561189744029232,41:05,Eddy Monnapula Nkadimang,saps is sleeping
1561189757825169,41:18,Barbara Lutendo Birungi,just joined: who is on the stand and which organisation?
1561189816087413,42:16,cassim suleman,bank did not question these people ..allowed the money laundering
1561189904766832,43:45,Born free,The Bank phoned her to question the transaction she did not answer the calls
1561189916806134,43:57,cassim suleman,yip
1561189925842694,44:07,Ken Fer,banks if south Africa are helping these crooks
1561189958776480,44:39,cassim suleman,only logical conclusion..
1561189971467843,44:52,Ken Fer,FNB
1561189977382875,44:58,cassim suleman,fnb
1561190004550449,45:25,Michelle Kingsley,Fnb does phone when unusual payments are made
1561190010345342,45:30,Michelle Kingsley,thats a lil true
1561190017925984,45:38,Antonie Engelbrecht,skelms.......
1561190022507089,45:43,cassim suleman,but all banks guilty of this
1561190031366202,45:52,Born free,FNB reversed the transaction they were becoming suspicious
1561190051982531,46:12,cassim suleman,bit late..horse bolted
1561190054815800,46:15,Naledzani Mashau,It was the bank of Dubai
1561190062948203,46:24,Michelle Kingsley,Fnb bank phoned me when my oldest son did purchases on my card with fortnite but it was muliple purchases
1561190081284887,46:41,Ken Fer,the Gupta's stole billions because our bank systems are weak
1561190087275716,46:47,cassim suleman,dept of small..
1561190094054408,46:54,cassim suleman,no dept of big
1561190157239873,47:58,cassim suleman,manager had to question these inflows...know your client fica principle
1561190172753127,48:13,Tshepo Chiloane,watching from pretoria
1561190194648410,48:35,Lew464,she should be subjected to a lifestyle and financial audit.
1561190203580488,48:44,cassim suleman,tea..you lucky
1561190208082117,48:48,Eddy Monnapula Nkadimang,this co
1561190276408663,49:56,cassim suleman,this woman a joke ..crying foul
1561190295559116,50:16,Ken Fer,but brian deserve life in prison
1561190331837672,50:53,Ken Fer,they used this woman dream and
1561190395597691,51:56,cassim suleman,dream yes but if you dont have the expertise..
1561190396461770,51:57,Ken Fer,they uaed her
1561190438235874,52:38,Eddy Monnapula Nkadimang,This cc was actually run by an official of saa express lol
1561190471299622,53:11,Ken Fer,i feel for this woman.
1561190489683745,53:30,cassim suleman,i can dream to be hotshot lawyer but i dont have expertise..now u say to me ok you got job of lawyer..do you take it..if you promised millions
1561190566873570,54:47,Ken Fer,this woman ia old school and Brian outsmarted her
1561190576915938,54:57,cassim suleman,she playing dumd eish
1561190643812470,56:04,Born free,I don't believe she ever asked for Invoices from the onset she is involved in money laundering and fraud.
1561190644454348,56:05,Reinette Raubenheimer,very dumb
1561190668610586,56:29,cassim suleman,she a lauging stock..bad for our image
1561190675613088,56:36,Vish Govender,This person pretends to be naive. The Judge is conscious of this.
1561190680124067,56:40,Reinette Raubenheimer,acting for an Oscar.....
1561190715703228,57:16,Justice Letsholo,Is this lady for real 😂😂
1561190726135669,57:26,cassim suleman,theres a saying in south africa...it is not a crime to steal..but a sin to get caught..
1561190726478053,57:27,Naledzani Mashau,She's a bird of the same further
1561190727484383,57:28,Reinette Raubenheimer,very much so..... she is not so clueless....
1561190774341784,58:14,Ken Fer,this happens in government tender . if you want business they ask money
1561190804923021,58:45,Michael Holmes,yoh this is bad
1561190819219237,58:59,Vish Govender,Its her company. 15 Million and some odd and she did not take even `million. So who really owned this company. ANC?????
1561190834864036,59:15,cassim suleman,dont think he is afrikaner
1561190838568917,59:19,Justice Letsholo,This woman is hanging herself
1561190842427939,59:23,Born free,The plot thickens
1561190890894900,1:00:11,Naledzani Mashau,Mr van Wyk is an African guy
1561190893455747,1:00:14,Born free,Van Wyk is a black man
1561190914375756,1:00:35,cassim suleman,judge a bit slow on the take ..wat part he doesnt understand..cut and dried case
1561190949313061,1:01:09,Reinette Raubenheimer,why worry about skin color...... crime is crime have no color
1561190971527589,1:01:32,cassim suleman,ya
1561190981837994,1:01:42,Ken Fer,crime has no colour
1561190986513926,1:01:46,Vish Govender,Absolutely on point PASTOR
1561190992144020,1:01:52,Khaya Nomoyi,I am so interested to know whar is Mr Van Wyk and his sidekicks are going to say.
1561191002552981,1:02:03,Eddy Monnapula Nkadimang,Many people goes into business knowing nothing about business
1561191021011900,1:02:21,cassim suleman,yip and they get tender
1561191080233634,1:03:21,Magda Seguin,Yesterday someone called Lex Luger attacked me on this thread about my comment on Van Wyks corrupt activities
1561191101470867,1:03:42,Naledzani Mashau,I was just trying to help no malice or offence guys
1561191105844980,1:03:46,cassim suleman,nothing to understand..rogue
1561191123563568,1:04:04,Vish Govender,It appears van Wyk was the enabler for the ANC
1561191126708009,1:04:07,Magda Seguin,"As it turns out,Van Wyk was suspended for fraud and bribery in 2016"
1561191132899124,1:04:13,Born free,All she had to do was obtain the Invoices from the contracting companies
1561191199212997,1:05:20,Reinette Raubenheimer,she was playing along......
1561191199458798,1:05:20,Ken Fer,but mgwenya was the best witness abd van wkj is in trouble
1561191203154291,1:05:23,Oscar,is today not wknd?
1561191206256161,1:05:27,cassim suleman,appointed investigators...eish played dumb and ignorant..now getting smart
1561191244538185,1:06:05,cassim suleman,not an afrikaner
1561191258698637,1:06:19,Magda Seguin,"As I mentioned yesterday,Van Wyk can have the best lawyers but forensicd"
1561191268020179,1:06:28,Ken Fer,why can the commission goes to that company that received money if they did the work
1561191304656478,1:07:05,Magda Seguin,"Forensics,cyber docs,etc will nail him,the NPA is busy"
1561191383156861,1:08:23,Lloyd Nkambule,hmmmm hot seats hmmmmm
1561191392250488,1:08:33,Magda Seguin,"SA Express was grounded,the investigation started before then,that is why this lady is here"
1561191404205975,1:08:44,cassim suleman,there is so much of fires...last 25 years ...big fires ..small fires..police dont have resources to catch and prosecute
1561191409547538,1:08:50,Moeneeb Martin,not that it matters what he is. but his full name is Brian Tebogo Van Wyk
1561191417646135,1:08:58,Born free,The commission will call these people to the enquiry and any paper evidence must be submitted.
1561191461447543,1:09:42,Magda Seguin,All is well thanks @Pastor JJ Pastor JJ but we are expecting temperatures of up to 40C
1561191465600086,1:09:46,cassim suleman,also police are corrupt
1561191529232443,1:10:50,Tersia Honiball,spur buddies
1561191571321441,1:11:31,Margareth Waterboer,"People, MR VAN WYK is NOT WHITE.. He adopted that name... The previous witness (the security guy) was going to explain how he got that name, but the judge didn't pursue it.."
1561191588668079,1:11:49,Magda Seguin,This evidence leader always had a hostile way of questioning throughout the commission
1561191604243893,1:12:05,Vish Govender,It appears that she did do something to gather evidence to show wrong doing. Maybe we should not judge her until all the evidence is presented including the recordings of conversations.
1561191617950483,1:12:18,cassim suleman,govt is run majority ..so looters will be part of majority.
1561191663549461,1:13:04,Magda Seguin,"Van Wyk opend the Standard Bank account and controlled it,she had no access"
1561191709557295,1:13:50,Magda Seguin,Van Wyks partner was also involved in wrongdoing
1561191713657821,1:13:54,Margareth Waterboer,"@Kirk gemmell, Van Wyk is NOT a White person.."
1561191759705025,1:14:41,Reinette Raubenheimer,ag stop now this color stuff @waterboer
1561191766655737,1:14:47,Vish Govender,Yes PASTOR. That's the burning question.
1561191770788923,1:14:51,Born free,Yes and whether she has paid tax on these dividends.
1561191812349661,1:15:33,Born free,The majority are the looters.
1561191838429461,1:15:59,cassim suleman,eish get real...stop looking with blinkers...its not a rascist thing.
1561191864377987,1:16:25,Magda Seguin,There is an article called 'A masterclass in looting' implicating Van Wyk in state capture
1561191904136118,1:17:04,cassim suleman,truth hurts isnt
1561191934383383,1:17:34,Margareth Waterboer,"@Thando Nkutha, that's absolutely true. I thought so too until the security person clarified it.. I'm curious to know why he adopted that name.."
1561191963187754,1:18:03,Willie Nwanati,this lady seems she knows what was going on
1561191995550966,1:18:36,Lucia Bennett,Do these ppl have no conscience?
1561192007131072,1:18:47,cassim suleman,no
1561192026121861,1:19:06,cassim suleman,no thief has a conscience
1561192059007818,1:19:40,Dabble Smith,"Africans keep talking about it more and more, what do you think will happen if Africans try to make war on white people?"
1561192062196737,1:19:43,Dabble Smith,"Africa only has Africa to back it up, white people internationally will bring all their armies and finish the war VERY quickly.. Stop being racist Africans."
1561192078850875,1:19:59,Magda Seguin,*rands
1561192085581508,1:20:06,Margareth Waterboer,"This witness is complete puzzle..she leaves more questions... Is she part of the scheme, is she naive, is she trying to save herself, is she stupid? I'm confused.."
1561192093122625,1:20:13,Dabble Smith,"We are all born here, we need to make a better country for all."
1561192127672900,1:20:48,Wendy Jones,beleve her and you will believe anything
1561192144437931,1:21:05,Magda Seguin,"I dont think that anyone can consistently appear to be stupid,this lady was conned big time"
1561192146768655,1:21:07,Willie Nwanati,"yep she is puzzle, she seems she know something"
1561192178858545,1:21:39,Willie Nwanati,ja neh
1561192221401759,1:22:21,Magda Seguin,"Anyone who listened yesterday will know what I mean,the looters used mafioso tactics to obfuscati"
1561192244482568,1:22:44,Dabble Smith,"I love you South Africa, please just stop hating each other because of colour of skin, its stupid ❤"
1561192318000846,1:23:58,Magda Seguin,"@Dabble Smith the racism is off the charts,it is driven by populist rhetoric in the ANC and EFF,hopefully the BLF will disappear forever"
1561192420745162,1:25:41,Dabble Smith,"@ Thando, its because we have too much racism and it causes many problems for our country."
1561192435853113,1:25:56,Dabble Smith,We need to work together.
1561192443815961,1:26:04,TV Gee,Spiritual what?
1561192459311732,1:26:19,Magda Seguin,Must be her pastor
1561192478748316,1:26:39,Kirk gemmell,"The leftists and populist are globally the ones behind this racism phenomenon that a proven fact , MSM is leftist and they spew one side of the story only"
1561192505646720,1:27:06,Dabble Smith,I back the commission.
1561192516182751,1:27:16,donovan daniels,what about the COMMISSION
1561192563977212,1:28:04,Sebastian Gudu,since when business seek spiritual advisers I wonder how this women was appointed she seems to know nothing about business
1561192568394083,1:28:09,donovan daniels,this commission is doing an outstanding job you can see that she's committed to this
1561192569936711,1:28:10,Magda Seguin,"plus the fake news,the story that HIV was spread by apartheid forces was debunked as fake by experts but people still believe it"
1561192573359934,1:28:14,Dabble Smith,The chairman
1561192578089200,1:28:18,Dabble Smith,he is a boss ❤
1561192607330525,1:28:47,donovan daniels,i think the chairman is bit SLOW
1561192635606515,1:29:16,Kim Robertson,"he listens to everything, no fool"
1561192655844890,1:29:36,Dabble Smith,"It's a delicate topic, he is only giving this deep thought, no quick answers are needed."
1561192657155199,1:29:37,Anne M.,@donovan daniels Are you being sarcastic or do you genuinely believe Judge Zondo is a bit slow?
1561192678757607,1:29:59,Magda Seguin,"this is after she went to the bank to have control,he previously managed the account"
1561192685678802,1:30:06,Margareth Waterboer,I think the chair is not fooled and deliberately poses questions that seem innocent..
1561192695072289,1:30:16,Dabble Smith,Exactly
1561192744125127,1:31:04,Sabelo Zulu,Donovan I believe he's not slow but ensures there's evidence to back every evidence
1561192748819975,1:31:09,Born free,The Chair has such a deep voice he has to speak slowly
1561192754362165,1:31:15,TV Gee,Chairman is very attentive don’t be fooled
1561192787119638,1:31:47,Dabble Smith,"Not just attentive, but also attractive, very well dressed 😀"
1561192818816559,1:32:19,donovan daniels,but yet his a very considering chair
1561192822082281,1:32:22,Magda Seguin,"The DCJ is excellent,as someone who watched from the beginning of the commission I really have the utmost respect for him"
1561192825988401,1:32:26,Born free,Wish don't think this recording is going to be of any value
1561192854354522,1:32:55,Anne M.,@donovan daniels I think the DCJ is one of the most brilliant legal minds in the country. Don't be fooled by his soft spoken or politeness.
1561192863574568,1:33:04,Dabble Smith,"I agree Magda, and hope you are all having a great weekend."
1561192875710549,1:33:16,Born free,Eish not audible
1561192895229035,1:33:36,Dabble Smith,"They will fix it now, np."
1561192930136785,1:34:11,Margareth Waterboer,"Absolutely, @Magda Sequin.. Judge Zondo is Very BRIGHT.. I respect him.. People must not underestimate his type of questioning."
1561192936700411,1:34:17,Willie Nwanati,they are going to fix it when they come it will boom
1561192950272086,1:34:31,Ken Fer,but brian scored 9 million gor his galfriend
1561193048037954,1:36:08,Reinette Raubenheimer,is his life partner a lady or a man🤔?
1561193112310976,1:37:12,Ken Fer,man i guess
1561193126048107,1:37:26,Reinette Raubenheimer,thanks @Anne M
1561193144669339,1:37:45,Born free,Brian scored for his gay friend lifetime partner
1561193198846725,1:38:39,Reinette Raubenheimer,think Mr v wyk is on the toilet by now.....
1561193377020816,1:41:37,Michelle Kingsley,ken that was funny
1561193386874694,1:41:47,Margareth Waterboer,"Why didn't she go to police.. No, this woman is playing innocent.. I'm sorry.. Wanted to believe her, but can't accept she's innocent.."
1561193451513373,1:42:52,Michelle Kingsley,big question now adays? how do you get a tender asap. be a women in business and of colour too
1561193470394312,1:43:10,Michelle Kingsley,but how can she be so naive not to know whats happening in her own business
1561193487400943,1:43:27,Mike Meyer,"she is a crook,unethical and a liar..."
1561193519745794,1:44:00,Michelle Kingsley,how the fudge can you meet at spur for a meeting
1561193528760098,1:44:09,Michelle Kingsley,its a family restuarant
1561193584956586,1:45:05,Kim Robertson,"she is sweating ,"
1561193606762565,1:45:27,Antonie Engelbrecht,she neer had a buss......just ontacts
1561193656463917,1:46:17,Margareth Waterboer,She willingly became a conduit for transfers of money and was given payment for it..the R 500 000 It was the pattern among the corrupt gang..
1561193826409022,1:49:07,Michelle Kingsley,its sad though
1561193848357229,1:49:29,Michelle Kingsley,people need others to instigate corruption on such a level...
1561193876034965,1:49:56,Michelle Kingsley,south adrica is the laughing stock of the world
1561193998658503,1:51:59,Ben Cole,"She,may have become a conduit. But not sure if it was willingly. She was used and her business stolen from her. Her “whistleblowing” brought this scam into the open. Still think she was conned."
1561194064235162,1:53:05,Mike Meyer,agreed Watson
1561194107910247,1:53:48,11soccerdad,Chairman Zondo is absolutely brilliant. The epitome of balance and justice. The Judiciary is the only hope this country has left.
1561194138260913,1:54:18,Lew464,she knew what she was in for. When she was not receiving what she was promised...decided to become a whistle-blower.
1561194149125476,1:54:29,Danie Nilsen,at half a million a pop i would also not ask many qeustions
1561194230051480,1:55:50,Born free,The question is.. is she a whistle blower.. did she volunteer to come to the commission or was she supeoned??
1561194237749749,1:55:58,Ben Cole,Has it been established what she contractually should have received for managing the two airports.
1561194263836005,1:56:24,watson mutanga,"Financial illiteracy has devastated communities, companies and countries."
1561194279555752,1:56:40,Danie Nilsen,her busness was not ground handling it was a laundery like in money laundering and she new from the start and she wanted more but could not get it she blew the bugle or a biiiig whisltle
1561194286932651,1:56:47,Michelle Kingsley,corrupion makes me so antisocial.... to scared to make friends even :(
1561194290793940,1:56:51,Margareth Waterboer,"Ben, initially I had the same theory, but think she became whistleblower when she realised the 💩 was going 2hit the fan with this Commission. I'm confused with her... I hve same idea now as @Lew464"
1561194353888449,1:57:54,Born free,haha more like a vuvuzela
1561194365056917,1:58:06,Danie Nilsen,lol
1561194387422632,1:58:28,watson mutanga,Party cadres being put in positions they aren’t qualified for. Out of nowhere the Comrade has access to what he or she thinks is free money.
1561194405522214,1:58:46,Born free,Then she is most definitely a part of of this fraud
1561194419018421,1:58:59,Margareth Waterboer,"Yes, @Watson"
1561194428166818,1:59:08,Reinette Raubenheimer,millions deposited into her account.... and she wasn't even on site..... no work was done....🤔.....red flags..... should have contacted her attorneys or crime investigating unit.... no excuses....
1561194451228842,1:59:31,Tsepang R,we have an hour tea break? this commission and time keeping..
1561194454320382,1:59:35,Anne M.,Looks like it
1561194470161121,1:59:51,nuts King,.yo
1561194477732839,1:59:58,Reinette Raubenheimer,think recording gives problems
1561194484714201,2:00:05,Born free,All aboard the gravy train that's what it has been.
1561194485770797,2:00:06,Cobus Opperman,"Reinette Raubenheimer , I agree"
1561194497101733,2:00:17,Yonam Daudi,still watching the recordings
1561194512494267,2:00:33,Mark Kidd,With Pres CR speech this gives me hope that some people will be held accountable !!!!
1561194522902821,2:00:43,Fello Mkhize,..but it just doesn't make sense tht she would let this Van Vyk character do as pleased with her company if she wasn't IN on it..
1561194530445236,2:00:50,Tsepang R,why didn't they test the recording before? poor preparation.
1561194538596417,2:00:59,Ingrid Toka,this tea break though....
1561194559491355,2:01:19,Tsepang R,they're own technology always gives them problems yet they never learn
1561194605260907,2:02:05,Fello Mkhize,..recording should have bn sent fr clean up earlier yazi
1561194622726649,2:02:23,Lew464,"when someone consults a ""spiritual"" adviser (sangoma) and not a lawyer, then something is seriously questionable."
1561194633535004,2:02:34,Reinette Raubenheimer,to record out of a handbag is not ideal.... pick up lots of noice....
1561194654352016,2:02:55,Magda Seguin,"My surname is spelt with a G not a Q,its a mistake people often make"
1561194655197040,2:02:55,watson mutanga,"If there aren’t jail terms after the recommendations of this commission, the country will spiral into a failed state. The international community will lose the little confidence left."
1561194665171465,2:03:06,Ben Cole,Yesterday she said she decided to whistleblow by threatening to go to a newspaper because she felt she had become a servant in her own company. But her “nativity” is beyond belief.
1561194703729089,2:03:44,Born free,She is acting out to save herself
1561194765194446,2:04:46,Ingrid Toka,@Born Free I thought so too
1561194767771784,2:04:48,Reinette Raubenheimer,don't think so @pastorjj
1561194833234557,2:05:54,Margareth Waterboer,"@Pastor JJ, f I remember correctly that contract was terminated when they discovered the connection between BOSASA and the previous secretary of the Commission who was sacked."
1561194952043604,2:07:52,Reinette Raubenheimer,thanks @margareth waterboer
1561194955849964,2:07:56,Peet Venter,Eish...
1561194962991566,2:08:03,Norman Zwane,"This kind of Black business I hate, e is paying R2m, has never seen the so called repairs, does not go on site, probably drives a fancy car, always in meetings."
1561195009373667,2:08:50,Ingrid Toka,no sound?
1561195010301071,2:08:51,Born free,Is that Van Wyks attorney in the background behind Miss Hoffmeyer??
1561195018088407,2:08:58,Lucia Bennett,This witness is always taking notes. Haibo
1561195061700771,2:09:42,Magda Seguin,"The corrupt,the corrupted and the corruptees are a legacy of the Zuma era which will go down in history as the worst time of the new dispensation"
1561195078534487,2:09:58,Waterbearer,What’s going on now?
1561195088887413,2:10:09,Ben Cole,"Watson Mustangs, you are right about the NPA and what will happen if there are no prosecutions."
1561195089903356,2:10:10,Lucia Bennett,Going to confuse herself.
1561195090246498,2:10:11,Born free,she has to make notes
1561195102046890,2:10:23,Magda Seguin,No sound of the recording
1561195205542260,2:12:05,Magda Seguin,Her business money going to ANC
1561195375012927,2:14:55,Michelle Kingsley,wash that money :(
1561195455497478,2:16:15,Born free,She is ANC
1561195489443882,2:16:49,Lew464,"hey MD, what colour you u/wear?"
1561195562316705,2:18:02,Ben Cole,Born Free. We don’t know what party she belongs to.But does it matter? At least she spilt the beans.
1561195579063539,2:18:19,Willie Nwanati,she's allowed to do do
1561195637307543,2:19:18,Willie Nwanati,the commission allow anyone to use the language they prefer
1561195683340578,2:20:03,Born free,She did not volunteer she was requested to give evidence.
1561195713076514,2:20:33,Willie Nwanati,maybe if she can use her language it can be better for her to explain it
1561195745583024,2:21:06,Born free,She has no problem with big English words.
1561195778368694,2:21:38,Robert Russell,Morning Guys..... who is the witness?
1561195821746601,2:22:22,Anne M.,"Babadi Tlatsana, Director of Koroneka Trading & Projects"
1561195838764126,2:22:39,Anne M.,Morning Robert\
1561195847391417,2:22:48,Robert Russell,Ok got it thanks Anne
1561195989561396,2:25:10,Magda Seguin,Hello Robert
1561196018961227,2:25:39,Margareth Waterboer,"Oh come on, people, respect people speaking in their mother tongue.. It's best for them. I wish I could speak all languages.."
1561196040707202,2:26:01,Robert Russell,Hi Magda how you doing?
1561196095980866,2:26:56,Millicent Shozi,haibo
1561196101991608,2:27:03,Norman Zwane,@Tholithemba Ntsele I doubt if she knew there was a tender. I doubt if there was a tender. There was a fraud clearly.
1561196137852396,2:27:38,Magda Seguin,And how are you doing?
1561196148117587,2:27:48,Robert Russell,There was NO tender and her company got R20m
1561196160340042,2:28:00,Ben Cole,"Magareth Waterboer. Like in a court, people here are entitled to ask for an interpreter. Most seem to prefer to testify in English though."
1561196175499685,2:28:16,Love Moore,"looooool...BEE Window dressing at its best, this woman knows zilt about running a company or anything like that."
1561196188823412,2:28:29,Reinette Raubenheimer,aunty Lynn Brown again.....
1561196200270809,2:28:40,Willie Nwanati,I think she didn't know nothing about tenders cos they wanted her CK certificate to get those tenders
1561196202488129,2:28:43,Danie Nilsen,she is compromised in the beginning and the lie grew as they tend to do and the money she was or not paid was not confusing and she did not refuse it they used the perfect person to use
1561196232276237,2:29:13,Willie Nwanati,yep
1561196258455681,2:29:38,Millicent Shozi,can anyone out there give me a tender loving care
1561196259584883,2:29:40,Willie Nwanati,she was happy that she get money at the end
1561196320390957,2:30:40,Robert Russell,"Who is the """"he"""" they are referring to?"
1561196344092496,2:31:04,Magda Seguin,Brian Tebogo Van Wyk
1561196354132426,2:31:14,Born free,BEE against a minority group has killed this country . BEE is not even structured on a merit or qualification basis.
1561196359973103,2:31:20,Anne M.,"Van Wyk, previous General Manager Commercial at SA Express"
1561196368455063,2:31:28,Margareth Waterboer,Incompetence kills economies.. Or any business.. We should employ the best for the State.
1561196413885827,2:32:14,Magda Seguin,Even great business leaders fail
1561196429775151,2:32:30,Thembisa Odendaal,This skelm besigheid is so degrading to the rest of us because it merely confirms that you need to be skelm to get these tenders.if you are honest & hard-working forget it
1561196438562814,2:32:39,Magda Seguin,This is pure corruption
1561196484291590,2:33:24,Ben Cole,Is the NPA representative listening.
1561196489110036,2:33:29,Rox,this looting is depressing
1561196493106861,2:33:33,Danie Nilsen,agreed only greased hands will give you any type of tenders
1561196501161032,2:33:41,Rox,Dipou Peters
1561196526796484,2:34:07,phemelo seothaeng,Tenders can corrupt yong !
