timestamp,time,author,message
1607584952837489,-41:48,Thando Mgodeli,GM guyz
1607585229525763,-37:11,Diane Louw,morning
1607585430878405,-33:50,Heather Durr,Hi @Diane Louw @Thando Mgodeli Hi. Diane how was the dentist and did you see the McKinsey offering. I think they can afford much more
1607585749613678,-28:31,Diane Louw,they removed a piece of root and new denture as she doesnt know what she did with it grrrr
1607586901749143,-9:19,RANDOM GAMES,what da
1607586941743807,-8:39,Nkosinathi ngidi,morning everyone.
1607587179700978,-4:41,Tommygun,Molweni.
1607587201913625,-4:19,Diane Louw,cooked potatoes in microwave and was not done so i put it in for longer. when i took it out the cloth got caught on the microwave catch and rest is history
1607587202149965,-4:18,Lynn Barnard,Hello there everyone.
1607587220501612,-4:00,Mfundo,Sanibona bahlali abane data
1607587270998298,-3:10,Barbara Sattler,Guten Tag
1607587290845855,-2:50,Heather Durr,@Lynn Barnard @Tommygun @Mfundo @Nkosinathi ngidi @Barbara Sattler Hi
1607587294903997,-2:46,Gray Lawrence,Goodmorning everyone
1607587305141205,-2:35,Lerato Moleke,Molo @Mfundo nabanye abahlali
1607587312479844,-2:28,Heather Durr,@Gray Lawrence Hey there
1607587360116690,-1:40,Diane Louw,morning akk
1607587365037546,-1:36,Gray Lawrence,"Goodmorning Miss Heather Durr, your looking fine this morning 👍😃"
1607587378491072,-1:22,Diane Louw,all i mean
1607587384268971,-1:16,Reyaad Joseph,morning who is in the box today
1607587385056739,-1:15,Kelly Mpande,Molo Lerato M with friends
1607587409121322,-0:51,Lynn Barnard,"@Heather Durr, hi there 😊"
1607587420358965,-0:40,Diane Louw,<<<<< read heading under live stream
1607587438123341,-0:22,Ismail Petersen,Hello fellow law-abiding citizens. Are you's ready for the fun.
1607587447368812,-0:13,Heather Durr,@Gray Lawrence Its all mental @Lynn Barnard Hi there
1607587453888034,-0:07,SanFran Arnold,"@Reyaad Joseph Commission hears Eskom related evidence, Ms Msilo Mothepu,"
1607587492965505,0:21,Mfundo,Today we will hear testimony from former Trillion employee Mosilo Mothepu. The inquiry will also hear from three McKinsey senior partners about money flows in relation to the consulting company.
1607587503923076,0:34,Heather Durr,Welcome to the second wave and ZAR 650 million offering from Mckinsey
1607587509574804,0:37,Mfundo,ALL RISE
1607587517540593,0:46,Diane Louw,tx Mfundo
1607587519169041,0:48,Lerato Moleke,@Kelly 💐 hunny
1607587542404536,1:10,Mfundo,"SanFran Arnold, MY ONE IN MANY"
1607587562333737,1:30,Diane Louw,holiday makers please stay in your Province!!!!!!!
1607587572430009,1:42,Kevin1,R650m from McK is too low
1607587574160676,1:43,SanFran Arnold,@Mfundo GM
1607587577526277,1:46,Heather Durr,@SanFran Arnold Hey there
1607587588196571,1:57,DokoloCity,I really want to hear from the brilliant management consultants
1607587600174641,2:08,Mfundo,SanFran Arnold🌹
1607587616422237,2:26,Mfundo,☕ OR🍵 SanFran Arnold ?
1607587635806318,2:45,Tommygun,morning @Heather Durr always nice to be seen 🙂 Im a bit slack myself.
1607587645873237,2:54,Norman Mohakala,CFO?
1607587675221345,3:22,Thami Mhlomi,morning ladies and gents who is this young lady on the platform
1607587680703001,3:29,SanFran Arnold,@Mfundo ☕ 😉
1607587710887452,3:59,SanFran Arnold,"@Thami Mhlomi Commission hears Eskom related evidence, Ms Msilo Mothepu"
1607587724797710,4:16,SanFran Arnold,@Quinton van Eeden GM
1607587728099213,4:19,Heather Durr,@Quinton van Eeden -Hi
1607587731404876,4:20,SanFran Arnold,@Tommygun hello there
1607587730036488,4:21,Diane Louw,is she HR?
1607587751917577,4:40,Quinton van Eeden,can't wait for McKinsey to try and spin their way with consultant speak
1607587798795317,5:28,Tommygun,@SanFran Arnold u too 🙂
1607587814343806,5:43,Quinton van Eeden,@Heather Durr @SanFran Arnold 🌹🌹🌹
1607587822006101,5:51,Tommygun,Tokyo was ex Trillian director?
1607587830195913,5:59,Heather Durr,Well Mckinsey has agreed to pay ZAR 650 mil back in light of their dubious dealings
1607587852879479,6:21,Brian Hayes,will all gauteng kyk daar folk stay @ home for Xmas
1607587877993559,6:46,SanFran Arnold,@Tommygun yes he was the Chair of the Boars
1607587897772313,7:07,Mfundo,"Heather Durr, They should pay it back with interest"
