timestamp,time,author,message
1534838548132415,1:24,Ben Etsane,ayeye Zuma
1534838552472708,1:28,Brian Wafawanaka11,hi
1534838565268877,1:40,Pauline Marunga,hie
1534838574900833,1:50,Gomo Miya,we are ready ....sir
1534838588174462,2:03,Nduduzo Zondi,where is the live stream
1534838608799148,2:23,Zibele Dyonaae,Lasuka lahlala
1534838609463154,2:24,Orbert Mulaudzi,Operation clean up is starting today
1534838627212405,2:43,Gomo Miya,SABC. Live stream
1534838642797900,2:58,Thiza William,You can run but cannot hide. Wise people warned the world that what you do in the dark always come into the open
1534838681120485,3:37,Theodore Ntetshe,interesting 2 years ahead.....
1534838706432414,4:02,Gomo Miya,This is going to be a very interesting Commission of inquiry
1534838762689523,4:58,Gomo Miya,im even thinking of taking leave
1534838840655248,6:16,John Lekganyane,interesting
1534838883406683,6:58,Scyaa Glad's,hi guys
1534838907572563,7:23,Lorraine Mukasi,are we going to see the justice after this inquiry?
1534838926574629,7:42,avela8 nkomonye,hey guys
1534838983431201,8:39,I care for people God's son,I hope Zondo is not captured. We crying for truth as SA citizens
1534839087133417,10:22,MSK,Hey hey
1534839089752400,10:25,Pitso youngking mokhabi,LETS HOPE FOR THE BEST.OTHERWISE WE PURNISH THEM NEXT YEAR
1534839112518225,10:48,MSK,I feel like this is gonna lead no where like everything else
1534839126078053,11:01,ACE MABEKA,hello all
1534839150681520,11:26,Queen K,"Wonga is Mr Mathebula from treasury, will be assisting the commission with his testimony..hi guys"
1534839210740419,12:26,ACE MABEKA,on tax payers pockets...
1534839222717395,12:38,peter pott,I am really disappointed. Thulani gcabashe is chairman of standard bank
1534839232835214,12:48,Sibangani Dube,"SA has enough institutions to sort out thieves, this looks like a special court for criminals"
1534839266092380,13:21,Tsholanang Reginald Moletsane,"Is Mr Mathebula giving evidence on SCM101, if so whats the significance of that to the enquiry"
1534839279668719,13:35,I care for people God's son,Another best way in misusing tax payers money
1534839324522491,14:20,Stanley Gumza,Who knows
1534839370927914,15:06,Rob,He will testify about how governance should be done and how controls are put in place. It will set the foundation to show how things were not done properly when other witnesses are called.
1534839371357192,15:06,Sindiswa Moolman,"@Tsholanang Reginald Moletsane, this will highlight areas where SCM processes and prescripts were flouted during state capture to advance the interests of all involved."
1534839576109404,18:31,Thiza William,what's wrong about being standard bank employee...don't you have an account with Monopoly Capital bank or as a real black patriot uses VBS bank
1534839747231069,21:22,Mr qiqong,i. be
1534839786990979,22:02,Tsholanang Reginald Moletsane,"Am hoping that the commission will also hear from those who held the office prior to his appointment as acting chief procurement officer, in order to ventilate and interrogate irregular SCM decisions"
1534839809972081,22:24,Nchabeleng mekonko Malope volume 1,Zuma is going to jail
1534839851090007,23:06,Stanley Gumza,I don't think so.
1534839889660605,23:45,Mr qiqong,i hope we haven't concluded this state capture. we must except any results of this commission. i hope that Zuma will tell the truth and expose all those holly ones on our country.
1534839942377403,24:38,Stanley Gumza,Very true...
1534839954463847,24:49,Auti Mjita,"ndaa boMagoro, madzedzedze"
1534839989018868,25:24,thabani dhliwayo,no politician is clean in Africa
1534839997711533,25:33,Sindiswa Moolman,We are all interested to hear the truth in this whole State capture saga @Mzokhona Nkala
1534839998654792,25:34,Tshwanelo Tman,hey
1534840035829268,26:11,Mathope Ditshego,I hope the commission will help us to get this thieves to jail and recover our money that was stolen
1534840057023677,26:31,peter pott,There is where the problem is. government to delegate it's role.
1534840067260662,26:42,Stanley Gumza,"How can we be clean,corruption was started by white stooges"
1534840102348940,27:18,Sindiswa Moolman,Recovering the money will be very difficult as most has already crossed the seas to Dubai@Mathope Ditshego
1534840159604084,28:14,Sinawo Hermans,Forget the money!
1534840170335082,28:25,Stanley Gumza,I don't think so..
1534840196543214,28:51,Chris Welensky,This inquiry will cost more than the money recovered.
1534840267986644,30:03,MIKE DURBAN,Stanley my man........relax bra......All of them are not to be trusted...
1534840288177010,30:23,Thiza William,Stop insulting a Blackman intelligence by defending an indefensible criminal act
1534840294639860,30:29,Nkosinathi Ngubane,ubi ius ubi remedium:Iam patient right up to th end.
1534840294659011,30:29,ZINGISA GAMNCA,"on that 800bn 99% goes to white businesses, and the 1% is crumbes for black businesses"
