timestamp,time,author,message
1568115245515033,-28:56,Time Hour,who is in here?☺
1568115699872960,-21:22,Jane .Blamire,Hellooooo....
1568116709752306,-4:32,skeetpetegibbs,Bliksem but these people can waste time.
1568117156231192,2:41,No 1,TaxPayers Money - Rap Up and Jail sentence!!
1568117175149907,2:59,Derick Mampuru,but what was so difficult to complete the matric
1568117229336744,3:54,Derick Mampuru,or maybe I just don't understand what was difficult about completing matric 🤷🏽‍♂️
1568117310075465,5:15,Born free,What talent did he possess to be head hunted?.. I think he was Alvin Kloppers garden boy.
1568117334060055,5:39,Derek Main,"@Derick Mampuru Exactly - if Hlaudi is as smart as he keeps on claiming, why couldn't he pass matric?"
1568117388267123,6:33,Derek Main,@This Is Balls There is Orania for people like you.
1568117391556874,6:36,Xoli Mbatha,Apparently there were others hired without their matric qualifications
1568117432235280,7:17,Derek Main,@Xoli Mbatha But not at the position he was employed - only at much lower levels.
1568117462567328,7:47,Born free,Bring back colonization
1568117470819466,7:56,Xoli Mbatha,...he was initially head-hunted for a different lower level post
1568117480534459,8:05,Derek Main,@Thando Nkutha Even not-so-intelligent people pass matric.
1568117497301424,8:22,JS Bach,It is one thing not to have a formal qualification. Many people do not have the opportunity to attain one. But it is a different ball game to be a crook and a skelm.
1568117511065093,8:36,Born free,Today you will pass with F
1568117527085518,8:52,Derek Main,@Thando Nkutha We can't advocate a situation where board members don't need to have matric. That is the absolute minimum they require.
1568117562238351,9:28,sebatlelo michael,corporate governance paralysis at SABC under the watch of Ben Ngubani
1568117563717455,9:29,Kevin Simon,"Back in '96 and earlier it was not uncommon to employ people without matric. However, times have changed and now it is unusual for most companies to employ candidates without matric."
1568117576354381,9:41,No 1,Even the Police Force Minimum Requirements Matric - and so how many of them have a Matric??
1568117588916633,9:54,fikile mbokodi,hahaha shame this guy is a clown
1568117590375984,9:55,Xoli Mbatha,"...as mentioned he was encouraged to pursue his metric qualification thereafter, guess he got lazy"
1568117598724915,10:03,Pastor J.J,@Thando Nkutha . My brother i think you picking on me again. The part of the idiots who have degrees......hahahaha
1568117617225777,10:22,Xoli Mbatha,Matric
1568117629045489,10:34,clive oconnell,"If your an illiterate thief you can become president of South Africa, same as leaders of SABC"
1568117676809738,11:22,Pastor J.J,forgiven
1568117690304681,11:35,NARUTO kakapal,hlaudi is very smart all those undermining him are publicly humiliated when they engage hlaudi for example #shekkinah .kwe do
1568117691635854,11:36,Geraldine Gaggia,it's about understanding but about experience and understanding and Godly wisdom. certificates are meaningless
1568117695238972,11:40,Derek Main,@Thando Nkutha What's the point of wasting your time getting a matric then?
1568117695466280,11:40,Bheki Tembe,Are those people wearing Purple t-shirt walking out accompanied by Police HLAUDI's political party supporters?
1568117703037474,11:47,Kgethiso Bahula,Matric 🤭🤭🤭🤭
1568117704668912,11:49,stanley masilo,cic malema
1568117734989319,12:20,Born free,Especially with the likes of Zuma.. no-one needs Matric or qualifications . Zuma set a precedence.
1568117743219285,12:28,Grantley Stone,😂
1568117746690255,12:31,Samuel Moledi,"Ok Hlaudi never lied, he was just economical about the truth"
1568117761852247,12:46,stanley masilo,😂😂😂😂😂 u can say that again
1568117783050249,13:07,NARUTO kakapal,@derik henikom is known enemy agent
1568117784166280,13:08,No 1,The Reason they won't let go of the Matric aspect! Hlaudi was on the Board and misrepresented himself in terms of his applicant!! So he needs to admit to his Lies full-stop
1568117791661473,13:16,fikile mbokodi,hahaha
1568117797803139,13:23,Derek Main,@Thando Nkutha OK - playing the devil's advocate. I like it! 😀
1568117839085380,14:03,ross alexander,hes lying so much his pants are on fire!!!
1568117839382600,14:03,Mpho Aaron,she she she
1568117867265623,14:33,No 1,Lies won't save the Nation also!!
1568117868982167,14:35,Geraldine Gaggia,experienced people will save us
1568117882088683,14:46,Jabulile Mazwane,just a clerk
1568117884664678,14:49,Derick Mampuru,"I think George is trying to say ""they've hired me, I didn't tell them to hire me without matric""..."
1568117928015338,15:32,xolani mzolo,so clerks add no value here...Hlaudi
1568117928637058,15:33,No 1,@Thando Nkutha in 1994 all schools and education forums open for everyone?
1568117937137343,15:42,Born free,So his highest Matric Symbol was an E..eish.. I think it is an exemption today
1568117968462847,16:13,Lehlohonolo Tsoeute,I want to combine my Std 7 with my Std 10 to get Masters
1568117976274934,16:21,Derek Main,"@Thando Nkutha I agree that matric is not the be-all-and-end-all. However, if it is part of a particular job's requirements, then that's that. Else it's not fair to others who wanted that job."
1568117992277223,16:36,Born free,🤣🤣🤣😁
1568118012736447,16:58,Nokuthula Mbeje,😂😂😂😂😂
1568118026111546,17:10,fikile mbokodi,zondo you coming to it now
1568118031739360,17:16,Wildthing,He should have placed St5
1568118035196989,17:20,Albert Noah,DCJ should move to other parts of inquiry. He won the argument
1568118037160898,17:22,No 1,@Lehlohonolo Tsoeute 😂🤣🤣🤣😂😂
1568118052275332,17:37,Makgati Mokhutse,i think hlaudi is doing well so far as the few honest man around
1568118066967824,17:51,Kgethiso Bahula,😂😂😂😂😂😂
1568118082069914,18:07,Xoli Mbatha,I've obtained my 2nd matric certificate! Just by listening to this live-stream🤞 😵😵😵
1568118082231625,18:07,Jabu Malinga,"when ter is no straight answers, u mus no its lies."
1568118087730410,18:12,Rajen Navsaria,😂😂😂😂😂😒
1568118094624292,18:19,Yongama Mdleleni,Chairman forgot about the bread 🍞
1568118095136759,18:20,Jabu Malinga,but Zuma didn't pass class 2 and was president
1568118106748063,18:31,Daniel David International,😂😂😂😂😂😂😂😂😂😂😂.the results said i did'nt do well
1568118112292749,18:36,Abe Molefe,hahahaha
1568118117974063,18:43,Wildthing,ha ha
1568118122901757,18:47,No 1,"@Thando Nkutha Schools are for educations not for any other aspect, If you want to learn you will learn without having shoes etc"
1568118127916975,18:52,xolani mzolo,outstanding
1568118128424645,18:53,stanley masilo,i like the way chairperson ask questions
1568118140010434,19:04,Vic SetheMasewawatla,Oustanding Feedback Hlaudi
1568118143278951,19:07,Velma Matinketja,as for chairman😂😂😂😂😂😂
1568118161464305,19:26,vuyolwethu sbusiso khoza,what clowner is this? 🤣 🤣 🤣
1568118163059573,19:27,Geraldine Gaggia,experience is worth more than matric
1568118171264932,19:36,Jabu Malinga,"Hlaudi can be president, he passed std 9"
1568118175951601,19:40,lucky Molepo,did Hlaudi write matric and fail or he never
1568118183281744,19:47,Born free,"Combine his symbols.. E, F,F,F and H = outstanding Matric"
1568118186656452,19:51,Wildthing,or 9 or 8 or 7
1568118188058359,19:52,Oratile Masipa,This is so much entertainment!
1568118193721419,19:58,Bongumusa Ngomane,"gaggia, do you have matric?"
1568118201631338,20:06,No 1,"@Thando Nkutha yes I do sympathize with conditions though, mine was the same 😖"
1568118204518648,20:08,Lehlohonolo Tsoeute,"I think Angie must consider COMBINING these kids score to increase pass rate to 100% Look at Hlaudi, classic example of COMBINATION, he was even COO"
1568118204828795,20:09,Jabu Malinga,does hlaudi know wat is standard 10?
1568118210451767,20:15,fikile mbokodi,he did write but he never passed it
1568118213168361,20:18,Derek Main,@Jabu Malinga Or because he's corrupt enough to meet the ANC's criteria.
