timestamp,time,author,message
1550837308707273,2:20,lucky Molepo,are we live
1550837322644798,2:33,Thabani Mthethwa,Yes Sir
1550837337245564,2:48,Yusuf Towing yusuf,niyaxoka nina man
1550837368243132,3:18,makhosi nobhatyi,Yes dear
1550837502395072,5:33,makhosi nobhatyi,Live where is other people
1550837558329287,6:29,Luleka Madikane,Lol🤣🤣🤣
1550837558532807,6:30,lucky Molepo,thank u
1550837682399662,8:33,makhosi nobhatyi,Sobulelo denial
1550837696351948,8:47,Sharon Xibu,live
1550837950768284,13:02,Zola Marali,Corrupt official must go to Jail
1550838023761342,14:15,makhosi nobhatyi,I think these people were trying to sobotage you chair Mabuza
1550838234672898,17:45,Kisten Pillay,too long corruption is going on must lock all corrupt officials because in New Zealand if the officials used tax payers money to buy a cup of tea for a family member it is a big thing.
1550838442099660,21:12,kabelo prince,ADV Maleka for President.....
1550838497732479,22:08,Felix Muyoba,@kabelo prince rather for DCJ when zondo moves CJ level..
1550838615355678,24:06,Thabang M,maleka is getting bored⚠️😂
1550838662897159,24:54,Sthakathi Khumalo,"Pravin Gordans name keeps propping up, but we now know his interests in this matter. This is really something we need to look at carefully. Pravin influence"
1550838729975965,26:01,Felix Muyoba,@Sthakathi Khumalo EFF has said all these but you people dont believe them..
1550838926181850,29:17,Sthakathi Khumalo,"Felix Muyoba Its not that we don't believe, the media feeds us one narrative and this is problematic!!"
1550838955012043,29:46,Felix Muyoba,@Sthakathi Khumalo i hear you..
1550838986407429,30:17,Thapelo Motabogi,they should ask mabuza about dirk herman and the rest of white people who are still benefiting them only while blacks continue to suffer at eskom
1550839025573640,30:56,Felix Muyoba,@Thapelo Motabogi i hope all those issues will come out..
1550839053705183,31:24,Glorify Gumede,i just joined now
1550839062135988,31:33,Glorify Gumede,uthini lo baba?
1550839070661800,31:41,Thapelo Motabogi,mabuza is feeding us false information
1550839088944642,32:00,Glorify Gumede,awu! uyaxoka?
1550839107765957,32:18,Felix Muyoba,@Thapelo Motabogi he will try his best to protect his interests
1550839123089790,32:34,michael mbatha,and you got paid for all those meetings
1550839137510578,32:47,Thapelo Motabogi,and he has failed
1550839156007172,33:07,Paul Mufhadi,we can kill the ANC by not voting for it
1550839177758762,33:28,Felix Muyoba,just board sitting fees..thats what these guys go for..
1550839193024372,33:44,Talent P Sibisi,Jabu Mabuza this is not a Banana State Capture
1550839200772356,33:52,MIKE DURBAN,Mmmm...this Eskom is really something else.....I'm totally shocked at the way they operate....
1550839208487788,33:59,makhosi nobhatyi,"Thapelo motabogi do you have evidence? If you know something go to the commission, as far as we know this guy is working for Eskom I don’t know about you"
1550839235520159,34:26,Felix Muyoba,why are we just focusing on declarations?
1550839276553601,35:07,Zola Marali,it's high time that President to disbound all the boards in government they useless just money spenders through meeting.
1550839317443883,35:48,roberto wilco,privatize eskom
1550839330823987,36:01,roberto wilco,disolve saa
1550839338234927,36:08,Thapelo Motabogi,"makhosi don't ever question things you know nothing off because you sound like a fool now,just listen and research,we are not here to feed you information"
1550839371503518,36:42,MIKE DURBAN,This Jabu fella...is just another ANC replacement.....my opinion
1550839382354116,36:53,roberto wilco,yes
1550839405171855,37:16,Thapelo Motabogi,"true,it's a fact"
1550839410470465,37:21,roberto wilco,eskom will send the country broke
1550839423078801,37:33,MIKE DURBAN,Rama...knows exactly what he is doing......think about it....
1550839448148650,37:59,Zola Marali,exactly Grant Wilkinson
1550839499825313,38:50,Paul Mufhadi,The ANC keeps on feeding us with the same wine in a different bottle.
1550839512164032,39:03,Thapelo Motabogi,"and the sad part is that they target black people but whites continue to benefit and do as they please,this mabuza guy you ca see he has pravin's protection"
1550839526348620,39:17,makhosi nobhatyi,Thapelo motabogi you make me you know making too much noise here as I said go open a case this guy finds these things there done already so what sinne he did?
1550839614699510,40:45,fuzile dazana,im lost
1550839654837789,41:26,makhosi nobhatyi,"Mabuza is doing his job to save Eskom, I give him 3 to 5 years you will see results, don’t just attack him for done nothing, they are on trenches to dig"
1550839779873979,43:30,makhosi nobhatyi,Listen carefully about this evidence
1550839802616606,43:53,Thapelo Motabogi,"you must send me text one's he gets exposed,you will thank me later.some of these guys some of you just heard about them now and some of us we do our own research"
1550839836137217,44:27,Thapelo Motabogi,we don't wait to be told what is true and what makes sense. use your brains bra and think
1550839915599327,45:46,MIKE DURBAN,Pres Rama Bra....you better wake up if you want this country to go forwards and prosper.....but then your dollars are in Dubai.......my opinion..
1550840018210247,47:29,Jake James,Heck Mike. differing opinions are great but put your brain in gear first.
1550840051961057,48:03,MIKE DURBAN,@Jake.......makes one think etc...
1550840064840380,48:15,makhosi nobhatyi,"I am listening to the guy whose bringing changes at Eskom, your fight is not going to succeed you are trying blinded people, all you will see more, Gordhan said people do fight backs"
1550840069542601,48:20,Felix Muyoba,just say pathetic!
1550840127976426,49:18,Felix Muyoba,they wanted double payments (normal salaries and board sitting fees)..greed!
1550840156973830,49:48,Felix Muyoba,Am starting to like mabuza..
1550840170805713,50:01,makhosi nobhatyi,Let us appreciate black peoples who has successfully to their career such as this guy
