timestamp,time,author,message
1550821759995691,-13:08,Bongani Mpapele,Awaiting in anticipation for the proceedings
1550822428303613,-2:00,Briony French,snap @bongani
1550822512403016,-0:36,boitshepo thekisho,so waiting
1550822589274310,0:30,Desmond Masilela,Here we go guys
1550822675234447,1:55,Amanda Bentsile,Then the volume goes up
1550822745318608,3:06,Timmy Avocado,Eskom testimony kuzoba lit
1550822785833465,3:46,Peet Venter,File you too
1550822855820977,4:56,Thulani Bukani,This is gonna be madness
1550822870406205,5:10,Thulani Bukani,Maleka is already drinking water.
1550822878392826,5:18,Felix Muyoba,who is mabuza?
1550822920289368,6:01,Thulani Bukani,I think he is board chairman @felix
1550822923050150,6:04,Albert Noah,Fourth is mentioned twice
1550822946923316,6:27,Felix Muyoba,@Thulani Bukani of eskom?
1550823022221752,7:43,Thulani Bukani,Yes.
1550823051871194,8:12,Blue moon Spring,I would like Qooma to come to this inquiry. He testified last year. hope i spelled his name correctly.
1550823106319943,9:06,Felix Muyoba,thank you @goolamv
1550823107830432,9:08,Blue moon Spring,Qooma testified against Lynn Brown at the time
1550823116772024,9:17,Thulani Bukani,@goolamv he resigned this morning?
1550823134114047,9:34,Thulani Bukani,😱👀 does that mean today is gonna be explosive?
1550823145576005,9:45,Dmitry Nikashin,"..fasten your seatbelts guys and girls, it's going to be a bumpy ride"
1550823176371376,10:16,Felix Muyoba,@Dmitry Nikashin i have put my belt
1550823188032534,10:29,Mark Dijon,at this rate justice will never be served
1550823297886438,12:18,Bongani Mpapele,It's going to be a a short and long day at once
1550823334186958,12:55,Felix Muyoba,@goolamv for money laundering purposes..what else!
1550823508707189,15:50,Desmond Masilela,Gusy are we expecting any witness today?
1550823538186067,16:18,Tebogo Prince Muavha,Help Me Guys am Lost Which Mabuza he is Talking about?
1550823557815453,16:39,Felix Muyoba,@Desmond Masilela Mr Mabuza is on the witness stand already
1550823583721846,17:03,Desmond Masilela,@Felix Muyoba. Thank you very much
1550823583734636,17:03,big feet,Desmond the witness is waiing for evidence leader to finish explaining documentation to the chair
1550823637600970,17:57,makhosi nobhatyi,Jabu Mabuza is here to testify about disciplinary action taken for Matshela koko
1550823639440132,17:59,Dmitry Nikashin,Felix Muyoba 👍
1550823671342923,18:32,Dams daily motivations Madamalala,yeah
1550823780233751,20:21,Lesedi,@goolamv the R23bn wasn't enough i suppose😅😅
1550823785969685,20:26,Felix Muyoba,he is already forgetting his background..
1550823837951070,21:18,Felix Muyoba,drove taxis with a PhD?
1550823856338304,21:36,Zama Kubheka,true hustler
