timestamp,time,author,message
1601020931220002,2:03,Dave van David,chair may I made a statement
1601020990877726,3:02,Musa Mabunda,There will be a great deal of amnesia today
1601020995542246,3:06,Jongi Cayalli,how long has this start?
1601020999019351,3:11,mongezi xaba,let the game begin
1601021037527116,3:48,Connie Mose,"I don't know, I didn't do it. I forgot"
1601021068506654,4:20,Akhona Gala,His voice is gone already
1601021092264957,4:43,Lindani Moyo,Seems he already has a potato in his mouth
1601021095281222,4:46,Connie Mose,I would like adv Kate here
1601021110642218,5:02,OS Muzik,"""If I know, I don't remember. Sorry to disappoint you chair"""
1601021127018460,5:19,Maxwell Sibiya,"I'm trying to be like ' ahh, just another witness who will not remember anything', but deep down I'm so excited about today 😄"
1601021129843338,5:21,Douglas Masuku,"Mr. ""You will walk next to your shoes""."
1601021139503074,5:30,Musa Mabunda,"@Connie Mose Pretorius is fine, Ms Hofmeyr is reserved for Dudu Myeni"
1601021151682896,5:42,Connie Mose,I am not dealing with operational issues
1601021161282475,5:53,Mike Newlands,I cant lie I really did not think he would pitch up Amani suit BMWX5 and all - but there he is !
1601021172417727,6:03,pula metsi,Douglas Masuku that must be the fist question
1601021191620955,6:24,Musa Mabunda,Hahahahahaha @Douglas Masuku
1601021192099008,6:25,PHILANI MADLALA,We still waiting for Pravin Gordon as well
1601021221286398,6:54,Christopher Peters,"Mornings, the man pitched."
1601021221303348,6:54,Connie Mose,woowu Musa I agree Kate must rest for big showdown
1601021259113520,7:31,Mandla J Ngubeni,Hope he will tell the truth
1601021261490554,7:33,Thabo Ditseho,"Dont you worry babout Pravin, he will come without any funfare"
1601021262711387,7:35,Kgotso Mpete,"@OS Muzik sorry to disappoint you chair, Mr Nzeku😂😂😂"
1601021288301838,8:00,Thando Mgodeli,GM guys and Mr Zwane
1601021311475594,8:22,Akhona Gala,"Zwane is a fake heartless comrade, telling public servants that they will walk next to their shoes..."
1601021323567625,8:35,Musa Mabunda,@Connie Mose I understand Kate is on aviation stream but I so wish she can be given Brian Molefe and Anoj Singh
1601021340716253,8:53,Veron Tauyatswala,this guy Zwane is here to remember nothing as Novula
1601021345541422,8:58,Patrick .Solarnfo,He is so scared shame
1601021366922556,9:19,Zackes Makae,Morning.. hopefully Mr. Zwane will remember something today because it seems like all the skelems don't remember anything
1601021370219987,9:21,PHILANI MADLALA,soke sizwe
1601021383887281,9:35,Lehlohonolo Lekhoasa,i so wish NPA can speedly arrest this people
1601021389296130,9:41,Christopher Peters,wow we have another guest
1601021396737093,9:48,Vuyisile Ngesi,Mosebenzi
1601021411876258,10:02,Mandla J Ngubeni,"These guys are heartless, poor people are still homeless, they enjoying luxury because they pocketed our tax payers money"
1601021419578073,10:11,Maxwell Sibiya,He will probably suffer from amnesia all day long. but I'm excited his here
1601021424054615,10:15,Thando Mgodeli,for sure all the truth is not going to remember
1601021426055994,10:17,Fred Desrosiers,"@Connie Mose, he will deny. I only dream one day that someone will appear and state that it was them and they feel sorry"
1601021431791708,10:24,Vusimuzi Nkosi,at Last cde mangethe watholakala
1601021436378114,10:29,OS Muzik,"I really want to see how the DCJ deals with him, especially after his closing comments on Wednesday!"
1601021460310764,10:51,Connie Mose,I hope them Chair also to turn on the heat on zwane
1601021465971856,10:58,smanga nzama,this will be such an anticlimax
1601021472230846,11:05,hirsitus,Mosebenzi Zwane
1601021479560125,11:11,Maxwell Sibiya,I don't remember. It was not me. That's not True. etc....
1601021493954862,11:25,Christopher Peters,@OS Muzik DCJ should have kept that speech for Zwane
1601021555603390,12:27,Thabo Modumaela,Zwane must be arrested immediately after his testimony.
1601021557697479,12:29,Charles Nemadzivhanani,I sense another Ndzeku
1601021582858925,12:55,Mduduzi Thabede,Zwane is stubborn
1601021600912866,13:12,Christopher Peters,Kickoff
1601021603910577,13:15,Umar Singh,"Incorrect, not true, he is lying about me, cant remember, fabrication, I did not interfere"
1601021608203072,13:19,luzuko masoka,the signature is mine but i dont remember
1601021624133151,13:35,ricky naicker,I wonder who is paying for the invitees lawyer fees
1601021626461449,13:38,Akhona Gala,:elbowcough::elbowcough::elbowcough:
1601021627746596,13:39,Granny Mokwena,the truth will be amnesiaed 🤭
1601021631218538,13:42,Mike Newlands,Can I greet all the liars & thieves watching at Lootfreely House - enjoy - although you have stolen SA blind & destroyed our SA😠 -at least we the poor have some satisfaction in watching you squirm😀
1601021639529000,13:51,Patrick .Solarnfo,Guys please research this and the work he did for the Chines Government in retrieving stolen money. WILLIAM ROBERT MAJCHER
1601021663907168,14:16,Thobani Mkananda,"@Thabo Modumaela Unfortunately, the law doesn't work like that... 😔"
1601021674753425,14:26,Vuyisile Ngesi,truth is going to be forgotten
