timestamp,time,author,message
1559563938854930,11:21,Tharaxis,"I love how a broadcasting company such as the SABC with millions of rands and technology, can put out a more shoddily put together live stream than some every day YouTuber"
1559563947373500,11:30,Tharaxis,Seems they've never heard of Stereo sound
1559563978072729,12:00,Tharaxis,"I also love the soft picture, reminds me of video from the 90s"
1559564136612795,14:38,Magda Seguin,"SABC was captured by Hlhaudi...another Zuma appointee,now there is serious financial problems"
1559564561582363,21:44,Wildthing,yes
1559564636232835,22:58,Queen K,We are not safe
1559564691783268,23:54,Queen K,Annoying
1559564703830010,24:06,Tharaxis,very
1559564714045606,24:16,Tharaxis,should probably just hide chat
1559564716257302,24:18,Carl Schmidt,Gutpa Bots are very busy today
1559564735188239,24:38,Queen K,Very
1559564736072834,24:38,Carl Schmidt,Gutpa robots are very busy today
1559564760460270,25:02,Zee Zondani,i dont know if thats a virus or what😂😂
1559564760792203,25:03,Tharaxis,yeah but they just come in with new names
1559564770998456,25:13,Carl Schmidt,Its probably Tony Gupta himself.....
1559564786037427,25:28,Zee Zondani,probably duduzane
1559564856563850,26:38,Carl Schmidt,Thanks Thando - they are showing as blocked this side too now.
1559565225839926,32:48,Queen K,😂😂😂
1559565244932147,33:07,kenneth mampa,"He is not making up story, on point"
1559565256684768,33:19,hilton modike,"with Zuma's voice .what is state heee? did the guptas captured the legislature, executive & judiciary heeeeee.lol 😂😂😂😂 all the members of the parliament went quite .this guy was a mafiozo"
1559565282238838,33:44,Ntuthuko Mbhamali,😂😂
1559565317009951,34:19,Siyabonga Dladla,WHAT'S GOING ON HERE?
1559565329959557,34:32,Maria Raboshakga,"The guy can talk, shuu!"
1559565351780857,34:54,Gladys Motsima,models
1559565355500927,34:58,Queen K,Tired blocking
1559565366935224,35:09,Gladys Motsima,models
1559565399671571,35:42,frans mofomadi,yerr
1559565419656135,36:02,SBH Shembe,is this a hostile take over ?
1559565420482731,36:03,Tee Makara,Why are people’s comments in codes now
1559565440001541,36:22,Tee Makara,What’s happening🙆🏽‍♀️
1559565440955217,36:23,Queen K,Very hostile indeed
1559565463265092,36:45,Lucky123 Thwala,you tube must act now
1559565464952429,36:47,S Nompozolo,This is sad
1559565469358440,36:51,Tee Makara,Guys it’s not the same without the comments
