timestamp,time,author,message
1548921640251284,0:28,Desmond Masilela,Morning everyone
1548921778648810,2:46,phila nhlonipho,morning
1548921830775327,3:39,Allan 28,This lady is cute yerrr Molefe baby you cute
1548921846922725,3:55,phila nhlonipho,yeah Allan she is
1548921871477600,4:19,siya Xaba,beauty with brains i hope
1548921885105094,4:33,Godfrey Timba,guys who's that advocate
1548921899051679,4:46,phila nhlonipho,yeah must be @siya Xaba
1548921915589037,5:04,Byron Cupido,Defintely beautiful! a teddy bear is cut
1548921921515015,5:09,Byron Cupido,cute*
1548921947873909,5:36,Desmond Masilela,Eishhh mara this lady...
1548921965784526,5:54,Musa Maluleke,Who is woman Jesu
1548921972580763,6:00,Desmond Masilela,Look at her eyes
1548921987343492,6:15,Musa Maluleke,@Desmond Masilela Eish man
1548922003009385,6:31,phila nhlonipho,refiloe Molefe
1548922015765055,6:44,Bongani Dube,Who is this man bafethu?
1548922023476545,6:51,Shane Shandu,Thus lady should be declared a National Keypoint
1548922024486828,6:52,Desmond Masilela,@Musa Maluleke Eish bra...
1548922028721294,6:57,Magda Seguin,Predators on this thread
1548922037927483,7:06,makhosi nobhatyi,"That is why there was no transformation, this people in government enjoy bribes"
1548922063640796,7:31,Thoko Molefe,Hhay bo weMadoda! Lalelan iCommission. Izoze iwe ingane yabantu okanye idideke😂
1548922086607118,7:55,Desmond Masilela,Zizi Kodwa again...
1548922120665588,8:29,Desmond Masilela,Mr Camera man please dont show the lady to me.
1548922134731268,8:43,Desmond Masilela,Im losing focus
1548922155417261,9:03,Thoko Molefe,😂😂😂😂
1548922167134979,9:15,siya Xaba,her articulation is on point.
1548922170841794,9:19,Phumlani Lukhele,"Ngivumelana nani madoda, inhle ingane yabantu kodwa angisize, lembabala esebhokisini namuhla eyaphi, yenzeni?"
1548922176939659,9:25,Desmond Masilela,@Thoko Molefe 😂😂😂
1548922239691185,10:28,Desmond Masilela,This guy was summons???
1548922264828430,10:53,K,"Mr Camera man, please assist Thoko hhaahhhaaahhaaa"
1548922363138983,12:31,Desmond Masilela,This guy never stayed in Limpwompwo
1548922384483858,12:52,Godfrey Timba,guys her Instagram is private 😁
1548922400449980,13:08,orapeleng shikwane,nepotism 🙆🏽‍♂️
1548922404815284,13:13,Shane Shandu,Whats her name vese
1548922430331105,13:38,Godfrey Timba,refiloe molefe
1548922452337603,14:00,jean pierre engels,don't understand way the it take long like it do this is proof that Zuma a theft it must proof that he must go to tail
1548922457172664,14:05,Njabulo Khuzwayo,Mangu Lowo sisi
1548922488835325,14:37,Sofia Sofia,HI ALLLL
1548922492881491,14:41,Sofia Sofia,who's this uncle ?
1548922543818051,15:32,Mojalefa Matemane,I have a crush on Refiloe Molefe😍 someone please help me track her down. I need all her details🤔
1548922587783146,16:16,siya Xaba,can Gavin Watson be summoned as well?
1548922608902685,16:37,Desmond Masilela,"His reading this guy, he must tell us what happen."
1548922685714461,17:54,Desmond Masilela,@siya Xaba. Yes the chair has power to summon him.
1548922696650865,18:05,Morolo Jay Maponya,i cant wait to see buti Gavin Watson....the big fish
1548922750180216,18:57,Morolo Jay Maponya,the lady leading the evidence...what an improvement...thanks tata Zondo
1548922762237481,19:10,mandisi ntauzana,my people molweni. why mokgoro Enquiry not broadcast today
