timestamp,time,author,message
1559649845562547,2:02,Lebo G,whats happening with Mr Hamburger and Beer
1559649935078272,3:32,funicanz,"This witness bathong,"
1559650015651404,4:52,funicanz,@Sthakathi Khumalo ... Hayi maan 😆😆
1559650135969268,6:53,Sthakathi Khumalo,"funicanz Haha.. istabane senkosi shame.. let me go entertain Ace Magashule on the other stream, I can't deal with this comrades blinking, hair flick and hand gestures!!"
1559650181213587,7:37,Nomonde Maxhaulana,yhoooo confused and flustered
1559650210302099,8:07,Pheladi Lamola,Ke sono ka ntate o shame.
1559650241035618,8:37,Felix Muyoba,honourable!
1559650253086778,8:49,nhlanhla nkosi,the highlander Duncan macleod is back to slay the vampires
1559650294620384,9:32,Felix Muyoba,no man..the guys is confused
1559650302138724,9:39,Lucky123 Thwala,this man is on drugs
1559650302743746,9:39,funicanz,"@Sthakathi Khumalo , I have been patient. I will follow you. I can't dzeal. Yhuuuuu!!!"
1559650340357229,10:17,Epnet Streaming,He is talking about video discs
1559650348344492,10:25,Felix Muyoba,but the commission should also check which witness to call and not everybody
1559650361823750,10:38,azilo duwe,this witness is confused and Chair will be mad soon
1559650455175379,12:12,Sophia Maholela,"Guys you are impatient, this guy has something"
1559650455473974,12:12,funicanz,"@azilo duwe , he adjourned for lunch because he was getting irritated. I would have hoped during lunch, his lawyers were going to coach him, instead he seems he went to the bar on an empty stomach."
1559650460834687,12:17,Yolo More,He is playing dumb. He is a crook. Remember he is the one who employed Hlaudi without matric.
1559650466554740,12:23,TSATSI,i am now confused
1559650480571220,12:37,Pheladi Lamola,I was hoping he would enlighten me because I never knew that ANN7 got SABC archives. But now I'm failing to follow
1559650486708858,12:43,Sthakathi Khumalo,This is what happens when you get Afrikaaner slay queens on the commission!!
1559650522556443,13:19,Anne M.,@Yolo More He didn't employ Hlaudi. Hlaudi was his boss.
1559650540401131,13:37,Muriel Haynes,i wonder how much he got
1559650557151414,13:53,Maxwell Sibiya,@sthakathi Khumalo 😂😂😂😊
1559650630385157,15:07,Muriel Haynes,well if it went to the guptas what do you expect
1559650650202158,15:26,Siyabonga Dladla,Who is this guy looking like an old white woman here?
1559650656926079,15:33,Kevin Simon,CONFUSION!!!!!
1559650678203569,15:55,Sthakathi Khumalo,"Maxwell Sibiya The guy is all over, I am starting to question his appointment.. He is always lost in translation"
1559650684906118,16:01,Yolo More,Anne he is the one who signed Hlaudi's appointment letter. He later becomes his boss. Go and check on YouTube for SACB hearings. He was testifying there.
1559650740611082,16:57,azilo duwe,true..he knows all this thing about footages
1559650820655572,18:17,Pheladi Lamola,I'm trying to keep an open mind.
1559650833368638,18:30,Siyabonga Dladla,I he understands english very well this guy
1559650878192069,19:15,Siyabonga Dladla,I dont think he understands English very well this guy.
1559650906633991,19:43,Felix Muyoba,@Siyabonga Dladla 😂😂 but he is a white person
1559650925609377,20:02,Yolo More,He understands English very well.
1559650971063959,20:47,Siyabonga Dladla,I mean you can clearly see him trying to translate this into afrikaans before he speaks...that's why he always pauses before he speaks
1559650981114932,20:58,Lew464,"Felix Muyoba , and you're black. So is that your excuse for your ignorance?"
1559650995520848,21:12,Kevin Simon,Needs someone to watch 24hrs a day and identify the footage.
1559650996887803,21:13,Pheladi Lamola,English is not his mother tongue @Felix Muyoba
1559651004497301,21:22,Siyabonga Dladla,@Felix Muyoba Afrikaaners and coloreds struggle a lot with English
1559651015389201,21:32,Sthakathi Khumalo,"Ungathi uzothi haaayibona SBUSISO, angimthandi uZondo u-strict!"
1559651092542515,22:48,Lorna Kavanagh,The witness is partially deaf
1559651140365742,23:36,Millicent Shozi,is he gay😘
1559651155420792,23:52,Cassius Mngomezulu,His not deaf hes Gay
1559651188401205,24:24,Maxwell Sibiya,This witness is on another level....😂😂😂😂
1559651223624374,25:00,Siyabonga Dladla,"@Lew464 I said what I said, dont come and insert words into what I said asseblief....understand it whichever way you want."
1559651285675790,26:02,Cassius Mngomezulu,His high on nyaoza
1559651311577117,26:28,Felix Muyoba,"this @Lew464 has issues..if you are not a english person thats the truth..you dont know english, period!"
1559651312289225,26:28,Siyabonga Dladla,"@Maxwell Sibiya I'm also confused, that's why I said he looks like a white woman.....He also has quite a strong accent hey"
1559651331770600,26:48,Maxwell Sibiya,😂😂😂😂
1559651351925645,27:08,Yolo More,This one is a crook. He is always like this when he feels the heat. He got something out of the deal.
1559651362166234,27:19,Sthakathi Khumalo,"Hlaudi Motsoeneng was appointing all sorts of characters, it was a movie!! The hair flicking is my favourite and then he blinks until Jesus comes"
1559651387869369,27:44,Sthakathi Khumalo,"Indeed he is not deaf, he just wants a fix of something hehe"
1559651411648953,28:09,Siyabonga Dladla,hahahahaahaha now the Chair has to speak English like he's speaking to My Friend coz Frikkie here doesnt understand English
1559651442389392,28:39,Ernest Monyaki,What is he doing here???
1559651540852864,30:17,Queen K,He banna
1559651569256675,30:46,Felix Muyoba,thats why i said there was supposed to be an understudy for this guy
1559651607740840,31:25,Abeliruna Gumbo,This guy has ear pieces watch he takes his time getting answers
1559651622658002,31:39,Khaya Nomoyi,Must get another witness to get an opinion whether his calculations were right or wrong otherwise this guy looks like a jabaas.
1559651711468376,33:07,Maxwell Sibiya,R100 or something per minutes? Wow
1559651780336712,34:16,Sthakathi Khumalo,Sesihambile istabane sebhunu!!
