timestamp,time,author,message
1552305967445968,1:00,Desmond Masilela,Sound please
1552306208039517,5:00,welton paulse,Yor is this now a lip reading session? coz if it is .. i am sure this dude just said something a bout my momma
1552306221075936,5:13,Masbu Mqu,Masbu Gebs
1552306235266019,5:27,Musa Bakiti,i got sound
1552306295433642,6:28,Desmond Masilela,SABC please help us with the sound
1552306311500474,6:44,Susan Thirion,sound is a problem
1552306320900249,6:54,Michael Michael,Sabc icu
1552306625141080,11:58,Thapelo Motabogi,😂😂😂
1552306851276977,15:44,Desmond Masilela,The guy is talking as if his running for something
1552306944627341,17:16,Myka'Al Daud,Fearfontein is making this guy fearful
1552307060101355,19:13,Felix Muyoba,@Desmond Masilela perhaps the guy was warned that since you are leaving eskom and you know what is happening here if you ever expose us we will come for you where ever you are..
1552307120670226,20:14,Desmond Masilela,@Felix Muyoba. 😂😂😂😂😂
1552307144073924,20:36,Felix Muyoba,@Yin Yang i now agree with you on that
1552307174132124,21:06,Zox Alexandreez,where is the sound?
1552307348774011,24:01,Wildthing,sound is on the left ear peace something wrong I can only hear one side.
1552307386193242,24:38,Felix Muyoba,@Yin Yang as soon as he discovered some anomalies at eskom he left..he is an honest citizen..
1552307530046351,27:03,Myka'Al Daud,"Rama was the chairman of MTN when Iran charged the company with corruption.....FNB,Lonmin etc etc"
1552307597275740,28:10,Desmond Masilela,The sound is better now from my side
1552307659841656,29:12,Desmond Masilela,The guy dont even know what to say
1552307717350532,30:09,Nobby's Photography,sound in left speaker only my right ear is getting jealous with no sound
1552307740330856,30:33,Wildthing,ha ha yes
1552307795144203,31:27,Frik Brits,"I think some people here need to reboot their PC's, Some of you are maybe running Windows??"
1552307872808183,32:45,Wildthing,SABC tech will say he must speak over the mic and not from one side only. :)
1552307893641017,33:06,Myka'Al Daud,IEC to investigate anc for bosasa election funding
1552307928270736,33:41,Derek Main,@Myka'Al Daud Don't hold your breath - IEC is compromised
1552307974357725,34:26,Felix Muyoba,@Myka'Al Daud do you think investigation can yield anything?
1552307982569959,34:35,Isihlahla Samabhinca,we are waiting for Zuma's time
1552308024405351,35:17,Myka'Al Daud,"prisoner of hope,just expose the rot.is ppl to choose who they want.knowing the truth"
1552308078837195,36:11,Myka'Al Daud,Truth shall set us free
1552308099922467,36:32,Wildthing,ANC have breached about 5 critical laws which should have them removed from taking part in voting for 8 years. until they clean up there act. and ask Venezuela to keep the MECs visiting them.
1552308150529404,37:22,Felix Muyoba,@Myka'Al Daud if the rural people were eating and drinking at an anc rally with that money from bosasa..do you think they understand that it was illegal? they dont..
1552308159565206,37:33,Myka'Al Daud,PG refuses to be cross examined by Moyane
1552308296208926,39:49,Myka'Al Daud,Is he hiding something or just enjoying his rights?
1552308307949259,40:00,Nelson Musoliwa,Do we want to believe that the entire ANC esp the NEC didn't know that the dealing with bossasa was illegal?
1552308346315228,40:39,Aadil Mohammed,"Why waist state funds on this , BOSASA boss has been charged and arrested Zuptas and cronies still parade free. Stop this farce and lock the lot up or has CR signed a secret document????"
1552308388492248,41:21,Michael Michael,I think those young educated man and woman took advantage of the fact that.the former head of state cant clearly read and understand the writings.even if down on the line we need pardon him.
1552308413745525,41:46,Felix Muyoba,@Nelson Musoliwa they knew..just ignorance..typical of african ruling parties attitude..
1552308415445645,41:48,Musa Bakiti,Let bygone be bygone and start again with EFF .Please freedom fighter beware afrikaaners.
1552308426686767,41:59,ACE MABEKA,...
1552308435279761,42:07,Michael Michael,Yin disagree
1552308444272294,42:17,MIKE DURBAN,Guys....No Pardon for criminals whatsoever.......
1552308477442372,42:50,Aadil Mohammed,Michael there is no excuse if you pardon one you must pardon all. He was clever enough to defraud the state so he is eligible to stand trial and go to jail.
1552308495003404,43:07,Derek Main,"@MIKE LOCK I agree - if we want to stop the rot, we need to punish all guilty parties harshly"
1552308498828984,43:11,Myka'Al Daud,Did we pardon apartheid agents ?
