timestamp,time,author,message
1594371218036721,52:34,BOIKANYO MOLOI,General Salute
1594371675160080,1:00:10,BOIKANYO MOLOI,I'm I a lone ranger here?
1594371714898451,1:00:49,Abel Matshidiso,@Boikanyo Moloi I'm here too
1594371721588286,1:00:56,BOIKANYO MOLOI,okay we are here to watch and listen and not to type
1594371792423206,1:02:07,Abel Matshidiso,I guess so but it looks like the chats are more n 1 wonder wn do we actually listen kkkk
1594371838957558,1:02:54,Margareth Waterboer,Sound is bad
1594371884847360,1:03:41,BOIKANYO MOLOI,rather than be distracted by chats let's only watch n listen
1594371945734605,1:04:40,BOIKANYO MOLOI,@Margaret Waterboer on my side its crystal clear by on eNCA stream its terrible
1594372013347973,1:05:49,Margareth Waterboer,I’m on SABC It’s so deep...like in a cave
1594372072849921,1:06:48,BOIKANYO MOLOI,sorry to hear that @Margareth Waterboer sorry indeed
1594372582200478,1:15:17,samuel molope,"waist of time and state resources explaining about umkhodo wesiszwe trainings ,we want money back pay back the money"
1594373170812596,1:25:05,A M,"finish this soon,,,,, covid 19 capture to follow"
1594374319449215,1:44:14,Mbuso Ndlovu,THE MONIES SPENT ON THIS STUPID COMMISSION SHOULD HELP FIGHTING COVID 19
1594374808903620,1:52:24,Margareth Waterboer,"Thx @Boikanyo, it’s better now"
1594375195736899,1:58:51,Gibson Gwasunda,No I agree to differ Mbuso with you complete this Commission and open a new page for all South Africans in order not to lose the Billions of rands which could have been used for all People
1594375434233831,2:02:49,fuzile dazana,is this live
1594376094406520,2:13:49,World Economic Forum Barbie,Ugh. Rule #1. Never trust anyone in intelligence
1594376161205831,2:14:55,World Economic Forum Barbie,It's a naughty group of people
1594376218220618,2:15:54,World Economic Forum Barbie,i like him!
1594376310305695,2:17:25,MarvinK P,bring back skorpions
1594376311450766,2:17:27,World Economic Forum Barbie,Only by the greedy ones. We have too many
1594376383521491,2:18:39,World Economic Forum Barbie,bring back integrity.
1594376477929695,2:20:12,samuel molope,"Premier David Makhura is now tested positive for covid19 ,who's going to testify in regard to the grave digging tender of 1.5 million by this looters .please covid do job for the mass of SA people"
1594376502950062,2:20:38,World Economic Forum Barbie,ok. i cant listen. We have all the 5 eyes ruining our Governments.
1594377329145627,2:34:24,Mathews Chizinga,this inquiry is just spending too much tax payers money has been there fir a very long time until today no one is prison nonsense
1594377535126020,2:37:50,Danie Nilsen,sound very bad
1594377569650436,2:38:25,Rob Nel,Is this Walter Sisulu?
1594377608490989,2:39:03,Danie Nilsen,lol i doubt it it is she
1594377667730644,2:40:03,Rob Nel,"Just thought with the amounts of money spent on state funerals, they can rise"
1594378017207627,2:45:51,Bulelani Skaap,🤣 🤣 Walter Sisulu
1594378094120657,2:47:09,malcolm payne,what absolute rubbish
1594378143639900,2:47:58,Raj Chetty,this witness should be the president of our country
1594378373386409,2:51:49,Danie Nilsen,this venue is inadeqaute sound wise and lightning where is judge zondo he is speaking to himself
