timestamp,time,author,message
1594885278295926,6:07,Potlaki Sefojane,:washhands:
1594885429070554,8:36,Potlaki Sefojane,my question to enquiry Groups is this corruption people at the end will they going to jail or not
1594885559510525,10:46,Lee D. Hendrix,...PwC OUT OF THE COLONIZERS PYRAMID SCHEME CLOSET IN LONDON/UK.
1594886217137503,21:45,rohan barnard,This enquiry is going nowhere
1594886255339038,22:22,Hilary Veale,tea
1594886300948452,23:08,Hilary Veale,really going no where is like he is stalling
1594886327008400,23:34,Richard Sherman,what a sham. nobody believes this is actually going to result in justice.
1594886415973668,25:03,JJ Elimimian,State Capture:. West south Africa north is more Dakotan than east Madagascar chimpmunks
1594886638928835,28:47,Lee D. Hendrix,@JJ Elimimian WHAT CHIPMUNKS ARE YOU REFERRING TO?
1594886642630489,28:51,nxumalog,Is anyone else experiencing technical difficulties. The video is stuck
1594886763943723,30:51,JJ Elimimian,The Nigerian lawn chair the CAF mad cow president danced with
1594886845881159,32:13,JJ Elimimian,Is D for who you capped as a pupil
1594886871334686,32:38,Faadumo Cilmi,X
1594886979587681,34:26,pieter rossouw,"Lee D. Hedrix, why is everyone so defensive ALL THE TIME. not everything is about you... but clearly if the shoe fits....wear it by your own admition."
1594886981340920,34:28,Teressa Pavlakis,WASTE OF TIME NOBODY WILL BE PROSECUTED
1594887020612786,35:08,JJ Elimimian,Burundi and sabc are mixing paint for their l.e.d. or laid to rest Press.
1594887260435964,39:07,JJ Elimimian,"Yao Ming's groupies wanted two tour, but two know igbo, not cigar"
1594887517030685,43:24,Lee D. Hendrix,"@pieter rossouw CERTIAN CONDUCT IS THE REASON FOR THIS DIVISIVENESS IN THE FIRST PLACE, AND I SPEAK DIRECTLY , NOT FOR OTHERS."
1594887547147285,43:55,Lee D. Hendrix,CERTAIN
1594887551906921,43:59,Granny Mokwena,he's struggling to answer so early...
1594887567032415,44:16,JJ Elimimian,"I caught a pair of sharks tooth for a draft'dodger who pitches with minito or , continent Al"
1594887716326467,46:42,JJ Elimimian,Casper chew
